#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%
1,Freddie Freeman,LAD,155,629.5710059,730,163.06213018000003,0.2603550295890411,0.7417218545255728,0.2384105959923747,0.013245033114775907,0.03698224852054794,0.15680473369863013,0.13757396452054793,0.11982248520547945,0.011834319526027398,0.14940828397260275,0.00887573964520548,0.005917159763013699,0.0014792899410958904,0.014792899410958904,0.004437869821917809,0.01035502958630137,0.301,0.390207715,0.497427101,0.887634816,0.327548807,14.9408284,11.98224852,637,730,182,0.28904109589041094,0.6648351648351648,0.3241758241758242,0.01098901098901099,0.03972602739726028,0.17945205479452056,0.13972602739726028,0.09863013698630137,0.01643835616438356,0.16575342465753426,0.021917808219178082,0.00684931506849315,0.0,0.031506849315068496,0.0013698630136986301,0.030136986301369864,0.331,0.41,0.567,0.976,0.37,16.6,9.9
2,Marcus Semien,TEX,154,678.2577778,753,139.4444444,0.22518518512616204,0.7280000005507569,0.24800000006310755,0.02400000001003984,0.04,0.1392592592297477,0.11555555555112881,0.08592592592297477,0.0,0.18518518512616203,0.004444444444887118,0.007407407407702523,0.002962962962815405,0.028148148154050465,0.008888888888446215,0.0192592592563081,0.25,0.316023739,0.444078947,0.760102686,0.271149675,18.51851852,8.592592593,670,753,156,0.2456839309428951,0.717948717948718,0.2564102564102564,0.02564102564102564,0.03851261620185923,0.16201859229747675,0.13280212483399734,0.09561752988047809,0.0013280212483399733,0.1460823373173971,0.006640106241699867,0.006640106241699867,0.0,0.01859229747675963,0.00398406374501992,0.014608233731739707,0.276,0.348,0.478,0.826,0.291,14.6,9.6
3,Juan Soto,SDP,152,554.9189189,708,123.31531531,0.21921921920903956,0.7500000000608197,0.23275862067777087,0.017241379310065197,0.04504504504237288,0.15765765762711864,0.13363363362994352,0.20270270268361582,0.012012012012711864,0.14564564562146892,0.006006006005649717,0.004504504504237288,0.0015015015014124293,0.013513513514124293,0.006006006005649717,0.0075075075070621475,0.279,0.429216867,0.511494253,0.94071112,0.291457286,14.56456456,20.27027027,568,708,121,0.22033898305084745,0.7272727272727273,0.2644628099173554,0.008264462809917356,0.04943502824858757,0.1370056497175141,0.153954802259887,0.1864406779661017,0.015536723163841809,0.18220338983050846,0.002824858757062147,0.007062146892655367,0.0014124293785310734,0.01694915254237288,0.007062146892655367,0.009887005649717515,0.275,0.41,0.519,0.93,0.296,18.2,18.6
4,Trea Turner,PHI,152,632.8105263,691,162.09924812,0.2676691729377713,0.7564102561982938,0.21794871795979062,0.025641025638336565,0.033082706772793055,0.15187969927641098,0.12180451127351664,0.06766917293777135,0.0015037593979739508,0.1744360901591896,0.007518796992764111,0.007518796992764111,0.0030075187973950795,0.04360902256150506,0.009022556390738061,0.03458646616497829,0.292,0.343373494,0.469622332,0.812995826,0.327731092,17.44360902,6.766917293,639,691,144,0.2460202604920405,0.7222222222222222,0.24305555555555555,0.034722222222222224,0.03762662807525326,0.1476121562952243,0.10998552821997105,0.06512301013024602,0.002894356005788712,0.2170767004341534,0.008683068017366137,0.001447178002894356,0.0,0.04341534008683068,0.0,0.04341534008683068,0.266,0.32,0.459,0.778,0.31,21.7,6.5
5,Matt Olson,ATL,154,622.9090909,720,117.81818182,0.21666666666666667,0.7037037037005601,0.2870370370480395,0.009259259259887975,0.05303030302777778,0.1363636363611111,0.15303030305555554,0.11515151515277779,0.007575757576388889,0.22272727277777776,0.010606060605555554,0.007575757576388889,0.0015151515152777779,0.0030303030305555557,0.0015151515152777779,0.0015151515152777779,0.25,0.342943854,0.492119089,0.835062944,0.274111675,22.27272727,11.51515152,608,720,118,0.2388888888888889,0.7457627118644068,0.2288135593220339,0.025423728813559324,0.075,0.1763888888888889,0.19305555555555556,0.14444444444444443,0.011111111111111112,0.23194444444444445,0.005555555555555556,0.005555555555555556,0.0,0.001388888888888889,0.0,0.001388888888888889,0.283,0.389,0.604,0.993,0.302,23.2,14.4
6,Vladimir Guerrero Jr.,TOR,152,604.3823976,682,138.676783,0.2564491653958944,0.7462686569531974,0.24626865673686701,0.007462686569531973,0.05311077390029326,0.14567526555718477,0.15477996964809385,0.09711684370967742,0.007587253414956012,0.15629742038123168,0.009104704096774193,0.004552352048387096,0.0,0.009104704096774193,0.003034901365102639,0.006069802731671554,0.289,0.363774734,0.529109589,0.892884323,0.29844098,15.62974203,9.71168437,602,682,133,0.23313782991202345,0.7744360902255639,0.22556390977443608,0.0,0.03812316715542522,0.11436950146627566,0.1378299120234604,0.09824046920821114,0.007331378299120235,0.1466275659824047,0.013196480938416423,0.005865102639296188,0.0,0.007331378299120235,0.004398826979472141,0.002932551319648094,0.264,0.345,0.444,0.788,0.277,14.7,9.8
7,Bo Bichette,TOR,151,555.331307,601,134.26595744000002,0.2629179331114809,0.7414965986779619,0.251700680309095,0.013605442174844105,0.039513677803660566,0.14285714286189682,0.1352583586688852,0.062310030399334436,0.0,0.20516717321131447,0.006079027356073212,0.006079027356073212,0.0015197568386023294,0.02431610941763727,0.00759878419467554,0.016717325224625622,0.285,0.331811263,0.481907895,0.813719158,0.32594235,20.51671733,6.23100304,571,601,155,0.2911813643926789,0.7870967741935484,0.1935483870967742,0.01935483870967742,0.033277870216306155,0.11480865224625623,0.12146422628951747,0.04492512479201331,0.0,0.1913477537437604,0.0033277870216306157,0.0016638935108153079,0.0,0.008319467554076539,0.004991680532445923,0.0033277870216306157,0.306,0.339,0.475,0.814,0.355,19.1,4.5
8,Pete Alonso,NYM,154,573.8721461,658,113.17199394000001,0.22983257234042553,0.752212389181132,0.23893805303400664,0.008849557519778024,0.057838660577507604,0.1354642313525836,0.16742770167173254,0.10197869101823707,0.012176560121580547,0.19939117203647416,0.01826484018237082,0.007610350075987842,0.0,0.006088280060790274,0.0015220700151975684,0.004566210045592705,0.263,0.350076104,0.513089005,0.863165109,0.276283619,19.9391172,10.1978691,568,658,77,0.18693009118541035,0.7012987012987013,0.2727272727272727,0.025974025974025976,0.06990881458966565,0.1398176291793313,0.17933130699088146,0.09878419452887538,0.00911854103343465,0.22948328267477203,0.031914893617021274,0.0060790273556231,0.0,0.0060790273556231,0.001519756838905775,0.004559270516717325,0.217,0.318,0.504,0.821,0.205,22.9,9.9
9,Francisco Lindor,NYM,151,610.4335878,687,131.10687028,0.22595419854439594,0.7599999996735487,0.20799999993715051,0.023999999986880932,0.03511450381368268,0.13435114503639012,0.1312977099272198,0.08854961832605532,0.003053435114992722,0.18167938937409023,0.012213740458515284,0.007633587786026201,0.003053435114992722,0.022900763362445415,0.007633587786026201,0.01526717557496361,0.254,0.327718224,0.426116838,0.753835062,0.280898876,18.16793893,8.854961832,602,687,122,0.22270742358078602,0.7131147540983607,0.27049180327868855,0.01639344262295082,0.04512372634643377,0.1572052401746725,0.14264919941775836,0.09606986899563319,0.001455604075691412,0.19941775836972345,0.017467248908296942,0.010189228529839884,0.0,0.04512372634643377,0.005822416302765648,0.039301310043668124,0.254,0.336,0.47,0.806,0.277,19.9,9.6
10,Manny Machado,SDP,152,533.9159021,601,117.62691135999998,0.2415902141430948,0.7578124997024491,0.2265624998724782,0.007812500000000002,0.045871559633943425,0.1406727828785358,0.15137614678868552,0.09785932722129784,0.010703363915141432,0.18501529051580698,0.004587155963394343,0.009174311926788687,0.0,0.015290519876871881,0.004587155963394343,0.010703363915141432,0.272,0.344036697,0.47848537,0.822522067,0.293577982,18.50152905,9.785932722,543,601,110,0.23294509151414308,0.8090909090909091,0.19090909090909092,0.0,0.04991680532445923,0.12479201331114809,0.15141430948419302,0.08319467554076539,0.0016638935108153079,0.18136439267886856,0.0033277870216306157,0.009983361064891847,0.0,0.004991680532445923,0.0033277870216306157,0.0016638935108153079,0.258,0.319,0.462,0.782,0.268,18.1,8.3
