#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_K%,real_BB%,avg_hit_angle,anglesweetspotpercent,ev50,fbld,ev95percent,brl_percent,Adj_BRL%,Optimal_Pulled_Flyball%,Adj_OPFB,95%_EV,Adj_LA,Adj_95EV,Adj_LA_95%_EV,O-Swing%,Adj_O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%
1,Aaron Judge,NYY,150,387.5931677,458,110.2329193,61.16149068,17.77950311,0.711180124,30.58074534,73.96273292,74.67391304,61.87267081,6.400621118,117.3447205,4.267080745,2.844720497,0.711180124,6.400621118,2.133540373,4.267080745,0.284,0.386292835,0.570642202,25.62111801,13.50931677,367,458,98,45,16,0,37,79,75,88,9,130,0,3,0,3,1,2,0.267,0.406,0.613,28.4,19.2,15,39,107.1,100.3,61.8,26.5,100,10.9223301,62.63086009,114.81,63.4384,83.0971136,5271.547931,26.8,76.041704,67.6,42.5,51.7,85.2,72.2,38.5,57.9,11.8,16.9,28.7
2,Juan Soto,SDP,151,558.0453858,708,156.3812405,92.11497731,28.91981846,2.142208775,32.13313162,111.3948563,95.32829047,140.3146747,8.568835098,102.8260212,4.284417549,3.213313162,1.071104387,9.639939486,4.284417549,5.355521936,0.28,0.426403642,0.510556622,14.52344932,19.81845688,568,708,156,88,32,1,35,97,109,132,11,129,2,5,1,12,5,7,0.275,0.41,0.519,18.2,18.6,9.1,28.5,102.2,97.2,47.4,12.4,46.79245283,4.772727273,23.45495256,110.77,38.8531,61.0687712,2372.711074,19.9,100.000022,59.1,35.3,71,89.2,83,39.2,53.6,6,19.9,25.9
4,Yordan Alvarez,HOU,144,428.4006568,496,122.9819376,65.15599343,25.24794745,1.628899836,30.94909688,77.3727422,85.51724138,58.64039409,4.886699507,104.2495895,5.701149425,4.072249589,0,0.814449918,0.814449918,0,0.287,0.37704918,0.570342205,21.0180624,11.8226601,410,496,120,64,24,1,31,77,97,69,5,92,13,4,0,0,0,0,0.293,0.407,0.583,18.5,13.9,12.3,40.7,105.7,98.1,59.8,21,79.24528303,6.14973262,32.22713438,113.52,52.1875,76.0633112,3969.554053,27.5,73.61115,66.8,42.6,62.5,89.6,78.8,38.5,53.8,9,16.5,25.6
5,Julio Rodriguez,SEA,146,639.8626198,714,177.9297125,108.3546326,33.07667732,3.42172524,33.07667732,104.9329073,91.24600639,58.16932907,4.562300319,173.3674121,9.124600639,3.42172524,3.42172524,29.65495208,7.984025559,21.67092652,0.278,0.345104334,0.495543672,24.28115016,8.146964856,654,714,180,109,37,2,32,102,103,47,6,175,11,2,0,37,10,27,0.275,0.333,0.485,24.5,6.6,10.1,32.7,103.7,96.2,50.7,13.1,49.43396227,7.837837838,42.98117099,112.43,43.0201,70.1200208,3016.570307,37.1,40.277838,71.4,50.2,58.6,81.9,71.2,38.2,64.5,14.4,14.6,29.1
6,Mookie Betts,LAD,146,607.7242991,693,165.1542056,91.75233645,36.70093458,3.238317757,32.38317757,114.4205607,88.51401869,70.1635514,1.079439252,110.1028037,8.635514019,4.317757009,2.158878505,14.03271028,4.317757009,9.714953271,0.272,0.353125,0.500888099,15.88785047,10.12461059,584,693,179,99,40,1,39,126,107,96,3,107,8,5,0,14,3,11,0.307,0.408,0.579,15.4,13.9,18.6,36.2,100,94.7,44.9,9.7,36.60377359,9.791666667,55.42799393,106.64,78.4396,38.5496984,3023.822923,26,78.81948,69.6,44.2,67.6,93.9,84.9,41.7,61.7,6.7,17.3,23.9
7,Jose Ramirez,CLE,152,605.8228043,691,161.8366718,87.30662558,38.32973806,4.258859784,31.94144838,100.0832049,108.6009245,71.33590139,10.64714946,90.50077042,6.388289676,6.388289676,0,22.35901387,6.388289676,15.97072419,0.268,0.347222222,0.502636204,13.09707242,10.32357473,611,691,172,107,36,5,24,87,80,73,22,73,1,6,0,28,6,22,0.282,0.356,0.475,10.6,10.6,20.7,33.7,98.9,91.2,36.9,6.6,24.90566038,10.57513915,60.4190879,108.19,87.1903,47.0011664,4098.045799,32.3,56.944494,67.9,46.1,78,92.3,86.2,38.8,51.7,6.4,15.7,22.1
8,Freddie Freeman,LAD,155,630.2080238,730,189.8216939,121.4858841,39.04903418,2.169390788,27.11738484,113.8930163,98.70728083,86.7756315,8.67756315,109.5542348,6.508172363,4.338781575,1.084695394,9.762258544,3.254086181,6.508172363,0.301,0.388971684,0.499139415,15.00742942,11.88707281,637,730,211,121,59,2,29,131,102,72,12,121,16,5,0,23,1,22,0.331,0.41,0.567,16.6,9.9,13.6,42.9,100.8,94.5,47.8,9.9,37.35849057,5.212355212,26.25559253,108.07,57.6046,46.3468592,2669.792285,31.3,60.416714,76.1,49.3,75,88,83.1,40.1,59.5,8.3,12.2,20.6
9,Corey Seager,TEX,143,474.2207792,536,132.2597403,80.05194805,26.1038961,1.74025974,24.36363636,73.09090909,71.35064935,50.46753247,3.480519481,85.27272727,5.220779221,4.350649351,0.87012987,1.74025974,0.87012987,0.87012987,0.278,0.351791531,0.495412844,15.90909091,9.415584416,477,536,156,81,42,0,33,88,96,49,9,88,4,6,0,2,1,1,0.327,0.39,0.623,16.4,9.1,13.6,38.4,101.6,94.6,45.5,10.5,39.62264151,6.085192698,31.81598425,108.96,57.6046,51.1996376,2949.334644,35.1,47.222278,81.9,54.5,53,88.2,74.9,41.5,64.4,13.7,9,22.7
10,Kyle Tucker,HOU,151,604.3497615,674,165.0174881,91.08108108,35.3608903,3.214626391,35.3608903,91.08108108,105.0111288,61.07790143,3.214626391,111.4403816,3.214626391,4.286168521,1.07154213,22.50238474,5.357710652,17.14467409,0.274,0.340764331,0.517730496,16.53418124,9.06200318,574,674,163,92,37,5,29,97,112,80,9,92,3,10,0,30,5,25,0.284,0.369,0.517,13.6,11.9,19,34.4,100.3,93.5,42.4,10.2,38.49056604,9.955752212,56.47329723,107.89,80.1064,45.3653984,3634.05875,30.2,64.236156,84,52.5,66.4,88.8,81.3,41.5,60.8,9.8,9.5,19.3
11,Trea Turner,PHI,153,633.5906344,691,183.7099698,123.1691843,34.44561934,4.175226586,22.96374622,103.336858,83.50453172,45.92749245,1.043806647,121.081571,5.219033233,5.219033233,2.087613293,29.2265861,6.262839879,22.96374622,0.291,0.340393343,0.467874794,17.52265861,6.64652568,639,691,170,104,35,5,26,102,76,45,2,150,6,1,0,30,0,30,0.266,0.32,0.459,21.7,6.5,10.2,35.3,100.2,92.1,41.6,7.6,28.67924529,6.928838951,37.19041387,108.46,43.4368,48.4733576,2105.527539,36.4,42.708392,74.5,51.1,60.7,85.9,74.9,38.8,63.4,12.8,14.2,27
