#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_K%,real_BB%,avg_hit_angle,anglesweetspotpercent,ev50,fbld,ev95percent,brl_percent,Adj_BRL%,Optimal_Pulled_Flyball%,Adj_OPFB,95%_EV,Adj_LA,Adj_95%_EV,Adj_LA_95%_EV,O-Swing%,Adj_O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%
1,Ronald Acuna Jr.,ATL,147,191.008,222,59.29,35.709,11.117,0.674,11.791,40.088,30.992,25.939,1.347,35.035,3.369,1.347,0.337,17.181,4.379,12.801,0.311,0.3997,0.5608,15.78,11.68,192,222,48,35,8,1,4,38,15,27,0,53,3,0,0,16,3,13,0.25,0.351,0.365,23.9,12.2,7.4,33.6,106.4,98.4,55.2,15.3,54.13529699,4.448398577,18.1831219,114.89,24.29577465,85.1660424,2069.174974,26.8,70.27866378,72.8,46.2,73.8,87.8,83.1,42.2,58.9,7.8,13.7,21.4
2,Mookie Betts,LAD,149,441.952,516,125.492,70.151,27.281,1.559,25.722,86.52,73.269,63.136,1.559,81.063,6.236,3.897,0.779,10.133,3.118,7.015,0.283,0.3782,0.5256,15.71,12.24,450,516,130,82,24,5,19,75,75,61,2,57,1,4,0,16,2,14,0.289,0.372,0.491,11,11.8,20.6,42.5,100.9,95.7,48.5,12.4,43.23304135,12.1399177,59.64482523,107.98,70.7746479,42.03245938,2974.832513,20,91.33129536,63,38.1,64.3,93.9,84.9,42.1,59.5,5.7,20.5,26.2
3,Aaron Judge,NYY,138,581.209,704,160.213,83.03,25.728,0,50.286,116.944,123.96,112.266,10.525,189.449,4.678,4.678,0,7.017,2.339,4.678,0.275,0.3943,0.5775,26.91,15.95,559,704,180,85,36,1,58,122,144,133,20,171,9,2,0,10,0,10,0.322,0.458,0.701,24.3,18.9,20.4,37.1,107.4,101.2,64.2,27.5,99.99995864,7.5,34.63300532,114.61,70.07042254,83.41822717,5845.150425,22.5,83.59135728,69.4,41.3,45.3,76.7,66.5,40.1,59,13.8,16,29.8
4,Juan Soto,NYY,153,568.256,713,158.683,88.991,28.949,2.144,39.671,112.579,107.218,136.167,8.577,117.94,4.289,4.289,1.072,11.794,4.289,7.505,0.279,0.4195,0.5491,16.54,19.1,576,713,166,90,31,4,41,128,109,129,2,119,4,4,0,7,4,3,0.288,0.419,0.569,16.7,18.1,6.7,28.5,104.5,98.7,55.3,13,45.48868045,5.630630631,24.55603132,112.5,21.83098592,70.24719096,1533.565437,20,91.33129536,60.2,35.7,67.6,89.9,82.3,39.1,55.6,6.3,19.8,26.1
5,Yordan Alvarez,HOU,137,536.65,635,158.215,83.384,32.071,2.138,40.623,101.557,112.247,83.384,5.345,124.007,9.621,5.345,1.069,1.069,0,1.069,0.295,0.3956,0.5896,19.53,13.13,552,635,170,99,34,2,35,88,86,69,16,95,10,4,0,6,0,6,0.308,0.392,0.567,15,10.9,17.1,35.7,104.6,96.8,52.2,18,64.28567293,7.692307692,35.66965417,114.12,58.45070423,80.35955051,4697.072319,29.9,60.68114056,66.1,43.6,65.9,89.9,79.7,37.7,56.7,8.8,16.2,25.1
6,Julio Rodriguez,SEA,151,553.737,613,154.639,92.598,30.557,2.778,28.705,91.672,84.264,47.225,4.63,144.453,8.334,2.778,0.926,29.631,8.334,21.298,0.279,0.3434,0.5,23.56,7.7,567,613,155,118,17,0,20,76,68,38,1,156,6,2,0,24,5,19,0.273,0.325,0.409,25.4,6.2,8.5,31.8,104.1,96.5,52,11.9,41.3533421,5,21.15657021,112.56,28.16901409,70.6217228,1989.344304,41,26.31581549,73,53.8,58.9,85.1,73.2,40.2,63,14.4,12.8,27.2
7,Jose Ramirez,CLE,151,598.829,682,165.302,95.646,37.427,4.159,28.07,93.567,97.726,70.695,10.396,80.052,5.198,6.238,0,24.951,7.277,17.674,0.276,0.3542,0.4931,11.74,10.37,620,682,173,93,39,2,39,114,118,54,12,82,1,6,0,41,7,34,0.279,0.335,0.537,12,7.9,18,36.8,100.1,92.2,40.4,7,22.93228947,9.375,44.74033164,108.12,61.61971832,42.90636699,2643.878248,30.9,57.58516533,70.3,46.6,74.9,92.5,85.5,40,53.4,6.7,15,21.8
8,Corey Seager,TEX,132,472.138,533,138.322,79.304,30.431,0.922,27.664,78.382,82.993,50.718,5.533,86.682,5.533,4.611,0.922,2.766,0.922,1.844,0.293,0.3651,0.5371,16.26,9.52,475,533,132,81,21,0,30,68,74,53,11,96,3,2,0,1,1,0,0.278,0.353,0.512,18,9.9,13,38,103.5,97.1,53.2,15.2,53.75935714,7.389162562,34.0355279,111.2,44.01408451,62.13233453,2734.697823,33.6,49.2260322,85.5,55.1,55.1,89.5,77.2,41.5,61.2,12.6,7.5,20
9,Adley Rutschman,BAL,144,545.95,638,147.068,94.166,31.741,1.058,19.045,82.527,73.005,80.411,3.174,100.514,5.29,4.232,1.058,2.116,1.058,1.058,0.269,0.3661,0.4341,15.75,12.6,571,638,143,102,21,1,19,68,79,58,3,103,2,7,0,1,0,1,0.25,0.318,0.391,16.1,9.1,12.6,37,99.6,92.7,38.6,7.5,24.81198872,6.012024048,26.61196077,108.04,42.60563381,42.40699121,1806.776739,27,69.65946874,62,41,77.1,92.4,86.3,40,56,5.6,20.1,25.7
10,Gunnar Henderson,BAL,146,636.663,719,165.834,96.253,33.631,6.958,30.152,102.052,96.253,71.9,1.16,179.75,5.798,4.639,1.16,13.916,3.479,10.437,0.261,0.3387,0.4791,25,10,630,719,177,102,31,7,37,118,92,78,1,159,7,4,0,21,4,17,0.281,0.364,0.529,22.1,10.8,11.4,32.9,102.7,95.3,52,11.4,39.47364285,6.87960688,31.28873027,110.35,38.38028169,56.82646687,2181.015806,29,63.46751827,69.5,46.8,62.4,82.7,75.6,43.9,62.5,11.4,16.8,28.1
