#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
1,Aaron Judge,NYY,145,512,637,149,76,25,1,47,107,112,114,10,157,6,5,1,9,3,6,0.29,0.422,0.616,1.037,0.325,24.70%,17.90%
2,Bobby Witt Jr.,KCR,151,598,660,174,103,37,6,28,100,92,48,6,113,7,6,1,34,9,25,0.291,0.347,0.515,0.862,0.315,17.10%,7.30%
3,Shohei Ohtani,LAD,148,559,659,158,79,27,5,46,122,109,92,10,159,5,4,1,24,7,17,0.283,0.386,0.6,0.986,0.313,24.20%,13.90%
4,Juan Soto,NYM,154,542,675,148,84,25,1,38,108,99,124,9,121,4,4,1,21,5,16,0.273,0.409,0.535,0.945,0.284,17.90%,18.40%
5,Gunnar Henderson,BAL,152,579,657,156,93,33,4,26,96,83,67,4,140,6,4,1,24,5,19,0.27,0.349,0.476,0.825,0.311,21.20%,10.20%
6,Julio Rodriguez,SEA,151,599,659,162,102,28,3,29,93,91,47,4,145,9,3,0,28,7,21,0.271,0.332,0.475,0.807,0.311,22.10%,7.20%
7,Cal Raleigh,SEA,150,540,626,124,61,23,0,40,85,102,76,9,169,6,4,1,8,2,6,0.229,0.328,0.492,0.82,0.251,27.00%,12.10%
8,Jose Ramirez,CLE,151,575,649,157,93,33,3,28,92,89,64,10,74,4,6,0,33,8,25,0.273,0.347,0.485,0.832,0.27,11.50%,9.80%
9,Ketel Marte,ARI,141,536,616,147,87,30,2,28,89,87,68,5,100,7,5,1,5,2,3,0.275,0.361,0.499,0.86,0.289,16.30%,11.00%
10,Fernando Tatis Jr.,SDP,148,565,646,152,93,28,2,28,98,81,71,3,128,6,3,1,26,6,20,0.269,0.355,0.478,0.833,0.301,19.80%,10.90%
11,Ronald Acuna Jr.,ATL,144,533,629,149,94,25,2,28,106,78,86,4,134,7,3,1,25,7,18,0.279,0.385,0.493,0.878,0.324,21.40%,13.60%
12,Kyle Tucker,LAD,143,528,620,142,82,28,2,30,94,88,84,6,92,3,4,1,23,5,18,0.269,0.371,0.499,0.869,0.274,14.90%,13.60%
13,Francisco Lindor,NYM,140,547,618,141,88,27,1,25,91,76,55,1,113,10,5,1,23,5,18,0.259,0.336,0.45,0.785,0.282,18.30%,8.90%
14,Vladimir Guerrero Jr.,TOR,153,577,663,170,109,32,0,29,94,95,75,8,91,6,4,0,5,2,3,0.294,0.379,0.5,0.879,0.305,13.70%,11.30%
15,Corey Seager,TEX,123,459,526,125,75,24,0,26,70,76,59,9,98,4,4,0,2,1,1,0.273,0.359,0.498,0.857,0.292,18.60%,11.30%
16,Corbin Carroll,ARI,138,525,604,135,73,27,10,26,97,77,64,3,128,8,5,2,32,7,25,0.257,0.344,0.492,0.836,0.291,21.10%,10.50%
17,William Contreras,MIL,145,526,603,140,92,27,1,19,76,77,69,3,116,4,4,0,6,2,4,0.266,0.353,0.431,0.784,0.306,19.30%,11.40%
18,Will Smith,LAD,124,429,501,112,70,21,1,20,69,69,58,3,98,8,6,0,2,1,1,0.262,0.357,0.457,0.814,0.291,19.50%,11.60%
