#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
1,Aaron Judge,NYY,149,517,644,147,78,25,1,43,111,111,115,24,158,6,5,1,9,2,7,0.285,0.418,0.588,1.006,0.326,24.60%,17.90%
2,Bobby Witt Jr.,KCR,157,616,679,177,104,37,7,29,104,95,49,6,117,7,6,1,33,10,23,0.288,0.344,0.512,0.856,0.312,17.20%,7.20%
3,Cal Raleigh,SEA,159,550,637,127,63,23,0,40,88,103,78,11,171,5,4,1,8,2,6,0.23,0.33,0.493,0.823,0.252,26.80%,12.20%
4,Shohei Ohtani,LAD,157,575,679,162,81,28,5,48,129,118,94,16,164,5,4,2,26,6,20,0.282,0.385,0.599,0.983,0.311,24.10%,13.80%
5,Juan Soto,NYM,159,548,686,149,86,24,1,38,114,102,128,9,120,4,4,2,23,5,18,0.272,0.411,0.528,0.939,0.282,17.60%,18.70%
6,Gunnar Henderson,BAL,156,590,672,161,95,33,5,29,101,91,70,4,141,6,4,1,22,5,17,0.273,0.354,0.49,0.844,0.312,20.90%,10.50%
7,Julio Rodriguez,SEA,159,625,686,169,105,30,2,31,96,101,48,5,151,9,4,1,26,7,19,0.27,0.33,0.477,0.807,0.308,22.00%,7.00%
8,Fernando Tatis Jr.,SDP,156,586,672,158,96,30,2,30,102,90,75,4,131,6,3,1,25,6,19,0.27,0.358,0.481,0.839,0.299,19.50%,11.20%
9,Ronald Acuna Jr.,ATL,151,548,651,157,97,26,2,31,115,84,92,4,133,7,3,2,26,6,20,0.286,0.393,0.512,0.905,0.324,20.40%,14.10%
10,Francisco Lindor,NYM,146,558,630,146,91,28,1,26,94,78,55,2,115,11,5,2,22,4,18,0.261,0.337,0.452,0.789,0.285,18.20%,8.80%
11,Mookie Betts,LAD,151,567,651,155,97,31,3,24,95,90,73,3,77,4,5,1,9,2,7,0.274,0.358,0.468,0.826,0.278,11.80%,11.20%
12,Kyle Tucker,LAD,151,555,651,149,86,28,2,33,101,99,88,6,95,3,3,2,22,4,18,0.268,0.37,0.505,0.875,0.27,14.70%,13.50%
13,Jose Ramirez,CLE,157,602,679,165,99,34,3,29,95,96,66,20,80,5,6,0,32,7,25,0.273,0.347,0.483,0.83,0.272,11.70%,9.80%
14,Alejandro Kirk,TOR,125,435,495,118,84,19,0,15,52,63,50,2,60,4,5,0,1,0,1,0.272,0.35,0.422,0.772,0.283,12.10%,10.20%
15,Corbin Carroll,ARI,147,554,637,143,78,26,12,27,101,89,68,3,133,9,5,2,34,7,27,0.258,0.346,0.494,0.84,0.292,20.90%,10.70%
16,Vladimir Guerrero Jr.,TOR,157,590,679,173,106,33,0,34,98,105,78,9,92,6,5,0,5,2,3,0.294,0.379,0.521,0.9,0.298,13.60%,11.40%
17,Elly De La Cruz,CIN,156,598,672,157,95,31,6,24,96,89,66,6,173,4,3,1,41,11,30,0.262,0.338,0.459,0.797,0.328,25.80%,9.80%
18,Geraldo Perdomo,ARI,159,581,686,154,106,30,4,15,96,72,83,1,88,8,6,7,23,6,17,0.266,0.363,0.408,0.771,0.289,12.90%,12.20%
19,Pete Crow-Armstrong,CHC,149,591,644,150,88,30,5,26,88,92,35,1,155,9,6,4,34,9,25,0.253,0.303,0.456,0.758,0.297,24.00%,5.40%
20,Junior Caminero,TBR,154,610,665,165,96,29,1,39,89,116,46,1,127,4,5,0,6,2,4,0.27,0.323,0.513,0.836,0.279,19.10%,6.90%
21,Ketel Marte,ARI,147,554,637,152,91,31,3,27,94,86,70,6,104,7,5,1,6,1,5,0.273,0.359,0.486,0.845,0.29,16.30%,10.90%
22,Patrick Bailey,SFG,133,473,525,108,74,20,2,11,53,53,41,0,137,3,5,2,3,0,3,0.228,0.291,0.349,0.64,0.293,26.00%,7.90%
23,William Contreras,MIL,152,531,610,143,94,29,1,20,79,77,71,4,116,4,4,0,6,2,4,0.27,0.358,0.44,0.797,0.309,19.00%,11.70%
24,Trea Turner,PHI,149,591,644,167,114,30,4,19,92,73,42,1,118,6,4,2,28,5,23,0.283,0.334,0.442,0.777,0.323,18.30%,6.60%
25,Wyatt Langford,TEX,149,558,644,144,87,29,2,25,90,80,75,3,145,6,4,1,22,6,16,0.257,0.349,0.453,0.802,0.302,22.60%,11.70%
26,Yordan Alvarez,HOU,130,475,560,140,81,28,1,29,83,85,71,11,97,7,6,1,3,1,2,0.294,0.391,0.544,0.935,0.311,17.30%,12.70%
27,Matt Chapman,SFG,156,583,672,141,81,31,2,27,89,84,77,1,165,8,4,0,9,3,6,0.241,0.336,0.438,0.774,0.289,24.60%,11.40%
28,Bo Bichette,NYM,152,608,658,177,122,34,1,19,81,86,42,1,107,4,4,1,6,3,3,0.291,0.338,0.447,0.785,0.324,16.30%,6.40%
29,Jackson Merrill,SDP,146,576,630,155,97,29,5,24,82,84,42,2,121,4,5,3,7,3,4,0.27,0.321,0.462,0.783,0.301,19.10%,6.60%
30,Zach Neto,LAA,154,595,665,152,88,34,1,28,94,85,46,4,159,18,4,3,28,9,19,0.255,0.325,0.459,0.784,0.3,23.90%,6.90%
31,Corey Seager,TEX,130,489,560,131,80,25,0,26,76,77,62,10,102,5,4,0,3,0,3,0.268,0.354,0.478,0.832,0.289,18.20%,11.10%
32,Adley Rutschman,BAL,141,495,566,126,79,27,1,19,68,68,64,2,89,3,4,0,1,0,1,0.254,0.34,0.426,0.767,0.274,15.70%,11.30%
33,Willy Adames,SFG,157,596,679,141,85,28,1,27,85,87,72,2,166,4,6,0,12,4,8,0.236,0.321,0.422,0.743,0.279,24.40%,10.70%
34,Nico Hoerner,CHC,154,607,665,171,128,30,3,9,79,65,43,1,62,10,4,1,27,7,20,0.281,0.336,0.387,0.723,0.299,9.30%,6.40%
35,Gabriel Moreno,ARI,115,406,456,113,80,21,1,11,54,56,43,2,77,4,3,0,4,2,2,0.279,0.351,0.421,0.772,0.318,17.00%,9.50%
36,Bryce Harper,PHI,154,574,665,157,91,37,0,29,90,95,81,8,143,5,5,0,11,3,8,0.273,0.365,0.492,0.857,0.314,21.50%,12.20%
37,Jeremy Pena,HOU,151,595,651,161,111,30,2,19,83,71,38,2,116,12,4,3,18,5,13,0.271,0.325,0.421,0.746,0.307,17.80%,5.80%
38,Dansby Swanson,CHC,159,619,686,149,98,27,2,22,82,80,58,1,174,4,4,1,16,4,12,0.241,0.308,0.398,0.707,0.298,25.40%,8.50%
39,Alex Bregman,CHC,156,584,672,146,93,29,1,23,87,82,74,2,96,9,5,1,3,1,2,0.25,0.34,0.421,0.761,0.262,14.30%,11.00%
