#,Team,Position,Name,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%
1,NYY,OF,Aaron Judge,567.9728814,704,161.0847458,76.36610169,27.4440678,0,57.27457627,119.3220339,133.640678,125.2881356,0,190.9152542,4.772881356,5.966101695,0,9.545762712,3.579661017,5.966101695,0.284,0.413559322,0.634453782,1.048013104,0.318681319,27.11864407,17.79661017,559,704,180,85,36,1,58,122,144,133,20,171,9,2,0,10,0,0.322,0.458,0.701,1.159,0.367,24.3,18.9
2,HOU,OF,Yordan Alvarez,533.5368043,635,160.7450628,84.36265709,31.92100539,1.140035907,43.32136445,104.8833034,115.1436266,84.36265709,0,116.2836625,10.26032316,6.84021544,0,0,0,0,0.301,0.402154399,0.608974359,1.011128758,0.308383234,18.31238779,13.28545781,552,635,170,99,34,2,35,88,86,69,16,95,10,4,0,6,0,0.308,0.392,0.567,0.959,0.317,15,10.9
3,ATL,OF,Ronald Acuna Jr.,192.6176471,222,62.35588235,37.87058824,10.77352941,0.979411765,12.73235294,42.44117647,31.99411765,24.81176471,0,31.66764706,3.264705882,1.305882353,0,20.24117647,4.897058824,15.34411765,0.324,0.407352941,0.588135593,0.995488534,0.331877729,14.26470588,11.17647059,192,222,48,35,8,1,4,38,15,27,0,53,3,0,0,16,3,0.25,0.351,0.365,0.716,0.326,23.9,12.2
4,NYY,OF,Juan Soto,566.4631902,713,161.8466258,92.95245399,31.71319018,1.093558282,36.08742331,115.9171779,103.8880368,138.8819018,0,107.1687117,3.280674847,4.374233129,0,10.93558282,4.374233129,6.561349693,0.286,0.426380368,0.536679537,0.963059905,0.294117647,15.03067485,19.47852761,576,713,166,90,31,4,41,128,109,129,2,119,4,4,0,7,4,0.288,0.419,0.569,0.989,0.298,16.7,18.1
5,LAD,UTIL.,Shohei Ohtani,615.9459459,731,169.6756757,86,27.89189189,6.972972973,48.81081081,130.1621622,126.6756757,104.5945946,0,189.4324324,4.648648649,5.810810811,0,24.40540541,6.972972973,17.43243243,0.275,0.381558029,0.581132075,0.962690104,0.315151515,25.91414944,14.30842607,636,731,197,98,38,7,54,134,130,81,10,162,6,5,0,59,4,0.31,0.39,0.646,1.036,0.336,22.2,11.1
6,TEX,SS,Corey Seager,475.0848896,533,145.6926995,80.53820034,32.57724958,0.904923599,31.67232598,81.44312394,91.39728353,47.05602716,0,85.96774194,5.429541596,5.429541596,0,2.714770798,0.904923599,1.809847199,0.307,0.371816638,0.579047619,0.950864257,0.314214464,16.12903226,8.82852292,475,533,132,81,21,0,30,68,74,53,11,96,3,2,0,1,1,0.278,0.353,0.512,0.864,0.291,18,9.9
7,PHI,1B,Bryce Harper,535.0642633,631,156.2664577,85.05642633,37.5830721,0.989028213,32.63793103,93.95768025,92.96865204,85.05642633,0,133.5188088,5.934169279,4.945141066,0,12.85736677,2.967084639,9.890282132,0.292,0.39184953,0.548983364,0.940832894,0.330687831,21.15987461,13.47962382,550,631,157,85,42,0,30,85,87,76,11,138,2,2,1,7,4,0.285,0.373,0.525,0.898,0.331,21.9,12
8,SDP,OF,Fernando Tatis Jr.,390.5774436,438,109.993985,56.64360902,23.05263158,1.317293233,28.98045113,70.47518797,67.18195489,41.49473684,0,101.4315789,3.293233083,2.634586466,0,20.41804511,3.293233083,17.12481203,0.282,0.353383459,0.569983137,0.923366595,0.308270677,23.15789474,9.473684211,398,438,110,67,21,1,21,64,49,32,0,96,7,1,0,11,3,0.276,0.34,0.492,0.833,0.316,21.9,7.3
9,LAD,"OF, 2B, SS",Mookie Betts,442.8358209,516,128.6149254,72.39402985,29.26567164,1.540298507,25.41492537,81.6358209,80.09552239,63.15223881,0,78.55522388,6.16119403,3.850746269,0,10.0119403,3.080597015,6.931343284,0.29,0.38358209,0.535652174,0.919234263,0.301123596,15.2238806,12.23880597,450,516,130,82,24,5,19,75,75,61,2,57,1,4,0,16,2,0.289,0.372,0.491,0.863,0.294,11,11.8
11,BOS,3B,Rafael Devers,535.3681747,601,153.7659906,83.44617785,34.69110764,0.937597504,34.69110764,86.25897036,101.2605304,55.31825273,0,114.3868955,6.563182527,3.750390016,0,3.750390016,1.875195008,1.875195008,0.287,0.358814353,0.549912434,0.908726787,0.305288462,19.03276131,9.204368175,525,601,143,76,34,5,28,87,83,67,14,147,3,6,0,3,0,0.272,0.354,0.516,0.871,0.323,24.5,11.1
