#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,HIP,1B%,2B%,3B%,HR%,R%,RBI%,IBB%,HBP%,SF%,SH%,SB%,CS%
252,Alek Thomas,ARI,63,251,273,64,41,13,2,7,34,33,18,0,51,2,2,1,6,2,4,0.255,0.307692308,0.402390438,0.710082746,0.292307692,18.68131868,6.593406593,57,0.7192982456140351,0.22807017543859648,0.03508771929824561,0.02564102564102564,0.12454212454212454,0.12087912087912088,0.0,0.007326007326007326,0.007326007326007326,0.003663003663003663,0.02197802197802198,0.007326007326007326
33,Corbin Carroll,ARI,156,583,672,151,91,26,11,23,108,84,70,1,130,11,5,3,38,7,31,0.259,0.346786248,0.459691252,0.8064775,0.294252874,19.3452381,10.41666667,128,0.7109375,0.203125,0.0859375,0.03422619047619048,0.16071428571428573,0.125,0.001488095238095238,0.01636904761904762,0.00744047619047619,0.004464285714285714,0.05654761904761905,0.010416666666666666
132,Eugenio Suarez,ARI,141,537,609,125,76,25,1,23,70,78,56,0,175,10,6,1,2,1,1,0.233,0.3136289,0.411545624,0.725174524,0.295652174,28.73563218,9.195402299,102,0.7450980392156863,0.24509803921568626,0.00980392156862745,0.03776683087027915,0.11494252873563218,0.12807881773399016,0.0,0.016420361247947456,0.009852216748768473,0.0016420361247947454,0.003284072249589491,0.0016420361247947454
32,Gabriel Moreno,ARI,128,449,507,127,90,25,1,10,58,59,49,1,83,4,4,1,6,2,4,0.283,0.355731225,0.407572383,0.763303608,0.325,16.37080868,9.66469428,117,0.7692307692307693,0.21367521367521367,0.008547008547008548,0.01972386587771203,0.11439842209072978,0.11637080867850098,0.0019723865877712033,0.007889546351084813,0.007889546351084813,0.0019723865877712033,0.011834319526627219,0.0039447731755424065
171,Jake McCarthy,ARI,126,491,546,131,94,20,7,10,68,61,39,0,98,10,3,3,28,7,21,0.266,0.331491713,0.397148676,0.728640389,0.313471503,17.94871795,7.142857143,121,0.7768595041322314,0.1652892561983471,0.05785123966942149,0.018315018315018316,0.12454212454212454,0.11172161172161173,0.0,0.018315018315018316,0.005494505494505495,0.005494505494505495,0.05128205128205128,0.01282051282051282
264,Jordan Lawlar,ARI,60,231,259,54,37,11,1,5,31,27,21,0,63,4,2,1,8,2,6,0.235,0.30620155,0.354978355,0.661179905,0.296969697,24.32432432,8.108108108,49,0.7551020408163265,0.22448979591836735,0.02040816326530612,0.019305019305019305,0.11969111969111969,0.10424710424710425,0.0,0.015444015444015444,0.007722007722007722,0.003861003861003861,0.03088803088803089,0.007722007722007722
167,Josh Naylor,ARI,141,547,609,146,90,32,0,23,72,93,50,7,95,6,5,0,7,2,5,0.266,0.332236842,0.449725777,0.781962619,0.283410138,15.59934319,8.210180624,123,0.7317073170731707,0.2601626016260163,0.0,0.03776683087027915,0.11822660098522167,0.15270935960591134,0.011494252873563218,0.009852216748768473,0.008210180623973728,0.0,0.011494252873563218,0.003284072249589491
26,Ketel Marte,ARI,147,558,637,153,91,32,4,26,92,87,67,5,115,6,5,1,7,2,5,0.274,0.355345912,0.485663082,0.841008994,0.300947867,18.0533752,10.51805338,127,0.7165354330708661,0.25196850393700787,0.031496062992125984,0.04081632653061224,0.14442700156985872,0.13657770800627944,0.007849293563579277,0.009419152276295133,0.007849293563579277,0.0015698587127158557,0.01098901098901099,0.0031397174254317113
214,Lourdes Gurriel Jr.,ARI,130,518,560,141,94,28,2,17,64,73,32,1,102,6,4,0,5,1,4,0.272,0.319642857,0.432432432,0.75207529,0.307692308,18.21428571,5.714285714,124,0.7580645161290323,0.22580645161290322,0.016129032258064516,0.030357142857142857,0.11428571428571428,0.13035714285714287,0.0017857142857142857,0.010714285714285714,0.007142857142857143,0.0,0.008928571428571428,0.0017857142857142857
312,Pavin Smith,ARI,81,306,350,76,49,15,1,10,41,43,39,1,74,2,2,0,2,1,1,0.248,0.335243553,0.39869281,0.733936363,0.294642857,21.14285714,11.14285714,66,0.7424242424242424,0.22727272727272727,0.015151515151515152,0.02857142857142857,0.11714285714285715,0.12285714285714286,0.002857142857142857,0.005714285714285714,0.005714285714285714,0.0,0.005714285714285714,0.002857142857142857
44,Brent Rooker,ATH,149,568,644,147,81,25,2,38,86,101,63,3,190,8,4,1,8,2,6,0.258,0.33903577,0.508802817,0.847838587,0.316860465,29.50310559,9.782608696,109,0.7431192660550459,0.22935779816513763,0.01834862385321101,0.059006211180124224,0.13354037267080746,0.15683229813664595,0.004658385093167702,0.012422360248447204,0.006211180124223602,0.0015527950310559005,0.012422360248447204,0.003105590062111801
57,Jacob Wilson,ATH,126,501,546,143,98,33,3,9,70,58,32,0,54,7,4,3,4,2,2,0.286,0.334558824,0.417165669,0.751724492,0.303167421,9.89010989,5.860805861,134,0.7313432835820896,0.2462686567164179,0.022388059701492536,0.016483516483516484,0.1282051282051282,0.10622710622710622,0.0,0.01282051282051282,0.007326007326007326,0.005494505494505495,0.007326007326007326,0.003663003663003663
88,JJ Bleday,ATH,152,573,658,130,72,32,3,24,79,77,77,1,141,4,3,1,5,2,3,0.228,0.321156773,0.420593368,0.741750141,0.257907543,21.42857143,11.70212766,106,0.6792452830188679,0.3018867924528302,0.02830188679245283,0.0364741641337386,0.12006079027355623,0.11702127659574468,0.001519756838905775,0.0060790273556231,0.004559270516717325,0.001519756838905775,0.007598784194528876,0.00303951367781155
