Team,Name
TOR,George Springer
TOR,Daulton Varsho
TOR,Vladimir Guerrero Jr.
TOR,Bo Bichette
TOR,Alejandro Kirk
TOR,Davis Schneider
TOR,Orelvis Martinez
TOR,Anthony Santander
TOR,Andres Gimenez
BAL,Gunnar Henderson
BAL,Adley Rutschman
BAL,Ryan Mountcastle
BAL,Colton Cowser
BAL,Cedric Mullins
BAL,Jordan Westburg
BAL,Heston Kjerstad
BAL,Jackson Holliday
BAL,Coby Mayo
BAL,Tyler O'Neill
BAL,Ryan O'Hearn
TBR,Yandy Diaz
TBR,Brandon Lowe
TBR,Junior Caminero
TBR,Josh Lowe
TBR,Christopher Morel
TBR,Jonathan Aranda
TBR,Curtis Mead
TBR,Jose Caballero
TBR,Ha-Seong Kim
BOS,Jarren Duran
BOS,Rafael Devers
BOS,Triston Casas
BOS,Trevor Story
BOS,Masataka Yoshida
BOS,Wilyer Abreu
BOS,Connor Wong
BOS,Kristian Campbell
BOS,Roman Anthony
BOS,Ceddanne Rafaela
NYY,Anthony Volpe
NYY,Jazz Chisholm Jr.
NYY,Aaron Judge
NYY,Austin Wells
NYY,Giancarlo Stanton
NYY,Jasson Dominguez
NYY,Ben Rice
NYY,Cody Bellinger
NYY,Paul Goldschmidt
CLE,Steven Kwan
CLE,Kyle Manzardo
CLE,Jose Ramirez
CLE,Lane Thomas
CLE,Bo Naylor
CLE,David Fry
KCR,Bobby Witt Jr.
KCR,Vinnie Pasquantino
KCR,Salvador Perez
KCR,MJ Melendez
KCR,Maikel Garcia
KCR,Jonathan India
DET,Parker Meadows
DET,Gleyber Torres
DET,Kerry Carpenter
DET,Riley Greene
DET,Colt Keith
DET,Spencer Torkelson
DET,Jace Jung
MIN,Willi Castro
MIN,Carlos Correa
MIN,Trevor Larnach
MIN,Byron Buxton
MIN,Royce Lewis
MIN,Brooks Lee
MIN,Ryan Jeffers
MIN,Edouard Julien
MIN,Matt Wallner
CHW,Luis Robert Jr.
CHW,Andrew Vaughn
CHW,Lenyn Sosa
LAA,Taylor Ward
LAA,Luis Rengifo
LAA,Mike Trout
LAA,Jorge Soler
LAA,Nolan Schanuel
LAA,Zach Neto
LAA,Logan O'Hoppe
LAA,Jo Adell
SEA,Jorge Polanco
SEA,Victor Robles
SEA,Julio Rodriguez
SEA,Cal Raleigh
SEA,Randy Arozarena
SEA,Luke Raley
