Team,Name,G,AB,PA,BABIP,K%,BB%,H%,1B%,2B%,3B%,HR%,R%,RBI%,IBB%,HBP%,SF%,SB%,CS%,SH%
ARI,Alek Thomas,92,297,386,0.297390231,18.68131868,6.599934719,0.22915804,0.730947581,0.234375,0.032053251,0.021782178,0.120929895,0.112211221,0.002970297,0.006610237,0.00660066,0.022989881,0.006673195,0.003998703
ARI,Corbin Carroll,150,568,655,0.295229493,19.3452381,10.27596989,0.224354405,0.697274797,0.248,0.077580488,0.03338438,0.156459199,0.114854518,0.002139621,0.014227996,0.006738132,0.059406676,0.010689446,0.004573235
ARI,Eugenio Suarez,146,535,605,0.293737336,28.73563218,8.979241723,0.208710153,0.736633663,0.257425743,0.009940594,0.039137645,0.114736662,0.137645108,0.00066335,0.015093965,0.008955224,0.003313482,0.001656741,0
ARI,Gabriel Moreno,121,402,453,0.318812112,16.37080868,8.566469428,0.247613833,0.769998096,0.213592233,0.01372549,0.02,0.116639053,0.117777778,0.002197239,0.010806452,0.007555556,0.011183432,0.002394477,0
ARI,Jake McCarthy,138,479,472,0.309741144,17.94871795,6.807129041,0.236526408,0.773119756,0.182608696,0.049278062,0.013926499,0.126562799,0.098646035,0.001740812,0.015906697,0.005802708,0.053870952,0.011726926,0.007847253
ARI,Jordan Lawlar,66,235,494,0.31547619,24.32432432,7.337528368,0.224297798,0.764150943,0.20754717,0.026632801,0.022900763,0.122196351,0.103053435,0,0.012295393,0.007633588,0.040875063,0.00764243,0.003019255
ARI,Josh Naylor,141,537,598,0.279692139,15.59934319,8.371353633,0.235225101,0.751702037,0.237288136,0.003333333,0.03557047,0.118586967,0.152684564,0.009538687,0.011601398,0.008389262,0.011719895,0.003348541,0
ARI,Ketel Marte,141,537,614,0.298251907,18.0533752,10.57949264,0.242085253,0.719453552,0.262295082,0.025084034,0.044299674,0.141379328,0.14495114,0.006648122,0.009665868,0.007166124,0.011359487,0.003245568,0
ARI,Lourdes Gurriel Jr.,134,523,565,0.306025738,18.21428571,5.714285714,0.252300105,0.767741935,0.217741935,0.016129032,0.029642857,0.115714286,0.130357143,0.001071429,0.008989913,0.008214286,0.010535714,0.003392857,0
ARI,Pavin Smith,88,270,478,0.276075353,21.14285714,10.11428571,0.212318183,0.738784067,0.240740741,0.018728162,0.033333333,0.116952381,0.13,0.003285714,0.006449438,0.006666667,0.006571429,0.000285714,0
ATH,Brent Rooker,143,533,602,0.303237229,29.50310559,9.187216094,0.221406905,0.730693878,0.255102041,0.016123711,0.058043118,0.135182267,0.152570481,0.0056068,0.016111814,0.006633499,0.013182535,0.003295634,0
ATH,Jacob Wilson,129,449,490,0.294086566,9.89010989,5.0032585,0.254536892,0.77238457,0.198275862,0.017126013,0.012269939,0.118640868,0.09202454,0.001840491,0.010764954,0.006952965,0.008094564,0.002206791,0.006203988
ATH,JJ Bleday,146,521,599,0.2559138,21.42857143,10.96920774,0.201878765,0.686204082,0.285714286,0.026247423,0.035845896,0.118937647,0.110552764,0.001659513,0.006538625,0.007035176,0.006790029,0.003319027,0.001686966
ATH,Lawrence Butler,147,533,585,0.288999482,23.91304348,7.868848543,0.228264851,0.733577982,0.247619048,0.024060931,0.041709402,0.132337952,0.117948718,0.002377502,0.003260409,0.006837607,0.032336359,0.005081223,0.000683761
ATH,Shea Langeliers,128,455,501,0.26387082,27.07509881,7.430750988,0.207377735,0.721678322,0.269230769,0.025840826,0.052,0.121132016,0.14,0.002195257,0.009967118,0.008,0.006190514,0.002195257,0
ATH,Tyler Soderstrom,135,467,517,0.278002716,26.69172932,7.815686477,0.208210534,0.745306809,0.244186047,0.019163714,0.042661448,0.110031929,0.127201566,0.003898445,0.009902753,0.007827789,0.001949222,0.001949222,0
ATH,Zack Gelof,142,528,583,0.300730547,31.26984127,7.288496154,0.202478695,0.730241187,0.242424242,0.020492321,0.033676976,0.119008346,0.103092784,0,0.008278407,0.005841924,0.039535264,0.00852561,0.003560363
ATL,Austin Riley,149,579,646,0.312504294,24.30044183,8.463631157,0.239795365,0.73141883,0.25,0.01620771,0.05,0.139853452,0.143518519,0.003542337,0.015378955,0.008333333,0.003072329,0,0
ATL,Drake Baldwin,37,124,220,0.282352941,23.88059701,8.056763427,0.210181237,0.788043478,0.208333333,0,0.023622047,0.108109061,0.11023622,0,0.008605052,0.007874016,0,0,0
ATL,Jurickson Profar,132,508,587,0.277215145,16.16954474,10.50201691,0.220902388,0.767431399,0.219298246,0.008606466,0.026490066,0.126243671,0.107615894,0.003294104,0.015091268,0.006622517,0.011529365,0.003294104,0.005011965
ATL,Marcell Ozuna,149,556,624,0.296124492,24.81203008,9.890406015,0.232773279,0.757964602,0.25,0.003603604,0.04992,0.129171729,0.1472,0.002230376,0.006270204,0.0064,0.001590376,0,0
ATL,Matt Olson,155,574,663,0.281672687,23.76093294,11.88858934,0.216139423,0.732732733,0.259259259,0.009009009,0.049698795,0.13347852,0.152108434,0.009007166,0.009048561,0.00753012,0.001501194,0,0
ATL,Michael Harris II,137,536,577,0.316714491,19.20634921,6.49464185,0.258743638,0.741860465,0.23255814,0.027412587,0.034856176,0.141890259,0.120135364,0.004039965,0.010208484,0.005076142,0.030427041,0.008407864,0.000676819
ATL,Ozzie Albies,142,559,612,0.280194717,15.95744681,6.994571604,0.23837982,0.71742126,0.25984252,0.0265625,0.032907348,0.129537664,0.129392971,0.001589675,0.00959519,0.009584665,0.019076104,0.004769026,0
ATL,Ronald Acuna Jr.,118,461,534,0.322213335,18.08318264,11.30777577,0.249292927,0.755531011,0.245454545,0.018487681,0.043047619,0.18044123,0.12,0.00455214,0.015359624,0.005714286,0.060195298,0.018770344,0.000761905
ATL,Sean Murphy,111,374,430,0.277178536,23.54312354,9.577206283,0.204233209,0.738809524,0.263888889,0.014205231,0.039719626,0.118064179,0.123831776,0.002335904,0.021323315,0.007009346,0.0002331,0,0
BAL,Adley Rutschman,143,533,611,0.281148854,15.6996587,10.8163288,0.224660239,0.760518445,0.218487395,0.011751412,0.03132137,0.122749974,0.11908646,0.004916513,0.007859081,0.008156607,0.003277675,0,0.000652529
