#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,HIP,1B%,2B%,3B%,HR%,R%,RBI%,IBB%,HBP%,SF%,SH%,SB%,CS%
225,Alek Thomas,ARI,83,278,303,69,46,15,2,6,35,33,20,1,60,2,2,1,6,2,4,0.247,0.301324503,0.381294964,0.682619467,0.294392523,19.8019802,6.600660066,63,0.7301587301587301,0.23809523809523808,0.031746031746031744,0.019801980198019802,0.11551155115511551,0.10891089108910891,0.0033003300330033004,0.006600660066006601,0.006600660066006601,0.0033003300330033004,0.019801980198019802,0.006600660066006601
19,Corbin Carroll,ARI,150,570,653,147,86,30,9,22,102,74,66,1,129,9,4,3,40,7,33,0.258,0.342064715,0.457894737,0.799959452,0.295508274,19.75497703,10.10719755,125,0.688,0.24,0.072,0.033690658499234305,0.1562021439509954,0.11332312404287902,0.0015313935681470138,0.013782542113323124,0.006125574272588055,0.004594180704441042,0.06125574272588055,0.010719754977029096
106,Eugenio Suarez,ARI,145,534,603,124,74,24,1,24,71,84,54,0,174,9,5,1,1,0,1,0.232,0.310631229,0.413857678,0.724488907,0.293255132,28.85572139,8.955223881,100,0.74,0.24,0.01,0.03980099502487562,0.11774461028192372,0.13930348258706468,0.0,0.014925373134328358,0.008291873963515755,0.001658374792703151,0.001658374792703151,0.0
100,Gabriel Moreno,ARI,119,403,450,109,78,22,2,7,52,48,39,1,77,5,3,1,5,1,4,0.27,0.34,0.387096774,0.727096774,0.316770186,17.11111111,8.666666667,102,0.7647058823529411,0.21568627450980393,0.0196078431372549,0.015555555555555555,0.11555555555555555,0.10666666666666667,0.0022222222222222222,0.011111111111111112,0.006666666666666667,0.0022222222222222222,0.011111111111111112,0.0022222222222222222
164,Jake McCarthy,ARI,130,466,517,121,87,22,5,8,68,45,35,1,94,8,3,5,31,6,25,0.259,0.3203125,0.381974249,0.702286749,0.307901907,18.18181818,6.769825919,113,0.7699115044247787,0.19469026548672566,0.04424778761061947,0.015473887814313346,0.13152804642166344,0.08704061895551257,0.0019342359767891683,0.015473887814313346,0.005802707930367505,0.009671179883945842,0.059961315280464215,0.01160541586073501
217,Jordan Lawlar,ARI,64,238,262,59,41,11,2,6,33,27,19,0,66,3,2,0,10,2,8,0.25,0.309160305,0.390756303,0.699916608,0.31547619,25.19083969,7.251908397,53,0.7735849056603774,0.20754716981132076,0.03773584905660377,0.022900763358778626,0.12595419847328243,0.10305343511450382,0.0,0.011450381679389313,0.007633587786259542,0.0,0.03816793893129771,0.007633587786259542
115,Josh Naylor,ARI,140,534,596,144,90,29,1,24,75,87,50,6,90,7,5,0,8,2,6,0.269,0.337248322,0.462546816,0.799795139,0.282352941,15.10067114,8.389261745,120,0.75,0.24166666666666667,0.008333333333333333,0.040268456375838924,0.12583892617449666,0.14597315436241612,0.010067114093959731,0.01174496644295302,0.008389261744966443,0.0,0.013422818791946308,0.003355704697986577
17,Ketel Marte,ARI,141,538,614,148,86,30,3,29,87,95,64,4,112,6,4,1,6,2,4,0.275,0.35620915,0.503717472,0.859926622,0.296758105,18.24104235,10.42345277,119,0.7226890756302521,0.25210084033613445,0.025210084033613446,0.04723127035830619,0.14169381107491857,0.15472312703583063,0.006514657980456026,0.009771986970684038,0.006514657980456026,0.0016286644951140066,0.009771986970684038,0.003257328990228013
169,Lourdes Gurriel Jr.,ARI,133,517,560,142,95,28,2,18,68,75,32,1,100,5,5,0,6,2,4,0.275,0.320214669,0.442940039,0.763154708,0.306930693,17.85714286,5.714285714,124,0.7661290322580645,0.22580645161290322,0.016129032258064516,0.03214285714285714,0.12142857142857143,0.13392857142857142,0.0017857142857142857,0.008928571428571428,0.008928571428571428,0.0,0.010714285714285714,0.0035714285714285713
407,Pavin Smith,ARI,82,265,300,63,40,12,1,9,34,37,30,1,62,2,2,0,1,0,1,0.236,0.317725753,0.388679245,0.706404998,0.275510204,20.66666667,10.0,54,0.7407407407407407,0.2222222222222222,0.018518518518518517,0.03,0.11333333333333333,0.12333333333333334,0.0033333333333333335,0.006666666666666667,0.006666666666666667,0.0,0.0033333333333333335,0.0
42,Brent Rooker,ATH,142,533,603,134,71,25,1,37,85,92,54,2,180,10,4,0,7,2,5,0.252,0.329450915,0.510318949,0.839769864,0.303125,29.85074627,8.955223881,97,0.7319587628865979,0.25773195876288657,0.010309278350515464,0.06135986733001658,0.14096185737976782,0.15257048092868988,0.003316749585406302,0.01658374792703151,0.006633499170812604,0.0,0.011608623548922056,0.003316749585406302
101,Jacob Wilson,ATH,125,453,489,121,90,24,2,6,50,43,25,1,58,5,3,3,4,1,3,0.268,0.310699588,0.370860927,0.681560516,0.293367347,11.8609407,5.112474438,115,0.782608695652174,0.20869565217391303,0.017391304347826087,0.012269938650306749,0.10224948875255624,0.08793456032719836,0.002044989775051125,0.010224948875255624,0.006134969325153374,0.006134969325153374,0.0081799591002045,0.002044989775051125
