#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,HIP,1B%,2B%,3B%,HR%,R%,RBI%,IBB%,HBP%,SF%,SH%,SB%,CS%
213,Alek Thomas,ARI,83,277,303,70,47,15,2,6,35,33,20,1,61,2,2,1,6,2,4,0.251,0.305647841,0.386281588,0.691929429,0.301886792,20.1320132,6.600660066,64,0.734375,0.234375,0.03125,0.019801980198019802,0.11551155115511551,0.10891089108910891,0.0033003300330033004,0.006600660066006601,0.006600660066006601,0.0033003300330033004,0.019801980198019802,0.006600660066006601
24,Corbin Carroll,ARI,150,569,653,145,87,31,6,20,98,72,67,2,129,9,4,3,41,7,34,0.254,0.340523883,0.434094903,0.774618786,0.294811321,19.75497703,10.26033691,125,0.696,0.248,0.048,0.030627871362940276,0.15007656967840735,0.11026033690658499,0.0030627871362940277,0.013782542113323124,0.006125574272588055,0.004594180704441042,0.06278713629402756,0.010719754977029096
109,Eugenio Suarez,ARI,145,534,603,124,74,26,1,23,69,84,54,1,173,9,5,1,1,0,1,0.232,0.310631229,0.413857678,0.724488907,0.294460641,28.68988391,8.955223881,101,0.7326732673267327,0.25742574257425743,0.009900990099009901,0.03814262023217247,0.11442786069651742,0.13930348258706468,0.001658374792703151,0.014925373134328358,0.008291873963515755,0.001658374792703151,0.001658374792703151,0.0
78,Gabriel Moreno,ARI,119,404,450,112,79,22,2,9,54,52,38,1,78,5,3,1,5,2,3,0.277,0.344444444,0.408415842,0.752860286,0.321875,17.33333333,8.444444444,103,0.7669902912621359,0.21359223300970873,0.019417475728155338,0.02,0.12,0.11555555555555555,0.0022222222222222222,0.011111111111111112,0.006666666666666667,0.0022222222222222222,0.011111111111111112,0.0044444444444444444
176,Jake McCarthy,ARI,130,466,517,121,89,21,5,6,67,42,35,1,95,8,3,5,33,5,28,0.259,0.3203125,0.364806867,0.685119367,0.3125,18.37524178,6.769825919,115,0.7739130434782608,0.1826086956521739,0.043478260869565216,0.01160541586073501,0.12959381044487428,0.08123791102514506,0.0019342359767891683,0.015473887814313346,0.005802707930367505,0.009671179883945842,0.06382978723404255,0.009671179883945842
211,Jordan Lawlar,ARI,64,238,262,59,41,11,2,6,33,27,19,0,66,3,2,0,11,1,10,0.25,0.309160305,0.390756303,0.699916608,0.31547619,25.19083969,7.251908397,53,0.7735849056603774,0.20754716981132076,0.03773584905660377,0.022900763358778626,0.12595419847328243,0.10305343511450382,0.0,0.011450381679389313,0.007633587786259542,0.0,0.04198473282442748,0.003816793893129771
190,Josh Naylor,ARI,140,534,596,138,89,28,1,20,71,80,50,5,91,7,5,0,7,3,4,0.258,0.327181208,0.426966292,0.7541475,0.275700935,15.26845638,8.389261745,118,0.7542372881355932,0.23728813559322035,0.00847457627118644,0.03355704697986577,0.11912751677852348,0.1342281879194631,0.008389261744966443,0.01174496644295302,0.008389261744966443,0.0,0.01174496644295302,0.0050335570469798654
19,Ketel Marte,ARI,141,538,614,148,88,32,3,26,84,92,65,4,110,6,4,1,6,2,4,0.275,0.35725938,0.492565056,0.849824436,0.300492611,17.91530945,10.58631922,122,0.7213114754098361,0.26229508196721313,0.02459016393442623,0.04234527687296417,0.13680781758957655,0.1498371335504886,0.006514657980456026,0.009771986970684038,0.006514657980456026,0.0016286644951140066,0.009771986970684038,0.003257328990228013
196,Lourdes Gurriel Jr.,ARI,133,517,560,140,96,27,2,16,66,72,32,0,99,5,5,0,6,2,4,0.271,0.316636852,0.425531915,0.742168766,0.304668305,17.67857143,5.714285714,124,0.7741935483870968,0.21774193548387097,0.016129032258064516,0.02857142857142857,0.11785714285714285,0.12857142857142856,0.0,0.008928571428571428,0.008928571428571428,0.0,0.010714285714285714,0.0035714285714285713
364,Pavin Smith,ARI,82,265,300,64,40,13,1,10,35,39,30,1,62,2,2,0,1,0,1,0.241,0.321070234,0.411320755,0.732390989,0.276923077,20.66666667,10.0,54,0.7407407407407407,0.24074074074074073,0.018518518518518517,0.03333333333333333,0.11666666666666667,0.13,0.0033333333333333335,0.006666666666666667,0.006666666666666667,0.0,0.0033333333333333335,0.0
47,Brent Rooker,ATH,142,532,603,133,71,25,2,35,83,88,55,4,178,10,4,0,7,2,5,0.249,0.329450915,0.501879699,0.831330614,0.303405573,29.51907131,9.12106136,98,0.7244897959183674,0.25510204081632654,0.02040816326530612,0.05804311774461028,0.13764510779436154,0.14593698175787728,0.006633499170812604,0.01658374792703151,0.006633499170812604,0.0,0.011608623548922056,0.003316749585406302
91,Jacob Wilson,ATH,125,454,489,122,91,23,2,6,51,43,24,1,58,5,3,3,4,1,3,0.269,0.310699588,0.36784141,0.678540998,0.295165394,11.8609407,4.90797546,116,0.7844827586206896,0.19827586206896552,0.017241379310344827,0.012269938650306749,0.10429447852760736,0.08793456032719836,0.002044989775051125,0.010224948875255624,0.006134969325153374,0.006134969325153374,0.0081799591002045,0.002044989775051125
