#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
269,Alek Thomas,ARI,63,251,273,63,41,13,3,6,35,33,17,0,52,2,2,1,5,2,3,0.252,0.301470588,0.398406375,0.699876963,0.292307692,19.04761905,6.227106227
59,Corbin Carroll,ARI,156,582,672,149,91,26,11,21,111,88,69,1,136,12,5,3,35,6,29,0.256,0.344311377,0.446735395,0.791046772,0.297674419,20.23809524,10.26785714
135,Eugenio Suarez,ARI,141,535,609,124,75,25,1,23,71,81,56,0,176,10,8,0,1,1,0,0.233,0.311986864,0.411214953,0.723201817,0.293604651,28.8998358,9.195402299
25,Gabriel Moreno,ARI,128,450,507,128,93,25,1,10,56,60,49,1,83,4,4,0,5,1,4,0.285,0.357001972,0.413333333,0.770335306,0.326869806,16.37080868,9.66469428
195,Jake McCarthy,ARI,126,492,546,131,95,19,8,9,71,61,37,0,98,11,2,4,28,6,22,0.266,0.330258303,0.392276423,0.722534725,0.315245478,17.94871795,6.776556777
279,Jordan Lawlar,ARI,60,231,259,52,36,10,1,5,32,28,21,0,64,5,2,1,9,3,6,0.226,0.301158301,0.341991342,0.643149643,0.286585366,24.71042471,8.108108108
178,Josh Naylor,ARI,141,546,609,144,89,32,0,23,67,99,50,7,93,6,6,0,7,2,5,0.264,0.328947368,0.448717949,0.777665317,0.277522936,15.27093596,8.210180624
36,Ketel Marte,ARI,147,558,637,151,89,32,3,27,89,91,67,4,115,6,7,0,7,1,6,0.27,0.351097179,0.483870968,0.834968146,0.293144208,18.0533752,10.51805338
205,Lourdes Gurriel Jr.,ARI,130,518,560,141,95,28,2,16,63,72,32,1,102,5,4,0,5,1,4,0.272,0.31842576,0.426640927,0.745066687,0.309405941,18.21428571,5.714285714
321,Pavin Smith,ARI,81,308,350,76,50,15,2,10,42,45,39,2,71,2,2,0,2,1,1,0.248,0.333333333,0.409090909,0.742424242,0.288209607,20.28571429,11.14285714
32,Brent Rooker,ATH,149,570,644,153,84,26,2,40,83,110,62,3,187,8,4,0,9,2,7,0.268,0.346273292,0.529824561,0.876097853,0.325648415,29.03726708,9.627329193
82,Jacob Wilson,ATH,126,502,546,143,96,36,3,9,77,60,29,0,49,9,3,3,2,2,0,0.286,0.333333333,0.424302789,0.757636122,0.299776286,8.974358974,5.311355311
