#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,HIP,1B%,2B%,3B%,HR%,R%,RBI%,IBB%,HBP%,SF%,SH%,SB%,CS%
284,Alek Thomas,ARI,120,412,448,104,68,21,5,10,58,54,28,0,85,3,3,2,9,3,6,0.252,0.302690583,0.400485437,0.70317602,0.29375,18.97321429,6.25,94,0.723404255319149,0.22340425531914893,0.05319148936170213,0.022321428571428572,0.12946428571428573,0.12053571428571429,0.0,0.006696428571428571,0.006696428571428571,0.004464285714285714,0.020089285714285716,0.006696428571428571
25,Corbin Carroll,ARI,152,570,658,146,89,25,11,21,109,86,68,1,133,12,5,3,34,6,28,0.256,0.345038168,0.449122807,0.794160975,0.296912114,20.21276596,10.3343465,125,0.712,0.2,0.088,0.031914893617021274,0.1656534954407295,0.13069908814589665,0.001519756838905775,0.0182370820668693,0.007598784194528876,0.004559270516717325,0.05167173252279635,0.00911854103343465
149,Eugenio Suarez,ARI,146,529,602,123,74,25,1,23,70,80,55,0,174,10,8,0,1,1,0,0.233,0.312292359,0.413988658,0.726281017,0.294117647,28.90365449,9.136212625,100,0.74,0.25,0.01,0.03820598006644518,0.11627906976744186,0.132890365448505,0.0,0.016611295681063124,0.013289036544850499,0.0,0.0016611295681063123,0.0016611295681063123
53,Gabriel Moreno,ARI,101,330,372,94,68,18,1,7,41,44,36,1,61,3,3,0,4,1,3,0.285,0.357526882,0.409090909,0.766617791,0.328301887,16.39784946,9.677419355,87,0.7816091954022989,0.20689655172413793,0.011494252873563218,0.01881720430107527,0.11021505376344086,0.11827956989247312,0.002688172043010753,0.008064516129032258,0.008064516129032258,0.0,0.010752688172043012,0.002688172043010753
297,Jake McCarthy,ARI,137,455,505,121,88,18,7,8,66,56,34,0,91,10,2,4,26,6,20,0.266,0.329341317,0.389010989,0.718352306,0.315642458,18.01980198,6.732673267,113,0.7787610619469026,0.1592920353982301,0.061946902654867256,0.015841584158415842,0.1306930693069307,0.11089108910891089,0.0,0.019801980198019802,0.0039603960396039604,0.007920792079207921,0.05148514851485148,0.011881188118811881
319,Jordan Lawlar,ARI,92,358,402,81,56,16,2,7,49,43,32,0,99,8,3,1,14,4,10,0.226,0.301745636,0.340782123,0.642527759,0.290196078,24.62686567,7.960199005,74,0.7567567567567568,0.21621621621621623,0.02702702702702703,0.017412935323383085,0.12189054726368159,0.10696517412935323,0.0,0.01990049751243781,0.007462686567164179,0.0024875621890547263,0.03482587064676617,0.009950248756218905
252,Josh Naylor,ARI,141,522,582,138,85,31,0,22,64,95,48,7,89,6,6,0,7,2,5,0.264,0.329896907,0.450191571,0.780088478,0.278177458,15.29209622,8.24742268,116,0.7327586206896551,0.2672413793103448,0.0,0.037800687285223365,0.10996563573883161,0.16323024054982818,0.012027491408934709,0.010309278350515464,0.010309278350515464,0.0,0.012027491408934709,0.003436426116838488
35,Ketel Marte,ARI,135,503,574,136,80,29,3,24,80,82,60,4,104,5,6,0,6,1,5,0.27,0.350174216,0.483101392,0.833275608,0.293963255,18.1184669,10.45296167,112,0.7142857142857143,0.25892857142857145,0.026785714285714284,0.041811846689895474,0.13937282229965156,0.14285714285714285,0.006968641114982578,0.008710801393728223,0.010452961672473868,0.0,0.010452961672473868,0.0017421602787456446
291,Lourdes Gurriel Jr.,ARI,129,485,524,132,89,26,2,15,59,67,30,1,95,5,4,0,5,1,4,0.272,0.31870229,0.426804124,0.745506414,0.308707124,18.12977099,5.72519084,117,0.7606837606837606,0.2222222222222222,0.017094017094017096,0.02862595419847328,0.11259541984732824,0.12786259541984732,0.0019083969465648854,0.009541984732824428,0.007633587786259542,0.0,0.009541984732824428,0.0019083969465648854
630,Pavin Smith,ARI,120,391,445,97,63,19,2,13,54,57,49,2,90,2,3,0,2,1,1,0.248,0.33258427,0.406649616,0.739233886,0.288659794,20.2247191,11.01123596,84,0.75,0.2261904761904762,0.023809523809523808,0.029213483146067417,0.12134831460674157,0.12808988764044943,0.0044943820224719105,0.0044943820224719105,0.006741573033707865,0.0,0.0044943820224719105,0.0022471910112359553
