Name,Team,Position,BABIP,K%,BB%,HR%,1B%,2B%,3B%,R%,RBI%,IBB%,HBP%,SF%,SH%,SB%,CS%,NSB%
Aaron Judge,NYY ,OF,0.3205,0.2484,0.1727,0.07813305293089653,0.7362545018007204,0.26025410164065627,0.009848484848484806,0.1650943396226415,0.1758241758241758,0.03376545229058997,0.009432481265365321,0.0062893081761006,0.00141287284144422,0.01486673264623575,0.004322071519092451,0.0105446611271433
Shohei Ohtani,LAD ,Util,0.3115,0.24045,0.1376,0.07146198045819606,0.695443211068211,0.2697273166023165,0.04865529028373061,0.1844512195121951,0.165402124430956,0.022163060259346203,0.007618481438987291,0.0060975609756097,0.00136570561456752,0.0365188251043107,0.01024625134333585,0.026272573760974846
Bobby Witt Jr.,KC ,SS,0.31179999999999997,0.17099999999999999,0.073,0.04677291204730229,0.7121156241019254,0.2469225979499952,0.039879811968853054,0.1585365853658536,0.1393939393939394,0.008679776817349065,0.009292313377679202,0.0091463414634146,0.00136363636363635,0.05152296157450795,0.014170490392887824,0.03735247118162012
Juan Soto,NYM ,OF,0.28125,0.1778,0.1805,0.056446865885201675,0.7539949958298582,0.23571726438698912,0.009318681868186754,0.1589895988112927,0.1466666666666666,0.013178927015510005,0.005941775356336949,0.0059435364041604,0.0014791059280854402,0.03135082604470357,0.0079710144927536,0.023379811551949972
Jose Ramirez,CLE ,3B,0.26890000000000003,0.1162,0.09659999999999999,0.04070624264630113,0.7323582848837209,0.24559411337209303,0.021574091870074898,0.1399688958009331,0.1371340523882896,0.02713136519543447,0.00621508865175997,0.0093312597200622,0.0,0.0521267566960385,0.012142343289217223,0.03998441340682128
Elly De La Cruz,CIN ,SS,0.32930000000000004,0.26105,0.0915,0.03350681425043239,0.7287512195121951,0.24292682926829265,0.0405142276422764,0.1430842607313195,0.1210691823899371,0.008674960932868781,0.004764225935147081,0.0063593004769475,0.00156390386343211,0.06242278751123083,0.016249503073300448,0.04617328443793038
Ronald Acuna Jr.,ATL ,OF,0.32080000000000003,0.20639999999999997,0.1325,0.04634557132904785,0.772037400196106,0.2041952654433394,0.016269336723882144,0.1621187800963081,0.1240063593004769,0.005966536375038995,0.01266985992696493,0.0064205457463884,0.00143084260731312,0.03940983542501567,0.010565516787236176,0.028844318637779497
Julio Rodriguez,SEA ,OF,0.31515,0.22005,0.07200000000000001,0.04293271707201621,0.7683958029401863,0.19815396700706986,0.02204370459128079,0.1452599388379205,0.1380880121396054,0.00699088376900864,0.0137510267154849,0.0061162079510703,0.0,0.04243497745944247,0.0103938005509966,0.032041176908445865
Kyle Tucker,LAD ,OF,0.27345,0.14675,0.1318,0.04588105495429223,0.7266355878634639,0.24834070796460175,0.018319648020427785,0.1547231270358306,0.1419354838709677,0.009345982377399795,0.006347063150152331,0.00814332247557,0.00160522273425494,0.037039170506912376,0.007827746527379125,0.029211423979533253
Cal Raleigh,SEA ,C,0.2484,0.26995,0.1196,0.06263977635782747,0.7205139372822299,0.2696718931475029,0.0,0.1314102564102564,0.1629392971246006,0.01567926168993031,0.009612312607520261,0.0064102564102564,0.00143769968051112,0.013116846640351851,0.0036156783293072254,0.009501168311044625
Corbin Carroll,AZ ,OF,0.2929,0.2087,0.1043,0.042665291499294294,0.6696551441677587,0.2561230340760157,0.08951529673702274,0.1590163934426229,0.1274834437086092,0.004766575763365255,0.01312778199978281,0.0065573770491803,0.00329410419287421,0.053471363074012054,0.01198694589611265,0.041484417177899406
Junior Caminero,TB ,3B,0.28170000000000006,0.19219999999999998,0.0659,0.05746241829238029,0.7707977307746183,0.22739529345846757,0.008785997273579225,0.1293929712460063,0.1632329635499207,0.001924009986485745,0.007822412824108959,0.0079872204472843,0.0,0.009011236490592526,0.0033350334869543,0.0056762030036382255
Gunnar Henderson,BAL ,SS,0.31025,0.20894999999999997,0.09989999999999999,0.038308527077741746,0.7153846153846154,0.2596153846153846,0.03117721738126833,0.1419847328244274,0.1263318112633181,0.00538811281161351,0.009157516818292681,0.0076335877862595,0.0013698630136986301,0.036325831702544026,0.00809250023593295,0.028233331466611077
Kyle Schwarber,PHI ,OF,0.261,0.28259999999999996,0.1487,0.06160741799030728,0.7369601328903654,0.24266334440753043,0.012036505811606186,0.1441717791411043,0.1598173515981735,0.00699554570806825,0.010728025697771051,0.004601226993865,0.0013698630136986301,0.009035903989775926,0.003081827067559475,0.005954076922216451
Vladimir Guerrero Jr.,TOR ,1B,0.3049,0.13540000000000002,0.11019999999999999,0.04781297134238309,0.7790780141843971,0.22163120567375885,0.0029647349747338797,0.1463046757164404,0.143288084464555,0.01273143674599097,0.01040723981900444,0.0060331825037707,0.0,0.0078652396723955,0.0030473727952719,0.0048178668771236
Fernando Tatis Jr.,SD ,OF,0.30265,0.1961,0.1076,0.04486231563563638,0.75,0.219758064516129,0.01784046044470905,0.1521739130434782,0.1253869969040247,0.0056274397630905505,0.009313885737361301,0.0062111801242236,0.0013931888544891,0.039858377561550876,0.009124838918387074,0.0307335386431638
Nick Kurtz,ATH ,1B,0.31720000000000004,0.2885,0.11430000000000001,0.0587024853801169,0.7205899198167238,0.2586769759450171,0.018909595559080068,0.1456140350877193,0.1649305555555555,0.005399673425989154,0.007010233918128631,0.0070175438596491,0.00156249999999999,0.005123782467532425,0.00180918272481405,0.0033145997427183743
Pete Alonso,BAL ,1B,0.27495,0.22825,0.09409999999999999,0.05672695243687608,0.7516011770815303,0.2481824476371819,0.010649590650023369,0.1338461538461538,0.1572519083969465,0.007424780146272175,0.019984732824427483,0.0076923076923076,0.0,0.0033946418734330753,0.001534446267627375,0.0018601956058057003
Francisco Lindor,NYM ,SS,0.28125,0.18355,0.08689999999999999,0.040394257362590225,0.7494452773613194,0.23427661169415284,0.009974091901417688,0.1373182552504038,0.1229773462783171,0.002785091011481765,0.01470374494826709,0.0080775444264943,0.0014563106796115798,0.03743643088303283,0.00812388221768005,0.029312548665352777
Jackson Chourio,MIL ,OF,0.30820000000000003,0.20145,0.0627,0.03389659777424483,0.7351279317697228,0.23182022219728418,0.027500882712788503,0.128,0.1335453100158982,0.003342112489285145,0.00639593004769475,0.008,0.0015844524383423,0.038217466585588,0.0108718344012461,0.0273456321843419
Jazz Chisholm Jr.,NYY ,"2B,3B",0.2805,0.262,0.0953,0.04613466621699134,0.7601899077590885,0.21475854584915893,0.01985522887313441,0.1448040885860306,0.1302876480541455,0.0033125369164903997,0.00851212249615897,0.0068143100511073,0.00168704625207332,0.05583547964958778,0.013801919300455724,0.042033560349132054
Ketel Marte,AZ ,2B,0.2889,0.16365,0.1093,0.04726231215592909,0.7219520011394387,0.2600591083891184,0.018064259602145902,0.1407528641571195,0.1412337662337662,0.0088580492455872,0.00997433417646176,0.0065466448445171,0.00146103896103894,0.0084424504067361,0.0032670116904725504,0.005175438716263549
Trea Turner,PHI ,SS,0.3244,0.18195,0.0633,0.027424829518152283,0.7651676245210727,0.20104166666666667,0.02802345306220127,0.1364365971107544,0.1130573248407643,0.001323831942081725,0.008019292308635989,0.0064205457463884,0.0014331210191082,0.04469725442101507,0.008023882735611224,0.03667337168540384
Manny Machado,SD ,3B,0.28425,0.19569999999999999,0.08169999999999998,0.0448118279569892,0.7795151430953042,0.2269380383439844,0.001239669421487595,0.1258064516129032,0.1394230769230769,0.00626715266967721,0.0032237386269644303,0.0096774193548387,0.0,0.015087494027711399,0.004868395493395475,0.010219098534315924
Bryce Harper,PHI ,1B,0.31220000000000003,0.21334999999999998,0.12300000000000001,0.043420863825512974,0.7423926194797339,0.2531760435571687,0.00868915099972134,0.1387959866220735,0.1386138613861386,0.012098541246988094,0.008350166120290931,0.0066889632107023,0.0,0.01527395220725075,0.0049670518891353505,0.0103069003181154
Yordan Alvarez,HOU ,OF,0.3,0.17105,0.1253,0.059639727361246314,0.7361111111111112,0.2610294117647059,0.011502879259888538,0.1501831501831501,0.1518987341772152,0.019012988593684745,0.01445263597162326,0.0091575091575091,0.00162748643761296,0.0063008589511754,0.0018099592061777499,0.00449089974499765
Matt Olson,ATL ,1B,0.28135,0.24,0.12109999999999999,0.03980889980889972,0.7473442781265089,0.24468855625301783,0.008826898626619138,0.1212121212121212,0.1381381381381381,0.0058828693522570506,0.00893256893256885,0.0075757575757575,0.00135135135135135,0.001490557613006575,0.0,0.001490557613006575
Zach Neto,LAA ,SS,0.29705,0.24175,0.0693,0.04157924924154372,0.7284248665141113,0.25600686498855835,0.008838402914317745,0.1339712918660287,0.1182965299684542,0.00570216766464478,0.0254901664830271,0.0063795853269537,0.00455942695856353,0.04321825858020442,0.0128026205610823,0.030415638019122122
Brent Rooker,ATH ,OF,0.31015000000000004,0.25234999999999996,0.09330000000000001,0.05334522637795269,0.7171640141467728,0.2731358679634541,0.01613666966798881,0.1401574803149606,0.15,0.0043246495914984005,0.012276082677165269,0.0062992125984251,0.0,0.009662828947368399,0.0031661184210526254,0.006496710526315773
Pete Crow-Armstrong,CHC ,OF,0.2927,0.24125,0.05739999999999999,0.03595723442261212,0.7183600305110602,0.23850114416475965,0.04036497376311842,0.1416938110749185,0.1274193548387096,0.001975776266987415,0.013016706945465962,0.00814332247557,0.01254458024443998,0.05549238629533155,0.0136774193548387,0.041814966940492845
Mookie Betts,LAD ,SS,0.27140000000000003,0.11725000000000001,0.10249999999999998,0.03260242173285645,0.7341903225806452,0.2475,0.01836153740184597,0.1347402597402597,0.1304347826086956,0.0040217888832895145,0.009410356149486541,0.0097402597402597,0.0014492753623188,0.015093835570693902,0.0032614826258612747,0.011832352944832626
Rafael Devers,SF ,1B,0.29209999999999997,0.2423,0.1256,0.04903330206378984,0.7473214285714285,0.25,0.009137135799979814,0.1307692307692307,0.1402439024390244,0.015627552387880876,0.00922232645403374,0.0061538461538461,0.0013719512195121601,0.0033798798264949746,0.0015432926829267999,0.0018365871435681747
James Wood,WSH ,OF,0.34419999999999995,0.28959999999999997,0.1146,0.036771307249014215,0.7419491525423729,0.25,0.015407891233132846,0.1289808917197452,0.1269841269841269,0.00757204617284926,0.006208674552623541,0.0047770700636942,0.0014285714285713499,0.02564699792960655,0.0095795043163464,0.01606749361326015
Jarren Duran,BOS ,OF,0.3183,0.2323,0.08139999999999999,0.030925658978583192,0.6971709677419355,0.2736451612903225,0.05754957983193276,0.1348684210526315,0.1136738056013179,0.0016573023481945151,0.0115150546258562,0.0049342105263157,0.00164881476900172,0.0383852288089673,0.008344302033754025,0.030040926775213278
