#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
1,Mookie Betts,LAD,150,603.0,693,131.0,0.23376623376623376,0.7099236641221374,0.2748091603053435,0.022900763358778626,0.044733044733044736,0.1544011544011544,0.12121212121212122,0.10245310245310245,0.001443001443001443,0.15873015873015872,0.012987012987012988,0.005772005772005772,0.010101010101010102,0.025974025974025976,0.007215007215007215,0.01875901875901876,0.268,0.352256186,0.494195688,0.846451875,0.28111588,15.87301587,10.24531025,584,693,140,0.2582972582972583,0.7071428571428572,0.2857142857142857,0.007142857142857143,0.05627705627705628,0.18181818181818182,0.1544011544011544,0.13852813852813853,0.004329004329004329,0.1544011544011544,0.011544011544011544,0.007215007215007215,0.0,0.020202020202020204,0.004329004329004329,0.015873015873015872,0.307,0.408,0.579,0.987,0.316,15.4,13.9,,,,,,,,,
2,Marcus Semien,TEX,150,671.3887283,753,140.37138726999999,0.22254335258964142,0.7364341089054196,0.23255813955310783,0.023255813955310782,0.03612716763612218,0.13439306361221778,0.10549132948207171,0.08526011560424966,0.0,0.1763005780876494,0.005780346820717132,0.005780346820717132,0.008670520231075696,0.03323699422310757,0.01011560693625498,0.023121387277556443,0.249,0.317251462,0.427876823,0.745128285,0.272151899,17.6300578,8.526011561,670,753,156,0.2456839309428951,0.717948717948718,0.2564102564102564,0.02564102564102564,0.03851261620185923,0.16201859229747675,0.13280212483399734,0.09561752988047809,0.0013280212483399733,0.1460823373173971,0.006640106241699867,0.006640106241699867,0.0,0.01859229747675963,0.00398406374501992,0.014608233731739707,0.276,0.348,0.478,0.826,0.291,14.6,9.6,,,,,,,,,
3,Jose Altuve,HOU,149,359.4927536,410,82.5942029,0.23913043478048782,0.7625899280880402,0.23741007191195984,0.007194244609629861,0.037681159414634145,0.14782608695121952,0.11159420290243902,0.09565217390243903,0.0028985507243902437,0.14637681158536586,0.011594202897560975,0.005797101448780487,0.010144927536585366,0.021739130434146343,0.0072463768121951225,0.014492753624390245,0.273,0.349926794,0.461157025,0.811083818,0.288381743,14.63768116,9.565217391,360,410,95,0.2731707317073171,0.7578947368421053,0.22105263157894736,0.021052631578947368,0.041463414634146344,0.18536585365853658,0.12439024390243902,0.1073170731707317,0.0,0.17317073170731706,0.012195121951219513,0.0024390243902439024,0.0,0.03414634146341464,0.004878048780487805,0.02926829268292683,0.311,0.393,0.522,0.915,0.348,17.3,10.7,,,,,,,,,
4,Trea Turner,PHI,150,627.6331878,691,156.90829696,0.25764192141823444,0.7628205124838798,0.21794871789805959,0.019230769229298506,0.030567685586107094,0.13828238719247465,0.10917030567293777,0.06841339156295224,0.0014556040752532562,0.17467248914616498,0.0072780203791606365,0.0072780203791606365,0.0072780203791606365,0.04366812227206946,0.010189228529667149,0.03347889373371925,0.283,0.336270191,0.448717949,0.78498814,0.319672131,17.46724891,6.841339156,639,691,144,0.2460202604920405,0.7222222222222222,0.24305555555555555,0.034722222222222224,0.03762662807525326,0.1476121562952243,0.10998552821997105,0.06512301013024602,0.002894356005788712,0.2170767004341534,0.008683068017366137,0.001447178002894356,0.0,0.04341534008683068,0.0,0.04341534008683068,0.266,0.32,0.459,0.778,0.31,21.7,6.5,,,,,,,,,
5,Ronald Acuna Jr.,ATL,147,625.0733138,735,135.79178890000003,0.2287390029931973,0.7380952376568918,0.25396825389344285,0.00793650793417009,0.04398826979591836,0.16275659823129252,0.11730205278911565,0.11730205278911565,0.007331378299319728,0.22727272721088437,0.01759530791836735,0.005865102639455783,0.008797653959183674,0.06304985337414966,0.01759530791836735,0.04545454545578232,0.269,0.366863905,0.482758621,0.849622526,0.315789474,22.72727273,11.73020528,643,735,176,0.29523809523809524,0.7784090909090909,0.19886363636363635,0.022727272727272728,0.055782312925170066,0.20272108843537415,0.14421768707482993,0.10884353741496598,0.004081632653061225,0.11428571428571428,0.012244897959183673,0.004081632653061225,0.0,0.09931972789115646,0.01904761904761905,0.08027210884353742,0.337,0.416,0.596,1.012,0.338,11.4,10.9,,,,,,,,,
6,Cedric Mullins,BAL,147,407.4926471,455,88.99264711,0.22352941186813186,0.7368421048195969,0.23308270664609967,0.030075187949985684,0.027941176461538462,0.13235294118681318,0.09558823529670331,0.07647058824175823,0.0029411764703296704,0.1882352941098901,0.011764705881318682,0.005882352940659341,0.008823529410989012,0.05441176470329671,0.014705882353846154,0.03970588235164835,0.25,0.315007429,0.407224959,0.722232388,0.285407725,18.82352941,7.647058824,404,455,79,0.20659340659340658,0.6708860759493671,0.2911392405063291,0.0379746835443038,0.03296703296703297,0.11208791208791209,0.16263736263736264,0.0945054945054945,0.002197802197802198,0.22197802197802197,0.002197802197802198,0.008791208791208791,0.006593406593406593,0.041758241758241756,0.006593406593406593,0.035164835164835165,0.233,0.305,0.416,0.721,0.271,22.2,9.5,,,,,,,,,
7,Bobby Witt Jr.,KCR,149,636.7628866,694,139.00441823,0.23711340201729106,0.7132352942620563,0.25000000008992523,0.03676470589261499,0.036818851253602305,0.13402061855907782,0.11340206185878962,0.05891016200288184,0.0029455081008645536,0.20176730489913544,0.010309278350144092,0.00736377025072046,0.00736377025072046,0.05007363770893372,0.01620029455331412,0.0338733431556196,0.259,0.308148148,0.449438202,0.75758635,0.291845494,20.17673049,5.8910162,641,694,147,0.25504322766570603,0.7346938775510204,0.19047619047619047,0.07482993197278912,0.043227665706051875,0.13976945244956773,0.138328530259366,0.05763688760806916,0.001440922190201729,0.17435158501440923,0.005763688760806916,0.011527377521613832,0.001440922190201729,0.07060518731988473,0.021613832853025938,0.04899135446685879,0.276,0.319,0.495,0.813,0.295,17.4,5.8,,,,,,,,,
8,Aaron Judge,NYY,150,383.5834564,458,75.76957167,0.23042836048034934,0.7767857140111506,0.22321428559291204,0.00892857141843732,0.06499261447598254,0.16543574593886462,0.1565731166812227,0.14032496307860262,0.020679468242358078,0.24963072379912665,0.00886262924672489,0.007385524371179039,0.005908419497816593,0.01772525849344978,0.007385524371179039,0.010339734120087336,0.275,0.381872214,0.557319224,0.939191438,0.311977716,24.96307238,14.03249631,367,458,61,0.21397379912663755,0.7377049180327869,0.26229508196721313,0.0,0.08078602620087336,0.17248908296943233,0.16375545851528384,0.19213973799126638,0.019650655021834062,0.2838427947598253,0.0,0.006550218340611353,0.0,0.006550218340611353,0.002183406113537118,0.004366812227074236,0.267,0.406,0.613,1.019,0.3,28.4,19.2,,,,,,,,,
9,Mike Trout,LAA,150,305.8552437,362,57.748892170000005,0.21713441654696133,0.7129629629741865,0.2592592593105669,0.018518518517235825,0.057607090110497236,0.15509601182320443,0.14623338256906077,0.12998522895027623,0.014771048743093923,0.26440177251381214,0.011816838994475139,0.007385524372928177,0.0059084194972375695,0.004431314624309392,0.0014771048756906076,0.0029542097486187848,0.257,0.361069837,0.515734266,0.876804102,0.300835655,26.44017725,12.9985229,308,362,63,0.22375690607734808,0.7619047619047619,0.2222222222222222,0.015873015873015872,0.049723756906077346,0.14917127071823205,0.12154696132596685,0.12430939226519337,0.0055248618784530384,0.287292817679558,0.019337016574585635,0.0055248618784530384,0.0,0.0055248618784530384,0.0,0.0055248618784530384,0.263,0.367,0.49,0.858,0.335,28.7,12.4,,,,,,,,,
10,Juan Soto,SDP,150,549.6177778,708,119.57333336,0.21629629632768363,0.7456140349586052,0.2368421052103385,0.01754385964706872,0.04740740740112995,0.16740740734463275,0.13925925926553673,0.2029629629943503,0.014814814816384182,0.13777777778248587,0.007407407406779661,0.007407407406779661,0.005925925926553673,0.014814814816384182,0.005925925926553673,0.008888888888418078,0.279,0.429210134,0.520992366,0.950202501,0.282178218,13.77777778,20.2962963,568,708,121,0.22033898305084745,0.7272727272727273,0.2644628099173554,0.008264462809917356,0.04943502824858757,0.1370056497175141,0.153954802259887,0.1864406779661017,0.015536723163841809,0.18220338983050846,0.002824858757062147,0.007062146892655367,0.0014124293785310734,0.01694915254237288,0.007062146892655367,0.009887005649717515,0.275,0.41,0.519,0.93,0.296,18.2,18.6,,,,,,,,,
11,Freddie Freeman,LAD,150,626.1777778,730,155.73333336,0.2503703704109589,0.7499999998715754,0.23611111106830293,0.013888888886748479,0.03703703704109589,0.1481481480821918,0.12888888889041097,0.12,0.01629629630136986,0.15259259260273972,0.010370370369863014,0.007407407406849315,0.005925925926027397,0.014814814808219178,0.005925925926027397,0.008888888889041095,0.292,0.382440476,0.487046632,0.869487108,0.315789474,15.25925926,12.0,637,730,182,0.28904109589041094,0.6648351648351648,0.3241758241758242,0.01098901098901099,0.03972602739726028,0.17945205479452056,0.13972602739726028,0.09863013698630137,0.01643835616438356,0.16575342465753426,0.021917808219178082,0.00684931506849315,0.0,0.031506849315068496,0.0013698630136986301,0.030136986301369864,0.331,0.41,0.567,0.976,0.37,16.6,9.9,,,,,,,,,
12,Bryan Reynolds,PIT,150,558.4592593,640,125.15555554,0.23111111109375,0.7424242425283554,0.2196969697538686,0.03787878788556732,0.0355555555625,0.133333333328125,0.12148148148437501,0.099259259265625,0.0088888888890625,0.21333333328125,0.014814814814062499,0.0074074074078124994,0.005925925926562501,0.011851851851562501,0.00444444444375,0.0074074074078124994,0.265,0.347242921,0.453310696,0.800553617,0.309859155,21.33333333,9.925925926,574,640,127,0.2359375,0.7165354330708661,0.2440944881889764,0.03937007874015748,0.0375,0.1328125,0.13125,0.0828125,0.003125,0.215625,0.0109375,0.009375,0.0,0.01875,0.0015625,0.0171875,0.263,0.33,0.46,0.79,0.304,21.6,8.3,,,,,,,,,
13,Bo Bichette,TOR,150,551.8110119,601,131.46875001,0.2574404762063228,0.7278911564361955,0.2585034013589919,0.0068027210871935175,0.03869047618968386,0.1398809523793677,0.13244047618968385,0.0625,0.0,0.1994047618968386,0.00744047618968386,0.00744047618968386,0.005952380951747088,0.02678571429284526,0.008928571429284526,0.017857142861896838,0.28,0.328849028,0.470016207,0.798865236,0.318181818,19.94047619,6.25,571,601,155,0.2911813643926789,0.7870967741935484,0.1935483870967742,0.01935483870967742,0.033277870216306155,0.11480865224625623,0.12146422628951747,0.04492512479201331,0.0,0.1913477537437604,0.0033277870216306157,0.0016638935108153079,0.0,0.008319467554076539,0.004991680532445923,0.0033277870216306157,0.306,0.339,0.475,0.814,0.355,19.1,4.5,,,,,,,,,
14,Xander Bogaerts,SDP,149,584.7242921,665,135.77496276,0.23397913563909772,0.7518248175139474,0.24087591235661188,0.0072992700705197385,0.029806259308270674,0.1311475409774436,0.11475409836090225,0.09687034276691729,0.0029806259308270675,0.18926974661654133,0.010432190759398496,0.005961251863157895,0.005961251863157895,0.013412816691729322,0.0044709388977443604,0.008941877793984962,0.266,0.343843844,0.427118644,0.770962488,0.306487696,18.92697466,9.687034277,596,665,151,0.2556390977443609,0.7814569536423841,0.2052980132450331,0.013245033112582781,0.02857142857142857,0.12481203007518797,0.08721804511278196,0.08421052631578947,0.0,0.16541353383458646,0.010526315789473684,0.009022556390977444,0.0,0.02857142857142857,0.0030075187969924814,0.02556390977443609,0.285,0.35,0.44,0.79,0.319,16.5,8.4,,,,,,,,,
15,Rafael Devers,BOS,150,584.5253731,656,130.22089552,0.24626865670731707,0.6992481203296212,0.29323308273621373,0.015037593983518937,0.04776119402439024,0.1447761194054878,0.14179104477134147,0.0850746268597561,0.013432835821646342,0.19552238810975608,0.010447761193597561,0.00746268656707317,0.00597014925304878,0.00746268656707317,0.00298507462652439,0.004477611940548781,0.277,0.343843844,0.510887772,0.854731616,0.302961276,19.55223881,8.507462687,580,656,124,0.23932926829268292,0.7258064516129032,0.27419354838709675,0.0,0.05030487804878049,0.13719512195121952,0.1524390243902439,0.09451219512195122,0.01524390243902439,0.19207317073170732,0.01676829268292683,0.004573170731707317,0.0,0.007621951219512195,0.001524390243902439,0.006097560975609756,0.271,0.351,0.5,0.851,0.292,19.2,9.5,,,,,,,,,
16,Julio Rodriguez,SEA,149,639.1796407,714,142.15868264,0.24401197605042016,0.7518796989043343,0.2255639097416442,0.02255639097416442,0.04491017963585434,0.14221556890756304,0.13023952095238095,0.07934131736694679,0.005988023952380952,0.2395209581232493,0.013473053892156863,0.0074850299397759106,0.005988023952380952,0.04191616766106443,0.01497005987394958,0.026946107787114846,0.273,0.338345865,0.483277592,0.821623457,0.322033898,23.95209581,7.934131737,654,714,148,0.25210084033613445,0.7364864864864865,0.25,0.013513513513513514,0.04481792717086835,0.14285714285714285,0.14425770308123248,0.06582633053221289,0.008403361344537815,0.24509803921568626,0.015406162464985995,0.0028011204481792717,0.0,0.05182072829131653,0.014005602240896359,0.037815126050420166,0.275,0.333,0.485,0.818,0.33,24.5,6.6,,,,,,,,,
17,Matt Olson,ATL,150,622.994012,720,117.48502990999998,0.21407185624999997,0.7064220185633693,0.28440366977474774,0.009174311925746526,0.050898203597222226,0.1437125748611111,0.1422155688888889,0.11377245508333333,0.008982035927777778,0.22604790416666667,0.008982035927777778,0.007485029940277777,0.004491017963888889,0.002994011976388889,0.0014970059875,0.0014970059875,0.248,0.338345865,0.480968858,0.819314723,0.273869347,22.60479042,11.37724551,608,720,118,0.2388888888888889,0.7457627118644068,0.2288135593220339,0.025423728813559324,0.075,0.1763888888888889,0.19305555555555556,0.14444444444444443,0.011111111111111112,0.23194444444444445,0.005555555555555556,0.005555555555555556,0.0,0.001388888888888889,0.0,0.001388888888888889,0.283,0.389,0.604,0.993,0.302,23.2,14.4,,,,,,,,,
18,Brandon Nimmo,NYM,144,577.7061469,682,138.03598201,0.22638680659824045,0.7407407410090552,0.21481481479120315,0.03703703703596378,0.02398800599706745,0.13943028485337244,0.09445277360703812,0.11844077960410557,0.0,0.18140929530791788,0.017991004501466276,0.005997001498533724,0.008995502249266861,0.010494752623167156,0.004497751124633431,0.005997001498533724,0.267,0.366666667,0.419469027,0.786135693,0.3125,18.14092954,11.84407796,592,682,138,0.2375366568914956,0.7391304347826086,0.21739130434782608,0.043478260869565216,0.03519061583577713,0.13049853372434017,0.09970674486803519,0.10850439882697947,0.0,0.21407624633431085,0.016129032258064516,0.005865102639296188,0.001466275659824047,0.004398826979472141,0.004398826979472141,0.0,0.274,0.363,0.466,0.829,0.324,21.4,10.9,,,,,,,,,
19,Francisco Lindor,NYM,150,612.7297297,687,127.90990994,0.22222222227074237,0.7580645159197115,0.2096774193069219,0.032258064507554446,0.03603603604075691,0.12312312312954875,0.12762762762736535,0.08708708708879184,0.003003003002911208,0.18618618617176128,0.012012012011644832,0.007507507508005822,0.003003003002911208,0.022522522518195053,0.007507507508005822,0.01501501502183406,0.249,0.321804511,0.427609428,0.749413939,0.274944568,18.61861862,8.708708709,602,687,122,0.22270742358078602,0.7131147540983607,0.27049180327868855,0.01639344262295082,0.04512372634643377,0.1572052401746725,0.14264919941775836,0.09606986899563319,0.001455604075691412,0.19941775836972345,0.017467248908296942,0.010189228529839884,0.0,0.04512372634643377,0.005822416302765648,0.039301310043668124,0.254,0.336,0.47,0.806,0.277,19.9,9.6,,,,,,,,,
20,Paul Goldschmidt,STL,150,598.2882883,687,133.06756758999998,0.23723723726346432,0.7519379846807945,0.24806201546950515,0.00775193798670984,0.0435435435371179,0.1366366366375546,0.14114114113537118,0.1111111111062591,0.001501501502183406,0.21621621615720524,0.007507507508005822,0.007507507508005822,0.003003003002911208,0.010510510510917032,0.003003003002911208,0.007507507508005822,0.273,0.356927711,0.482758621,0.839686332,0.313106796,21.62162162,11.11111111,593,687,134,0.2314410480349345,0.7686567164179104,0.23134328358208955,0.0,0.036390101892285295,0.12954876273653565,0.11644832605531295,0.12663755458515283,0.008733624454148471,0.23435225618631733,0.004366812227074236,0.004366812227074236,0.0,0.01601164483260553,0.002911208151382824,0.013100436681222707,0.268,0.363,0.447,0.81,0.327,23.4,12.7,,,,,,,,,
