#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
1,Aaron Judge,NYY,141,509,633,144,77,23,1,42,109,102,112,25,156,6,4,2,9,2,7,0.282,0.415,0.582,0.997,0.322,24.70%,17.70%
2,Bobby Witt Jr.,KCR,140,574,634,168,99,36,5,28,99,88,47,6,106,6,4,2,31,10,21,0.293,0.351,0.519,0.869,0.315,16.70%,7.40%
3,Cal Raleigh,SEA,138,527,615,121,62,22,0,37,89,91,76,10,164,6,4,2,8,3,5,0.23,0.331,0.487,0.818,0.254,26.60%,12.30%
4,Gunnar Henderson,BAL,139,550,629,151,90,30,4,27,94,83,67,4,127,6,4,2,21,6,15,0.274,0.357,0.488,0.845,0.31,20.20%,10.60%
5,Julio Rodriguez,SEA,139,560,618,154,95,27,2,30,85,91,44,4,134,8,4,1,23,6,17,0.275,0.334,0.49,0.825,0.31,21.70%,7.20%
6,Juan Soto,NYM,138,494,621,135,77,23,1,34,105,89,117,8,111,4,4,2,20,6,14,0.273,0.413,0.532,0.945,0.285,17.80%,18.90%
7,Shohei Ohtani,LAD,142,555,658,153,78,25,6,44,120,99,91,16,161,5,4,3,22,6,16,0.275,0.38,0.577,0.957,0.308,24.40%,13.90%
8,Ronald Acuna Jr.,ATL,147,571,676,163,103,27,2,31,110,84,91,4,135,7,4,3,24,6,18,0.285,0.388,0.503,0.891,0.323,20.00%,13.40%
9,Vladimir Guerrero Jr.,TOR,143,551,637,163,99,31,1,32,94,99,74,9,88,6,5,1,5,2,3,0.297,0.383,0.53,0.913,0.301,13.70%,11.60%
10,Fernando Tatis Jr.,SDP,130,505,579,139,82,26,2,28,86,83,63,3,113,6,4,2,21,5,16,0.275,0.359,0.502,0.862,0.3,19.40%,10.90%
11,Elly De La Cruz,CIN,140,544,617,143,85,29,5,23,83,82,63,6,154,4,4,1,38,11,27,0.263,0.341,0.465,0.806,0.323,25.00%,10.20%
12,Francisco Lindor,NYM,132,537,608,139,86,27,1,25,89,69,55,1,112,10,4,3,22,5,17,0.259,0.336,0.451,0.787,0.283,18.40%,9.00%
13,Yordan Alvarez,HOU,122,468,551,140,81,27,2,30,90,84,70,11,93,8,4,2,4,1,3,0.299,0.396,0.558,0.954,0.316,17.00%,12.70%
14,Mookie Betts,LAD,132,518,591,141,88,28,3,22,84,79,64,2,70,4,4,1,8,2,6,0.273,0.355,0.467,0.823,0.278,11.80%,10.80%
15,Corbin Carroll,ARI,136,528,607,138,76,25,10,27,91,85,65,2,126,8,4,1,32,8,24,0.261,0.348,0.498,0.846,0.292,20.70%,10.80%
16,Ketel Marte,ARI,133,523,601,146,88,31,2,26,90,79,65,5,98,7,4,2,6,2,4,0.28,0.364,0.493,0.858,0.299,16.40%,10.90%
17,Jose Ramirez,CLE,136,536,604,148,88,31,2,27,83,87,58,17,72,4,4,1,30,7,23,0.275,0.348,0.492,0.84,0.274,12.00%,9.60%
18,William Contreras,MIL,132,508,586,137,89,28,1,20,74,74,69,4,110,4,4,1,6,2,4,0.27,0.359,0.445,0.804,0.306,18.80%,11.80%
19,Alejandro Kirk,TOR,107,392,446,107,74,19,1,14,54,55,46,2,55,4,3,1,1,0,1,0.274,0.352,0.433,0.785,0.286,12.40%,10.30%
20,Jackson Merrill,SDP,134,536,586,144,89,29,5,23,76,76,39,1,113,4,4,2,7,2,5,0.269,0.322,0.466,0.787,0.301,19.30%,6.70%
21,Trea Turner,PHI,132,557,609,156,106,28,4,18,86,65,40,1,110,5,4,3,26,5,21,0.28,0.332,0.441,0.774,0.319,18.10%,6.50%
22,Corey Seager,TEX,114,444,508,123,74,23,1,25,71,74,55,10,92,5,4,1,2,1,1,0.276,0.359,0.498,0.857,0.295,18.10%,10.80%
23,Kyle Tucker,LAD,125,477,562,128,75,24,2,27,90,78,76,6,85,4,4,2,18,4,14,0.269,0.371,0.496,0.866,0.275,15.20%,13.50%
24,Bo Bichette,NYM,132,537,585,155,105,30,1,18,73,74,38,1,96,4,4,1,6,2,4,0.288,0.337,0.448,0.786,0.319,16.30%,6.50%
25,Geraldo Perdomo,ARI,126,482,562,130,90,25,3,12,77,54,68,1,74,6,4,3,19,5,14,0.27,0.365,0.411,0.776,0.295,13.20%,12.10%
26,Junior Caminero,TBR,119,478,522,129,73,23,1,32,71,88,36,1,101,4,4,0,5,2,3,0.27,0.324,0.525,0.849,0.278,19.40%,6.90%
27,Alex Bregman,CHC,142,557,638,145,92,28,1,23,85,77,67,2,89,8,4,2,3,1,2,0.26,0.345,0.439,0.783,0.27,14.00%,10.50%
28,Masyn Winn,STL,147,571,629,149,101,31,2,16,71,69,45,0,107,6,5,2,12,4,8,0.261,0.319,0.405,0.724,0.295,17.10%,7.20%
29,Zach Neto,LAA,133,537,599,135,79,29,1,26,83,69,41,4,143,14,4,3,27,8,19,0.252,0.32,0.455,0.775,0.295,23.90%,6.90%
30,Maikel Garcia,KCR,138,558,620,154,105,32,4,13,82,62,53,0,91,2,4,3,26,7,19,0.276,0.339,0.418,0.756,0.307,14.60%,8.50%
31,Adley Rutschman,BAL,125,475,545,121,79,24,2,17,68,67,62,2,85,3,4,1,1,0,1,0.255,0.342,0.421,0.764,0.276,15.60%,11.40%
32,Bryce Harper,PHI,135,514,598,140,81,32,1,27,83,87,75,7,128,5,4,0,9,3,6,0.273,0.368,0.494,0.862,0.312,21.40%,12.50%
