#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
1,Ronald Acuna Jr.,ATL,152,191.3117647,222,47.66470588,0.2647058823423423,0.7465753425519721,0.23287671234026294,0.020547945212664346,0.049999999999999996,0.1838235294144144,0.1382352940990991,0.11617647058558558,0.005882352941441442,0.15588235292792793,0.01617647059009009,0.005882352941441442,0.0014705882342342343,0.08676470590090091,0.020588235292792793,0.06617647058558558,0.307,0.397058824,0.549488055,0.946546878,0.324444444,15.58823529,11.61764706,192,222,44,0.21621621621621623,0.7954545454545454,0.18181818181818182,0.022727272727272728,0.018018018018018018,0.17117117117117117,0.06756756756756757,0.12162162162162163,0.0,0.23873873873873874,0.013513513513513514,0.0,0.0,0.07207207207207207,0.013513513513513514,0.05855855855855856,0.25,0.351,0.365,0.716,0.326,23.9,12.2,,,,,,,,,
2,Marcus Semien,TEX,153,638.8088235,718,138.32058826000002,0.2352941176880223,0.7175572518057478,0.2595419846864668,0.022900763355964054,0.042647058830083566,0.13970588231197772,0.13235294116991644,0.08970588235376045,0.0,0.16176470584958216,0.005882352941504179,0.007352941176880222,0.0014705882353760447,0.026470588231197772,0.007352941176880222,0.019117647061281336,0.265,0.333333333,0.474380165,0.807713499,0.278131635,16.17647059,8.970588235,650,718,131,0.21448467966573817,0.7786259541984732,0.20610687022900764,0.015267175572519083,0.03203342618384401,0.14066852367688024,0.10306406685236769,0.08913649025069638,0.002785515320334262,0.14623955431754876,0.004178272980501393,0.001392757660167131,0.0,0.011142061281337047,0.004178272980501393,0.006963788300835654,0.237,0.308,0.391,0.699,0.25,14.6,8.9,,,,,,,,,
3,Freddie Freeman,LAD,153,555.0694239,638,145.12850815000002,0.26440177257053293,0.7337662335089605,0.2467532467362443,0.019480519479177182,0.03692762186520376,0.1491875923197492,0.13884785819749215,0.11078286557993731,0.013293943869905955,0.15657311669278998,0.013293943869905955,0.005908419498432602,0.0014771048746081506,0.02363367799373041,0.007385524371473355,0.016248153620689654,0.304,0.388478582,0.505942275,0.894420857,0.333333333,15.65731167,11.07828656,542,638,131,0.23981191222570533,0.7175572519083969,0.26717557251908397,0.015267175572519083,0.034482758620689655,0.12695924764890282,0.13949843260188088,0.12225705329153605,0.014106583072100314,0.15673981191222572,0.01567398119122257,0.012539184952978056,0.0,0.014106583072100314,0.003134796238244514,0.0109717868338558,0.282,0.378,0.476,0.854,0.306,15.7,12.2,,,,,,,,,
4,Trea Turner,PHI,153,491.3223388,539,118.79010495,0.25637181410018556,0.7482993196900951,0.21768707478526395,0.027210884352367095,0.03598200899814471,0.14242878560296846,0.12743628185528758,0.06896551723562153,0.0014992503747680889,0.20089955027829312,0.007496251873840446,0.0059970014990723556,0.0014992503747680889,0.047976011985157704,0.008995502248608534,0.03898050974025974,0.28,0.334841629,0.463815789,0.798657418,0.323788546,20.08995502,6.896551724,505,539,128,0.2764378478664193,0.8046875,0.1953125,0.0,0.03896103896103896,0.16326530612244897,0.1150278293135436,0.05009276437847866,0.0,0.18181818181818182,0.011131725417439703,0.0018552875695732839,0.0,0.03525046382189239,0.0074211502782931356,0.027829313543599257,0.295,0.338,0.469,0.807,0.331,18.2,5.0,,,,,,,,,
5,Austin Riley,ATL,153,417.5157895,469,90.97894736,0.24962406012793179,0.7286821705869426,0.24806201549791157,0.015503875972741303,0.055639097739872065,0.1473684210447761,0.15939849624733474,0.08571428571428572,0.004511278196162047,0.23609022558635392,0.015037593985074626,0.007518796991471215,0.0,0.0030075187974413645,0.0,0.0030075187974413645,0.28,0.350903614,0.527027027,0.877930641,0.320099256,23.60902256,8.571428571,425,469,90,0.232409381663113,0.6888888888888889,0.28888888888888886,0.022222222222222223,0.04051172707889126,0.13432835820895522,0.11940298507462686,0.07889125799573561,0.0,0.2515991471215352,0.010660980810234541,0.0042643923240938165,0.0,0.0,0.0,0.0,0.256,0.322,0.461,0.783,0.31,25.2,7.9,,,,,,,,,
6,Juan Soto,NYY,153,568.2556391,713,120.08421056,0.22255639102384292,0.7410714283335003,0.24107142850005006,0.017857142850005007,0.054135338345021045,0.16240601500701263,0.14436090224403927,0.18947368415147264,0.013533834586255261,0.16390977447405328,0.006015037594670407,0.006015037594670407,0.0015037593983169705,0.015037593983169706,0.006015037594670407,0.009022556391304348,0.278,0.418674699,0.541509434,0.960184133,0.287917738,16.39097744,18.94736842,576,713,125,0.23281907433380084,0.72,0.248,0.032,0.05750350631136045,0.17952314165497896,0.15287517531556802,0.18092566619915848,0.002805049088359046,0.16690042075736325,0.005610098176718092,0.005610098176718092,0.0,0.009817671809256662,0.005610098176718092,0.004207573632538569,0.288,0.419,0.569,0.989,0.298,16.7,18.1,,,,,,,,,
7,Vladimir Guerrero Jr.,TOR,153,611.8461538,697,144.02564106,0.25490196083213773,0.7591240871787028,0.2408759123352726,0.007299270069293036,0.04826546002869441,0.14177978883787662,0.14932126700143472,0.10256410256814921,0.009049773756097562,0.1432880844619799,0.010558069381635582,0.00754147812912482,0.0015082956255380202,0.010558069381635582,0.0030165912525107605,0.00754147812912482,0.29,0.36858006,0.517182131,0.885762191,0.297826087,14.32880845,10.25641026,616,697,169,0.2855093256814921,0.7337278106508875,0.2603550295857988,0.005917159763313609,0.043041606886657105,0.1406025824964132,0.14777618364418937,0.10329985652797705,0.01721664275466284,0.13773314203730272,0.007173601147776184,0.005738880918220947,0.0,0.0028694404591104736,0.0028694404591104736,0.0,0.323,0.396,0.544,0.94,0.342,13.8,10.3,,,,,,,,,
8,Matt Olson,ATL,153,583.7481146,685,112.61689294000001,0.22926093518248175,0.7339449539247783,0.2660550458088317,0.009174311926279644,0.06485671191240876,0.15384615386861314,0.16742081445255474,0.12820512820437957,0.00904977375620438,0.2247360483211679,0.010558069381021898,0.007541478129927007,0.0015082956262773722,0.0030165912525547444,0.0015082956262773722,0.0015082956262773722,0.27,0.36858006,0.553982301,0.922562361,0.288359788,22.47360483,12.82051282,600,685,119,0.21605839416058395,0.680672268907563,0.31092436974789917,0.008403361344537815,0.042335766423357665,0.11386861313868613,0.14306569343065692,0.10364963503649635,0.0072992700729927005,0.24817518248175183,0.013138686131386862,0.0072992700729927005,0.0,0.0,0.0,0.0,0.247,0.333,0.457,0.79,0.293,24.8,10.4,,,,,,,,,
9,Julio Rodriguez,SEA,151,552.8111782,613,128.71148036,0.25830815709624794,0.7338129496749423,0.2374100719262367,0.02158273381076976,0.048338368580750406,0.15558912386623164,0.13595166163132136,0.07703927492659053,0.007552870091353996,0.23716012088091354,0.01510574018107667,0.004531722053833605,0.0015105740179445352,0.051359516623164764,0.013595166163132137,0.03776435045676998,0.286,0.350983359,0.510887772,0.861871131,0.338199513,23.71601208,7.703927492,567,613,135,0.2528548123980424,0.8740740740740741,0.1259259259259259,0.0,0.03262642740619902,0.12398042414355628,0.11092985318107668,0.06199021207177814,0.0016313213703099511,0.2544861337683524,0.009787928221859706,0.0032626427406199023,0.0,0.03915171288743882,0.008156606851549755,0.03099510603588907,0.273,0.325,0.409,0.734,0.344,25.4,6.2,,,,,,,,,
10,Mookie Betts,LAD,149,442.6202723,516,98.36006047000001,0.24357034786821705,0.7063492066598563,0.2777777778850932,0.023809523823079447,0.05295007563953488,0.15885022693798448,0.15279878970930233,0.12102874432170542,0.0030257186085271316,0.15431164901162792,0.012102874432170544,0.007564296521317829,0.0015128593042635658,0.021180030251937983,0.006051437217054263,0.015128593040697674,0.284,0.377272727,0.543209877,0.920482604,0.289655172,15.4311649,12.10287443,450,516,111,0.25193798449612403,0.7387387387387387,0.21621621621621623,0.04504504504504504,0.03682170542635659,0.14534883720930233,0.14534883720930233,0.1182170542635659,0.003875968992248062,0.11046511627906977,0.001937984496124031,0.007751937984496124,0.0,0.031007751937984496,0.003875968992248062,0.027131782945736434,0.289,0.372,0.491,0.863,0.294,11.0,11.8,,,,,,,,,
