Unnamed: 0,#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%
0,1,Aaron Judge,NYY,146,552.5508607198748,679.0,105.19718309859155,0.23317683881064163,0.7373737373737373,0.24242424242424243,0.0101010101010101,0.0782472613458529,0.16744913932253314,0.189358372456964,0.16744913932253314,0.018779342723004695,0.25508607198748046,0.009389671361502348,0.00782472613458529,0.0,0.009389671361502348,0.003129890453834116,0.006259780907668232,0.286,0.4106583072100313,0.6230769230769231,1.0337352302869545,0.3173076923076923,25.508607198748045,16.74491392801252,541,679,126,0.26362297496318116,0.746031746031746,0.23809523809523808,0.015873015873015872,0.0780559646539028,0.20176730486008837,0.16789396170839468,0.18262150220913106,0.053019145802650956,0.23564064801178203,0.010309278350515464,0.010309278350515464,0.0,0.017673048600883652,0.007363770250368188,0.010309278350515464,0.331,0.457,0.688,1.144,0.376,23.6,18.3
1,2,Gunnar Henderson,BAL,152,573.5466867469879,651.0,121.5722891592771,0.23644578313253012,0.7096774193393658,0.24999999999454933,0.04838709677313858,0.0496987951766513,0.15060240963855423,0.13855421686635946,0.10391566265060241,0.0015060240963855422,0.23343373493975902,0.009036144578313253,0.006024096385542169,0.0,0.022590361445783136,0.006024096385542169,0.016566265060240965,0.268,0.3493975903614458,0.5128205128205128,0.8622181031819586,0.3092269326683292,23.343373493975903,10.39156626506024,577,651,141,0.24270353302611367,0.723404255319149,0.24113475177304963,0.03546099290780142,0.026113671274961597,0.130568356374808,0.10445468509984639,0.09523809523809523,0.009216589861751152,0.21044546850998463,0.010752688172043012,0.007680491551459293,0.0,0.04608294930875576,0.007680491551459293,0.03840245775729647,0.274,0.349,0.438,0.787,0.329,21.0,9.5
2,3,Bobby Witt Jr.,KCR,153,625.2008995502248,686.9999999999999,151.407796101949,0.2623688155922039,0.7074829931972789,0.23809523809523808,0.054421768707483,0.041979010494752625,0.15742128935532235,0.13643178410794604,0.0704647676161919,0.0059970014992503755,0.1679160419790105,0.008995502248875563,0.008995502248875563,0.0014992503748125939,0.056971514242878565,0.01649175412293853,0.040479760119940034,0.289,0.3423423423423423,0.5107084019769358,0.8530507443192781,0.3107822410147992,16.79160419790105,7.046476762,623,687,161,0.2678311499272198,0.6708074534161491,0.2919254658385093,0.037267080745341616,0.033478893740902474,0.14410480349344978,0.12809315866084425,0.07132459970887918,0.011644832605531296,0.1819505094614265,0.011644832605531296,0.010189228529839884,0.0,0.055312954876273655,0.013100436681222707,0.042212518195050945,0.295,0.351,0.501,0.852,0.334,18.2,7.1
3,4,Juan Soto,NYM,153,570.727003,715.0,117.75222551928782,0.2121661721068249,0.7387387387387387,0.24324324324324326,0.018018018018018018,0.047477744807121657,0.1513353115727003,0.13353115727002965,0.1884272997032641,0.010385756676557863,0.17062314540059345,0.005934718100890207,0.005934718100890207,0.0014836795252225518,0.010385756676557863,0.004451038575667656,0.005934718100890207,0.266,0.4071322436849925,0.5018587360594795,0.908990979744472,0.2810126582278481,17.062314540059347,18.84272997032641,577,715,109,0.2125874125874126,0.8073394495412844,0.1834862385321101,0.009174311926605505,0.06013986013986014,0.16783216783216784,0.14685314685314685,0.17762237762237762,0.01818181818181818,0.1916083916083916,0.004195804195804196,0.008391608391608392,0.0013986013986013986,0.05314685314685315,0.005594405594405594,0.04755244755244755,0.263,0.396,0.525,0.921,0.27,19.2,17.8
4,5,Shohei Ohtani,LAD,145,625.2426127527217,727.0,133.41524105754277,0.24883359253499224,0.711864406779661,0.23728813559322035,0.05084745762711865,0.06531881804043546,0.18195956454121306,0.16951788491446346,0.12286158631415242,0.01866251944012442,0.2223950233281493,0.007776049766718507,0.006220839813374806,0.0015552099533437014,0.04821150855570839,0.01866251944012442,0.02954898911353033,0.289,0.3806552262090483,0.5895117540687161,0.9701669802777644,0.3172043010752688,22.23950233281493,12.28615863141524,611,727,117,0.23658872077028886,0.7094017094017094,0.21367521367521367,0.07692307692307693,0.07565337001375516,0.20082530949105915,0.14030261348005502,0.1499312242090784,0.027510316368638238,0.25722145804676755,0.0041265474552957355,0.002751031636863824,0.0,0.027510316368638238,0.008253094910591471,0.01925722145804677,0.282,0.392,0.622,1.014,0.315,25.7,15.0
5,6,Jose Ramirez,CLE,153,600.7110438729198,673.0,134.3963691376702,0.24659606656580937,0.7045454545454546,0.2651515151515151,0.0303030303030303,0.04689863842662632,0.14674735249621784,0.14372163388804837,0.0907715582450832,0.019667170953101363,0.11800302571860816,0.006051437216338881,0.00907715582450832,0.0015128593040847202,0.048411497730711045,0.013615733736998514,0.03479576399394856,0.276,0.3439393939393939,0.5067796610169492,0.850719055,0.271047227926078,11.800302571860817,9.077155825,593,673,138,0.24962852897473997,0.7318840579710145,0.2463768115942029,0.021739130434782608,0.04457652303120357,0.15304606240713226,0.1263001485884101,0.09806835066864784,0.03268945022288262,0.1099554234769688,0.01188707280832095,0.007429420505200594,0.0,0.06537890044576523,0.010401188707280832,0.0549777117384844,0.283,0.36,0.503,0.863,0.279,11.0,9.8
6,7,Mookie Betts,LAD,148,572.4984662576687,663.0,128.12576687116564,0.2361963190184049,0.7301587301644761,0.25396825396346573,0.02380952380952381,0.042944785276073615,0.14723926380368096,0.13650306748466257,0.11503067484662577,0.0015337423312883436,0.13496932515337423,0.010736196319018404,0.007668711656441719,0.0015337423312883436,0.021472392638036807,0.006134969325153374,0.015337423312883439,0.274,0.3630769230769231,0.4920071047957371,0.8550840278726601,0.2787610619469026,13.496932515337424,11.503067484662576,589,663,132,0.22926093514328807,0.8106060606060606,0.17424242424242425,0.015151515151515152,0.030165912518853696,0.14328808446455504,0.12368024132730016,0.09200603318250378,0.0030165912518853697,0.10256410256410256,0.004524886877828055,0.015082956259426848,0.0,0.012066365007541479,0.0030165912518853697,0.00904977375565611,0.258,0.326,0.406,0.732,0.258,10.3,9.2
7,9,Cal Raleigh,SEA,142,623.6538461538462,705.0,99.83391608391608,0.19405594405594406,0.7160493827160495,0.2716049382716049,0.01234567901234568,0.05244755244755244,0.11538461538461538,0.15034965034965034,0.09965034964539006,0.0034965034965034965,0.28321678321678323,0.008741258741258742,0.0069930069929078015,0.0,0.005244755244755244,0.0017482517482517483,0.0034965034965034965,0.22,0.3024475524475524,0.4446640316205533,0.7471115840681057,0.2547169811320754,28.321678321678323,9.965034965034963,596,705,87,0.20851063829787234,0.7241379310344828,0.27586206896551724,0.0,0.0851063829787234,0.15602836879432624,0.1773049645390071,0.1375886524822695,0.024113475177304965,0.26666666666666666,0.01276595744680851,0.00425531914893617,0.0,0.019858156028368795,0.005673758865248227,0.014184397163120567,0.247,0.359,0.589,0.948,0.248,26.700000000000003,13.8
8,10,Corey Seager,TEX,127,392.31329690346087,445.0,85.91985428051004,0.24954462659380694,0.7358490566037733,0.2547169811320754,0.009433962264150941,0.056466302367941715,0.1384335154826958,0.15846994535519127,0.09836065573770492,0.012750455373406194,0.17122040072859745,0.009107468123861567,0.007285974499089254,0.0,0.0018214936247723135,0.0018214936247723135,0.0,0.282,0.3583180987202925,0.5351239669421488,0.8934420656624413,0.2920110192837465,17.122040072859747,9.836065573770492,380,445,82,0.23146067415730337,0.7682926829268293,0.23170731707317074,0.0,0.04719101123595506,0.13707865168539327,0.11235955056179775,0.1303370786516854,0.02247191011235955,0.19550561797752808,0.011235955056179775,0.0044943820224719105,0.0,0.006741573033707865,0.0,0.006741573033707865,0.271,0.373,0.487,0.86,0.299,19.6,13.0
9,11,William Contreras,MIL,148,580.2180936995153,658.9999999999999,130.94830371567042,0.23263327948303716,0.7560975609756098,0.21951219512195122,0.016260162601626018,0.033925686591276254,0.1211631664036419,0.13408723747980617,0.1033925686646434,0.0032310177705977385,0.2164781906300485,0.008077544426494346,0.004846526655896608,0.0016155088852988697,0.008077544426494346,0.0032310177705977385,0.004846526655896608,0.263,0.3452188006482982,0.4348623853211009,0.7800811859693992,0.3129770992366412,21.64781906300485,10.339256865912764,566,659,130,0.22306525037936267,0.7846153846153846,0.2153846153846154,0.0,0.025796661608497723,0.13505311077389984,0.11532625189681335,0.1274658573596358,0.006069802731411229,0.18209408194233687,0.004552352048558422,0.009104704097116844,0.0,0.009104704097116844,0.006069802731411229,0.0030349013657056147,0.26,0.355,0.399,0.754,0.299,18.2,12.7
