#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
1,Aaron Judge,NYY,144,516,636,148,75,24,1,49,104,118,108,18,159,6,4,0,8,3,5,0.287,0.414,0.619,1.033,0.319,25.00%,17.00%
2,Cal Raleigh,SEA,149,539,624,126,59,23,0,44,87,111,74,7,171,6,4,0,8,2,6,0.234,0.331,0.522,0.852,0.251,27.40%,11.80%
3,Shohei Ohtani,LAD,147,557,656,158,80,26,6,47,121,115,89,13,155,5,4,1,23,10,13,0.284,0.385,0.602,0.987,0.311,23.60%,13.50%
4,Juan Soto,NYM,153,543,673,145,83,25,1,37,106,96,121,9,120,4,4,1,17,6,11,0.267,0.402,0.519,0.921,0.276,17.80%,18.00%
5,Bobby Witt Jr.,KCR,150,596,656,170,101,36,6,27,99,90,47,5,113,6,6,1,34,10,24,0.285,0.341,0.501,0.841,0.309,17.30%,7.20%
6,Julio Rodriguez,SEA,150,593,654,164,103,28,4,30,95,90,47,4,147,9,4,1,25,7,18,0.277,0.338,0.486,0.824,0.32,22.50%,7.30%
7,Gunnar Henderson,BAL,152,579,655,156,92,33,4,27,96,82,65,3,141,6,5,1,20,5,15,0.269,0.346,0.479,0.824,0.31,21.60%,9.90%
8,Jose Ramirez,CLE,149,571,643,158,93,33,3,29,93,89,61,15,74,4,6,1,32,10,22,0.277,0.348,0.497,0.844,0.272,11.50%,9.40%
9,Francisco Lindor,NYM,140,546,619,142,87,27,2,27,87,79,53,1,116,9,5,1,22,6,16,0.259,0.333,0.461,0.794,0.281,18.70%,8.50%
10,William Contreras,MIL,144,524,601,139,93,26,1,19,72,77,67,3,118,5,4,1,6,2,4,0.265,0.351,0.426,0.777,0.306,19.60%,11.20%
11,Corey Seager,TEX,122,451,523,125,74,23,1,27,70,82,58,8,97,5,4,0,2,1,1,0.276,0.362,0.51,0.871,0.294,18.50%,11.20%
12,Ketel Marte,ARI,140,533,611,146,85,29,3,28,85,93,66,4,101,6,4,1,5,2,3,0.273,0.358,0.498,0.856,0.288,16.60%,10.80%
13,Corbin Carroll,ARI,140,531,610,138,75,28,9,25,98,76,64,3,130,8,4,3,34,7,27,0.259,0.345,0.488,0.834,0.297,21.40%,10.50%
14,Kyle Tucker,LAD,142,523,614,142,82,29,2,29,96,88,81,6,87,4,5,1,18,5,13,0.272,0.37,0.503,0.873,0.275,14.10%,13.10%
