#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
1,Ronald Acuna Jr.,ATL,152,191.3117647,222,47.99117647,0.27499999999999997,0.7278911564469926,0.258503401302427,0.013605442167231788,0.05882352941441441,0.1911764705855856,0.1529411764864865,0.11764705882882882,0.00882352940990991,0.15588235292792793,0.01617647059009009,0.005882352941441442,0.0014705882342342343,0.07941176468468468,0.024999999999999998,0.05441176468468468,0.319,0.408223201,0.59556314,1.003786341,0.331081081,15.58823529,11.76470588,192,222,44,0.21621621621621623,0.7954545454545454,0.18181818181818182,0.022727272727272728,0.018018018018018018,0.17117117117117117,0.06756756756756757,0.12162162162162163,0.0,0.23873873873873874,0.013513513513513514,0.0,0.0,0.07207207207207207,0.013513513513513514,0.05855855855855856,0.25,0.351,0.365,0.716,0.326,23.9,12.2,,,,,,,,,
2,Marcus Semien,TEX,153,638.8088235,718,139.37647062000002,0.2352941176880223,0.7045454543595615,0.2651515150699832,0.030303030297812256,0.04117647058495822,0.13970588231197772,0.13235294116991644,0.08970588235376045,0.0,0.16470588231197772,0.005882352941504179,0.007352941176880222,0.0014705882353760447,0.026470588231197772,0.007352941176880222,0.019117647061281336,0.264,0.333333333,0.474380165,0.807713499,0.280851064,16.47058824,8.970588235,650,718,131,0.21448467966573817,0.7786259541984732,0.20610687022900764,0.015267175572519083,0.03203342618384401,0.14066852367688024,0.10306406685236769,0.08913649025069638,0.002785515320334262,0.14623955431754876,0.004178272980501393,0.001392757660167131,0.0,0.011142061281337047,0.004178272980501393,0.006963788300835654,0.237,0.308,0.391,0.699,0.25,14.6,8.9,,,,,,,,,
3,Freddie Freeman,LAD,153,556.0118168,638,144.18611524000002,0.26440177257053293,0.7254901959587603,0.254901960766635,0.019607843135895,0.03840472673981191,0.15066469719435738,0.14180206794670847,0.10930576070532914,0.011816838995297806,0.15509601181818183,0.013293943869905955,0.005908419498432602,0.0014771048746081506,0.022156573119122256,0.007385524371473355,0.014771048744514107,0.303,0.387001477,0.511864407,0.898865884,0.330453564,15.50960118,10.93057607,542,638,131,0.23981191222570533,0.7175572519083969,0.26717557251908397,0.015267175572519083,0.034482758620689655,0.12695924764890282,0.13949843260188088,0.12225705329153605,0.014106583072100314,0.15673981191222572,0.01567398119122257,0.012539184952978056,0.0,0.014106583072100314,0.003134796238244514,0.0109717868338558,0.282,0.378,0.476,0.854,0.306,15.7,12.2,,,,,,,,,
4,Trea Turner,PHI,153,492.1304348,539,119.59820085999999,0.2548725636363636,0.7297297299828295,0.23648648655767082,0.03378378379395297,0.03298350823747681,0.14242878560296846,0.12443778111317254,0.067466266864564,0.0,0.20089955027829312,0.007496251873840446,0.0059970014990723556,0.0014992503747680889,0.04947526237476809,0.008995502248608534,0.04047976011131726,0.279,0.331825038,0.461412151,0.793237189,0.323851204,20.08995502,6.746626687,505,539,128,0.2764378478664193,0.8046875,0.1953125,0.0,0.03896103896103896,0.16326530612244897,0.1150278293135436,0.05009276437847866,0.0,0.18181818181818182,0.011131725417439703,0.0018552875695732839,0.0,0.03525046382189239,0.0074211502782931356,0.027829313543599257,0.295,0.338,0.469,0.807,0.331,18.2,5.0,,,,,,,,,
5,Juan Soto,NYY,153,570.4,713,119.01203006,0.22105263155680224,0.7387387388121661,0.24324324327049462,0.018018018018169414,0.054135338345021045,0.1609022556802244,0.14436090224403927,0.18646616535764376,0.012030075187938288,0.1654135338008415,0.006015037594670407,0.006015037594670407,0.0015037593983169705,0.015037593983169706,0.006015037594670407,0.009022556391304348,0.276,0.414156627,0.537593985,0.951750611,0.284615385,16.54135338,18.64661654,576,713,125,0.23281907433380084,0.72,0.248,0.032,0.05750350631136045,0.17952314165497896,0.15287517531556802,0.18092566619915848,0.002805049088359046,0.16690042075736325,0.005610098176718092,0.005610098176718092,0.0,0.009817671809256662,0.005610098176718092,0.004207573632538569,0.288,0.419,0.569,0.989,0.298,16.7,18.1,,,,,,,,,
6,Austin Riley,ATL,153,416.1052632,469,90.97894740000001,0.25112781961620473,0.7209302322616231,0.2558139533937936,0.023255813948887254,0.05714285714285714,0.14887218044776118,0.16240601503198296,0.08872180452025585,0.007518796991471215,0.2330827068230277,0.015037593985074626,0.007518796991471215,0.0,0.0030075187974413645,0.0015037593987206823,0.0015037593987206823,0.282,0.355421687,0.542372881,0.897794568,0.320895522,23.30827068,8.872180451,425,469,90,0.232409381663113,0.6888888888888889,0.28888888888888886,0.022222222222222223,0.04051172707889126,0.13432835820895522,0.11940298507462686,0.07889125799573561,0.0,0.2515991471215352,0.010660980810234541,0.0042643923240938165,0.0,0.0,0.0,0.0,0.256,0.322,0.461,0.783,0.31,25.2,7.9,,,,,,,,,
7,Vladimir Guerrero Jr.,TOR,153,612.8974359,697,141.92307691,0.256410256384505,0.755555555408371,0.24444444445070762,0.00740740740610258,0.05279034690100431,0.14479638005738882,0.15535444949784794,0.10105580694404592,0.009049773756097562,0.14479638005738882,0.010558069381635582,0.00754147812912482,0.0015082956255380202,0.009049773756097562,0.004524886878048781,0.004524886878048781,0.291,0.36858006,0.533447684,0.902027745,0.295404814,14.47963801,10.10558069,616,697,169,0.2855093256814921,0.7337278106508875,0.2603550295857988,0.005917159763313609,0.043041606886657105,0.1406025824964132,0.14777618364418937,0.10329985652797705,0.01721664275466284,0.13773314203730272,0.007173601147776184,0.005738880918220947,0.0,0.0028694404591104736,0.0028694404591104736,0.0,0.323,0.396,0.544,0.94,0.342,13.8,10.3,,,,,,,,,
8,Matt Olson,ATL,153,582.7149321,685,112.61689295000001,0.2247360483211679,0.7339449538596065,0.24770642191651762,0.009174311925464997,0.060331825036496346,0.14932126700729928,0.16138763197080294,0.12971342382481751,0.00904977375620438,0.22322775270072992,0.010558069381021898,0.007541478129927007,0.0015082956262773722,0.0030165912525547444,0.0015082956262773722,0.0015082956262773722,0.264,0.365558912,0.526595745,0.892154657,0.286089239,22.32277526,12.97134238,600,685,119,0.21605839416058395,0.680672268907563,0.31092436974789917,0.008403361344537815,0.042335766423357665,0.11386861313868613,0.14306569343065692,0.10364963503649635,0.0072992700729927005,0.24817518248175183,0.013138686131386862,0.0072992700729927005,0.0,0.0,0.0,0.0,0.247,0.333,0.457,0.79,0.293,24.8,10.4,,,,,,,,,
9,Julio Rodriguez,SEA,151,550.9592145,613,126.85951662999999,0.25377643507340947,0.7372262772589125,0.23357664231390193,0.029197080285296374,0.04682779456769984,0.15407854985318106,0.13141993957585643,0.08006042295269168,0.009063444109298532,0.23413897275693313,0.01510574018107667,0.004531722053833605,0.0015105740179445352,0.051359516623164764,0.012084592145187601,0.03927492446982055,0.282,0.349470499,0.505882353,0.855352852,0.332524272,23.41389728,8.006042296,567,613,135,0.2528548123980424,0.8740740740740741,0.1259259259259259,0.0,0.03262642740619902,0.12398042414355628,0.11092985318107668,0.06199021207177814,0.0016313213703099511,0.2544861337683524,0.009787928221859706,0.0032626427406199023,0.0,0.03915171288743882,0.008156606851549755,0.03099510603588907,0.273,0.325,0.409,0.734,0.344,25.4,6.2,,,,,,,,,
10,Mookie Betts,LAD,149,442.6202723,516,102.26323747,0.24659606647286822,0.7022900766374495,0.274809160410595,0.022900763372438928,0.04841149773255814,0.15885022693798448,0.14977307110465116,0.12102874432170542,0.004538577912790698,0.15431164901162792,0.012102874432170544,0.007564296521317829,0.0015128593042635658,0.019667170949612404,0.007564296521317829,0.012102874432170544,0.287,0.38030303,0.530864198,0.911167228,0.299086758,15.4311649,12.10287443,450,516,111,0.25193798449612403,0.7387387387387387,0.21621621621621623,0.04504504504504504,0.03682170542635659,0.14534883720930233,0.14534883720930233,0.1182170542635659,0.003875968992248062,0.11046511627906977,0.001937984496124031,0.007751937984496124,0.0,0.031007751937984496,0.003875968992248062,0.027131782945736434,0.289,0.372,0.491,0.863,0.294,11.0,11.8,,,,,,,,,
