#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
1,Aaron Judge,NYY,144,517,636,148,72,26,0,50,105,120,108,18,162,6,4,0,8,3,5,0.287,0.413,0.627,1.04,0.319,25.50%,17.00%
2,Bobby Witt Jr.,KCR,150,595,656,174,102,35,5,31,104,96,48,5,112,6,6,1,36,8,28,0.291,0.347,0.525,0.872,0.311,17.10%,7.30%
3,Cal Raleigh,SEA,149,539,624,121,59,22,1,39,82,103,74,7,173,6,4,0,7,3,4,0.224,0.322,0.486,0.808,0.247,27.70%,11.90%
4,Shohei Ohtani,LAD,147,556,656,158,77,31,3,47,121,118,90,13,156,5,4,1,25,8,17,0.285,0.387,0.607,0.994,0.311,23.70%,13.70%
5,Juan Soto,NYM,153,544,673,147,82,26,0,38,107,99,120,9,122,4,4,1,16,6,10,0.27,0.404,0.53,0.933,0.281,18.20%,17.90%
6,Julio Rodriguez,SEA,150,593,654,162,103,26,6,28,95,87,47,4,145,9,4,1,25,7,18,0.273,0.335,0.478,0.813,0.316,22.20%,7.20%
7,Gunnar Henderson,BAL,152,579,655,155,93,34,3,25,93,80,65,3,139,6,5,1,20,5,15,0.268,0.344,0.464,0.808,0.31,21.30%,9.90%
8,Fernando Tatis Jr.,SDP,147,563,644,153,93,27,4,29,98,84,69,3,129,6,4,1,23,7,16,0.272,0.356,0.49,0.846,0.304,20.00%,10.70%
9,Vladimir Guerrero Jr.,TOR,153,579,663,173,110,31,1,32,97,98,72,7,88,7,4,1,6,2,4,0.299,0.381,0.519,0.9,0.305,13.30%,10.90%
10,Ketel Marte,ARI,140,533,611,147,85,31,2,29,86,95,67,4,101,6,4,1,5,2,3,0.276,0.36,0.505,0.865,0.289,16.50%,10.90%
11,William Contreras,MIL,144,525,601,138,90,27,0,21,72,81,67,3,119,5,4,1,5,2,3,0.263,0.349,0.434,0.783,0.301,19.80%,11.10%
12,Corey Seager,TEX,122,451,523,124,73,23,1,28,70,82,59,8,98,5,4,0,2,1,1,0.275,0.362,0.514,0.876,0.294,18.80%,11.30%
13,Corbin Carroll,ARI,140,531,610,138,75,29,7,26,97,78,64,3,127,8,4,4,34,7,27,0.259,0.345,0.487,0.832,0.293,20.90%,10.40%
14,Will Smith,LAD,124,428,501,116,69,21,2,24,73,73,56,2,95,9,6,0,3,1,2,0.27,0.363,0.497,0.859,0.29,18.90%,11.20%
15,Yordan Alvarez,HOU,128,464,546,135,75,27,1,33,82,90,68,9,91,8,5,0,3,1,2,0.291,0.387,0.564,0.951,0.297,16.70%,12.50%
16,Ronald Acuna Jr.,ATL,142,529,623,147,91,24,3,29,101,83,81,3,135,8,4,1,26,9,17,0.278,0.38,0.5,0.88,0.32,21.60%,13.10%
17,Francisco Lindor,NYM,140,546,619,140,86,27,2,25,85,77,54,1,116,9,5,1,21,7,14,0.256,0.331,0.449,0.78,0.281,18.70%,8.60%
18,Jose Ramirez,CLE,149,570,643,154,94,31,4,26,90,84,62,15,72,4,6,1,33,9,24,0.27,0.343,0.473,0.816,0.268,11.20%,9.60%
19,Alejandro Kirk,TOR,122,428,482,115,77,19,0,18,59,62,45,2,60,5,5,1,0,0,0,0.268,0.341,0.44,0.78,0.273,12.30%,9.30%
20,Kyle Tucker,LAD,142,524,614,141,82,28,2,28,95,86,80,6,88,4,5,1,17,6,11,0.269,0.366,0.494,0.86,0.273,14.30%,13.00%
21,Junior Caminero,TBR,147,575,626,154,91,27,1,36,81,103,41,2,122,5,5,1,5,2,3,0.268,0.319,0.503,0.822,0.281,19.40%,6.50%
22,Wyatt Langford,TEX,142,530,610,133,78,27,3,25,86,74,69,3,143,6,4,1,19,5,14,0.25,0.342,0.453,0.795,0.295,23.50%,11.40%
23,Mookie Betts,LAD,140,541,616,144,91,31,2,20,83,77,62,1,71,6,6,1,8,3,5,0.266,0.344,0.44,0.784,0.271,11.50%,10.10%
24,Trea Turner,PHI,142,567,623,161,110,29,5,17,85,73,39,0,112,5,4,1,25,5,20,0.283,0.333,0.441,0.774,0.325,18.00%,6.30%
25,Willy Adames,SFG,151,565,645,132,74,28,1,29,84,83,68,2,172,4,5,0,11,3,8,0.234,0.318,0.44,0.758,0.28,26.70%,10.60%
26,Adley Rutschman,BAL,138,491,562,123,80,25,1,18,67,64,61,2,90,4,5,1,1,0,1,0.251,0.335,0.413,0.748,0.272,16.00%,10.90%
27,Matt Chapman,SFG,143,524,603,125,70,27,2,26,81,76,68,1,150,7,5,1,8,2,6,0.239,0.331,0.449,0.78,0.28,24.90%,11.20%
28,Jackson Merrill,SDP,143,553,605,150,92,34,2,22,77,79,41,2,120,3,5,3,9,2,7,0.271,0.322,0.46,0.783,0.307,19.90%,6.80%
29,Austin Riley,ATL,144,555,617,144,84,28,3,29,81,89,48,1,159,8,5,0,2,1,1,0.259,0.324,0.475,0.799,0.308,25.90%,7.70%
30,Jeremy Pena,HOU,145,573,628,156,107,29,2,17,81,69,36,1,113,11,4,2,17,4,13,0.272,0.325,0.422,0.747,0.31,18.00%,5.80%
31,Zach Neto,LAA,146,562,627,140,83,29,2,26,84,75,43,3,157,16,4,3,26,8,18,0.248,0.318,0.446,0.764,0.297,25.00%,6.90%
32,Elly De La Cruz,CIN,146,564,629,144,90,30,4,21,90,68,57,5,173,3,4,1,40,10,30,0.256,0.325,0.434,0.759,0.329,27.50%,9.00%
33,Shea Langeliers,ATH,128,478,526,122,67,25,1,29,71,77,39,1,122,4,4,1,6,2,4,0.256,0.315,0.495,0.81,0.282,23.10%,7.40%
34,Alex Bregman,CHC,148,558,635,141,90,27,1,22,75,80,63,1,89,8,5,1,2,1,1,0.252,0.333,0.424,0.757,0.262,14.10%,9.90%
35,Pete Crow-Armstrong,CHC,146,558,614,136,82,27,6,22,87,66,36,2,153,8,5,7,35,6,29,0.244,0.296,0.43,0.727,0.293,24.80%,5.80%
36,Bryce Harper,PHI,138,515,598,140,85,28,2,26,83,84,74,7,125,5,4,1,10,4,6,0.273,0.366,0.484,0.851,0.312,20.90%,12.30%
