#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
1,Marcus Semien,TEX,152,643.9369627507162,718.0,144.01146132664758,0.23782234958217272,0.7214285713855096,0.25714285712750834,0.02142857142460633,0.03724928366762178,0.1518624641833811,0.13323782235376044,0.09455587392550142,0.0014326647564469914,0.15759312320916904,0.004297994268802228,0.004297994268802228,0.0,0.0157593123209169,0.0028653295128939827,0.012893982808022923,0.265,0.336676218,0.45686901,0.793545227,0.283975659,15.75931232,9.455587393,650,718,131,0.21448467966573817,0.7786259541984732,0.20610687022900764,0.015267175572519083,0.03203342618384401,0.14066852367688024,0.10306406685236769,0.08913649025069638,0.002785515320334262,0.14623955431754876,0.004178272980501393,0.001392757660167131,0.0,0.011142061281337047,0.004178272980501393,0.006963788300835654,0.237,0.308,0.391,0.699,0.25,14.6,8.9,,,,,,,,,
2,Ronald Acuna Jr.,ATL,152,188.76453488372093,222.0,43.56104651162791,0.25872093023255816,0.7333333333333334,0.2518518518518519,0.014814814814814815,0.0625,0.20348837209302326,0.1686046511627907,0.12790697674418605,0.005813953488372093,0.16569767441860464,0.015988372093023256,0.005813953488372093,0.0,0.07412790697674418,0.014534883720930234,0.05959302324324324,0.304,0.402616279,0.58974359,0.992359869,0.3125,16.56976744,12.79069767,192,222,44,0.21621621621621623,0.7954545454545454,0.18181818181818182,0.022727272727272728,0.018018018018018018,0.17117117117117117,0.06756756756756757,0.12162162162162163,0.0,0.23873873873873874,0.013513513513513514,0.0,0.0,0.07207207207207207,0.013513513513513514,0.05855855855855856,0.25,0.351,0.365,0.716,0.326,23.9,12.2,,,,,,,,,
3,Steven Kwan,CLE,152,480.1772525849335,540.0,127.6218611521418,0.24372230428360414,0.7749999999999999,0.18124999997002317,0.04375,0.007385524372230428,0.12850812407407405,0.08862629246676514,0.09453471196454948,0.002954209748892171,0.09896602658788774,0.007385524372230428,0.007385524372230428,0.0014771048744460856,0.02658788774002954,0.005908419497784342,0.0206794682422452,0.274,0.346153846,0.370431894,0.71658574,0.299065421,9.896602659,9.453471196,480,540,126,0.25925925925925924,0.8492063492063492,0.12698412698412698,0.023809523809523808,0.025925925925925925,0.1537037037037037,0.08148148148148149,0.09814814814814815,0.0,0.09444444444444444,0.009259259259259259,0.0,0.003703703703703704,0.022222222222222223,0.009259259259259259,0.012962962962962963,0.292,0.368,0.425,0.793,0.304,9.4,9.8,,,,,,,,,
4,Julio Rodriguez,SEA,152,558.3491827637445,613.0,123.87518573551263,0.24962852897473997,0.7573529411764708,0.22794117647058817,0.014705882352941176,0.0475482912332838,0.14858841010401186,0.15453194650817237,0.0713224368499257,0.007429420505200594,0.23328380386329867,0.014858841010401188,0.0029717682020802376,0.0,0.05052005943536405,0.01337295690936107,0.03714710252600297,0.274,0.335809807,0.48776509,0.823574897,0.319248826,23.32838039,7.132243685,567,613,135,0.2528548123980424,0.8740740740740741,0.1259259259259259,0.0,0.03262642740619902,0.12398042414355628,0.11092985318107668,0.06199021207177814,0.0016313213703099511,0.2544861337683524,0.009787928221859706,0.0032626427406199023,0.0,0.03915171288743882,0.008156606851549755,0.03099510603588907,0.273,0.325,0.409,0.734,0.344,25.4,6.2,,,,,,,,,
5,Bobby Witt Jr.,KCR,152,650.7985074626866,709.0000000000001,151.32388059701492,0.25223880597014925,0.7062937062937065,0.24475524475524477,0.04895104895104896,0.03880597014925373,0.1447761194029851,0.1447761194029851,0.06119402985074627,0.0014925373134328356,0.18955223880597014,0.008955223880597014,0.01044776119402985,0.0014925373134328356,0.05223880597014925,0.014925373134328358,0.03731343283582089,0.275,0.322869955,0.481300813,0.804170768,0.304904051,18.95522388,6.119402985,636,709,179,0.29760225669957685,0.6871508379888268,0.25139664804469275,0.061452513966480445,0.045133991537376586,0.1763046544428773,0.153737658674189,0.08039492242595205,0.012693935119887164,0.14950634696755993,0.011283497884344146,0.011283497884344146,0.0,0.04372355430183357,0.01692524682651622,0.02679830747531735,0.332,0.389,0.588,0.977,0.354,15.0,8.0,,,,,,,,,
6,Freddie Freeman,LAD,149,555.3674699,638.0,142.2048192744578,0.26054216867469876,0.7229729729864488,0.2635135135184253,0.0135135135137654,0.03765060241379311,0.16415662650602408,0.14156626506024098,0.10993975903614457,0.01656626506024096,0.16114457831325302,0.013554216867469878,0.006024096385542169,0.0,0.02108433734939759,0.0015060240956112853,0.01957831325301205,0.299,0.384036145,0.503460208,0.887496352,0.328888889,16.11445783,10.9939759,542,638,131,0.23981191222570533,0.7175572519083969,0.26717557251908397,0.015267175572519083,0.034482758620689655,0.12695924764890282,0.13949843260188088,0.12225705329153605,0.014106583072100314,0.15673981191222572,0.01567398119122257,0.012539184952978056,0.0,0.014106583072100314,0.003134796238244514,0.0109717868338558,0.282,0.378,0.476,0.854,0.306,15.7,12.2,,,,,,,,,
7,Matt Olson,ATL,152,585.5143721633888,684.9999999999999,113.99394856278363,0.22239031770045387,0.7090909091150633,0.28181818181818186,0.009090909090909092,0.05597579425113465,0.14372163388804843,0.17549167927382753,0.13010590015128592,0.01059001512859304,0.22087745839636916,0.007564296520423602,0.007564296520423602,0.0,0.0015128593040847202,0.0015128593040847202,0.0,0.26,0.360060514,0.515044248,0.875104762,0.284237726,22.08774584,13.01059002,600,685,119,0.21605839416058395,0.680672268907563,0.31092436974789917,0.008403361344537815,0.042335766423357665,0.11386861313868613,0.14306569343065692,0.10364963503649635,0.0072992700729927005,0.24817518248175183,0.013138686131386862,0.0072992700729927005,0.0,0.0,0.0,0.0,0.247,0.333,0.457,0.79,0.293,24.8,10.4,,,,,,,,,
8,Juan Soto,NYY,152,564.9984848484848,713.0,119.91363636363636,0.21818181818181817,0.7657657657657658,0.22522522522522526,0.009009009009009009,0.049999999999999996,0.15303030303030302,0.15606060606060607,0.1984848484848485,0.019696969696969702,0.16363636363636366,0.004545454545454546,0.004545454545454546,0.0,0.016666666666666666,0.006060606060606061,0.010606060606060607,0.275,0.421212121,0.51625239,0.937464511,0.288311688,16.36363636,19.84848485,576,713,125,0.23281907433380084,0.72,0.248,0.032,0.05750350631136045,0.17952314165497896,0.15287517531556802,0.18092566619915848,0.002805049088359046,0.16690042075736325,0.005610098176718092,0.005610098176718092,0.0,0.009817671809256662,0.005610098176718092,0.004207573632538569,0.288,0.419,0.569,0.989,0.298,16.7,18.1,,,,,,,,,
9,Vladimir Guerrero Jr.,TOR,152,616.6176024,697.0,138.55386950364186,0.24582701062215476,0.7633587786017092,0.22900763359168388,0.007633587786017092,0.047040971162123385,0.1350531107747489,0.1517450682852807,0.10015174506828528,0.007587253414264037,0.1471927162367223,0.01062215477996965,0.004552352048780487,0.0,0.007587253414264037,0.003034901365705614,0.004552352048780487,0.278,0.35660091,0.492281304,0.848882214,0.286026201,14.71927162,10.01517451,616,697,169,0.2855093256814921,0.7337278106508875,0.2603550295857988,0.005917159763313609,0.043041606886657105,0.1406025824964132,0.14777618364418937,0.10329985652797705,0.01721664275466284,0.13773314203730272,0.007173601147776184,0.005738880918220947,0.0,0.0028694404591104736,0.0028694404591104736,0.0,0.323,0.396,0.544,0.94,0.342,13.8,10.3,,,,,,,,,
10,Bo Bichette,TOR,150,314.0091324200913,336.0,79.26940639269407,0.2724505327245053,0.767741935483871,0.21935483870967742,0.012903225806451611,0.036529680365296795,0.136986301369863,0.1415525114155251,0.0563165905631659,0.0,0.1933028919330289,0.0045662100456621,0.0045662100456621,0.0,0.016742770167427704,0.0060882800608828,0.0106544901065449,0.292,0.333333333,0.470684039,0.804017372,0.332618026,19.33028919,5.631659056,311,336,66,0.20833333333333334,0.7424242424242424,0.24242424242424243,0.015151515151515152,0.011904761904761904,0.08630952380952381,0.09226190476190477,0.05952380952380952,0.002976190476190476,0.19047619047619047,0.008928571428571428,0.005952380952380952,0.0,0.01488095238095238,0.002976190476190476,0.011904761904761904,0.225,0.277,0.322,0.598,0.269,19.0,6.0,,,,,,,,,
