Unnamed: 0,#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%
0,1,Aaron Judge,NYY,145,552.8236220472442,679.0,106.92913385826773,0.2299212598425197,0.7399999999999999,0.26,0.0,0.07244094488188978,0.16062992125984252,0.1952755905511811,0.17165354330708663,0.02204724409448819,0.2598425196850394,0.007874015748031496,0.006299212598425197,0.0,0.012598425196850394,0.0015748031496062992,0.011023622047244094,0.282,0.4094488188976378,0.5996131528046421,1.009061972,0.3225806451612903,25.984251968503933,17.165354330708663,541,679,126,0.26362297496318116,0.746031746031746,0.23809523809523808,0.015873015873015872,0.0780559646539028,0.20176730486008837,0.16789396170839468,0.18262150220913106,0.053019145802650956,0.23564064801178203,0.010309278350515464,0.010309278350515464,0.0,0.017673048600883652,0.007363770250368188,0.010309278350515464,0.331,0.457,0.688,1.144,0.376,23.6,18.3
1,2,Shohei Ohtani,LAD,152,629.7102941176471,727.0,134.70882352941175,0.25147058823529406,0.6984126984126986,0.2619047619047619,0.03968253968253969,0.0661764705882353,0.18676470588235294,0.20441176470588235,0.12058823529411765,0.014705882352941176,0.23088235294117646,0.007352941176470588,0.0058823529411764705,0.0,0.06176470588235294,0.007352941176470588,0.05441176470588235,0.29,0.3794117647058823,0.5925297113752123,0.9719414760810946,0.3222506393861892,23.08823529411765,12.058823529411764,611,727,117,0.23658872077028886,0.7094017094017094,0.21367521367521367,0.07692307692307693,0.07565337001375516,0.20082530949105915,0.14030261348005502,0.1499312242090784,0.027510316368638238,0.25722145804676755,0.0041265474552957355,0.002751031636863824,0.0,0.027510316368638238,0.008253094910591471,0.01925722145804677,0.282,0.392,0.622,1.014,0.315,25.7,15.0
2,3,Juan Soto,NYM,152,561.7857142857143,715.0000000000001,120.23065476190479,0.21726190476190477,0.7522123894201372,0.23008849557522124,0.017699115044247784,0.049107142857142856,0.16071428571428567,0.14880952380952378,0.20386904761904764,0.011904761904761904,0.16220238095238093,0.004464285714285714,0.005952380952380952,0.0,0.010416666666666666,0.005952380952380952,0.004464285714285714,0.277,0.4255952380952381,0.5208333333333334,0.9464285714285714,0.2897435897435897,16.220238095238095,20.386904761904763,577,715,109,0.2125874125874126,0.8073394495412844,0.1834862385321101,0.009174311926605505,0.06013986013986014,0.16783216783216784,0.14685314685314685,0.17762237762237762,0.01818181818181818,0.1916083916083916,0.004195804195804196,0.008391608391608392,0.0013986013986013986,0.05314685314685315,0.005594405594405594,0.04755244755244755,0.263,0.396,0.525,0.921,0.27,19.2,17.8
3,4,Bobby Witt Jr.,KCR,152,624.2649700598802,687.0,150.15269461077844,0.2619760479041916,0.6986301369863013,0.24657534246575344,0.054794520546748826,0.043413173652694606,0.155688622754491,0.15269461077844307,0.07185628742514968,0.00748502994011976,0.16766467065868262,0.008982035928143712,0.010479041916167664,0.0,0.041916167664670656,0.01646706586826347,0.02544910179640718,0.288,0.342814371257485,0.5172981878088962,0.8601125590663813,0.3086680761099366,16.766467065868262,7.185628743,623,687,161,0.2678311499272198,0.6708074534161491,0.2919254658385093,0.037267080745341616,0.033478893740902474,0.14410480349344978,0.12809315866084425,0.07132459970887918,0.011644832605531296,0.1819505094614265,0.011644832605531296,0.010189228529839884,0.0,0.055312954876273655,0.013100436681222707,0.042212518195050945,0.295,0.351,0.501,0.852,0.334,18.2,7.1
4,5,Gunnar Henderson,BAL,152,568.1454545454545,651.0,128.22727272727272,0.23939393939393938,0.7230769230769232,0.22307692307692306,0.05384615384615385,0.04242424242424242,0.1621212121212121,0.14696969696969697,0.1106060606060606,0.0015151515151515154,0.2287878787878788,0.00909090909090909,0.007575757575757575,0.0,0.02424242424242424,0.0060606060606060615,0.01818181818181818,0.274,0.359090909090909,0.4947916666666667,0.8538825757575758,0.3233830845771144,22.87878787878788,11.06060606060606,577,651,141,0.24270353302611367,0.723404255319149,0.24113475177304963,0.03546099290780142,0.026113671274961597,0.130568356374808,0.10445468509984639,0.09523809523809523,0.009216589861751152,0.21044546850998463,0.010752688172043012,0.007680491551459293,0.0,0.04608294930875576,0.007680491551459293,0.03840245775729647,0.274,0.349,0.438,0.787,0.329,21.0,9.5
5,6,Francisco Lindor,NYM,149,647.1951219512196,732.0000000000001,138.3658536585366,0.23018292682926828,0.7338709677419356,0.24193548387096772,0.024193548387096774,0.041158536585365856,0.1478658536585366,0.14176829268292682,0.09146341463414633,0.0030487804878048777,0.1890243902439024,0.01524390243902439,0.007621951219512195,0.0015243902439024393,0.03201219512195121,0.0060975609756097554,0.02591463414634146,0.26,0.3374045801526718,0.4620689655172413,0.7994735456699131,0.2857142857142857,18.902439024390244,9.146341463414634,644,732,141,0.23497267759562843,0.75177304964539,0.24822695035460993,0.0,0.04234972677595628,0.1598360655737705,0.11748633879781421,0.08879781420765027,0.00273224043715847,0.17896174863387979,0.02185792349726776,0.009562841530054645,0.0,0.04234972677595628,0.00819672131147541,0.03415300546448088,0.267,0.346,0.466,0.811,0.288,17.9,8.9
6,7,Julio Rodriguez,SEA,149,649.9230769230769,709.9999999999999,152.9230769230769,0.2569230769230769,0.7928571428571429,0.19285714285714287,0.014285714285714285,0.041538461538461545,0.14153846153846153,0.14000000000000004,0.06923076923076923,0.004615384615384616,0.23846153846153847,0.012307692307692308,0.003076923076923077,0.0,0.041538461538461545,0.01076923076923077,0.03076923076923077,0.281,0.3384615384615385,0.4689075630252101,0.8073691014867486,0.3373493975903614,23.846153846153847,6.923076923076923,652,710,142,0.24507042253521127,0.7535211267605634,0.21830985915492956,0.028169014084507043,0.04507042253521127,0.14929577464788732,0.13380281690140844,0.061971830985915494,0.007042253521126761,0.2140845070422535,0.016901408450704224,0.0028169014084507044,0.0,0.04225352112676056,0.008450704225352112,0.03380281690140845,0.267,0.324,0.474,0.798,0.302,21.4,6.2
7,8,Jose Ramirez,CLE,150,597.4169231,673.0,131.49384615384614,0.23999999999999996,0.6850393700787403,0.2913385826771654,0.02362204724409449,0.04461538461538461,0.14615384615384616,0.15384615384615383,0.09692307692307692,0.024615384615384615,0.11999999999999998,0.004615384615384615,0.010769230769230769,0.0,0.04153846153846154,0.007692307692307691,0.033846153846153845,0.27,0.3415384615384615,0.4956672443674176,0.8372057059058792,0.2662473794549266,12.0,9.692307692307692,593,673,138,0.24962852897473997,0.7318840579710145,0.2463768115942029,0.021739130434782608,0.04457652303120357,0.15304606240713226,0.1263001485884101,0.09806835066864784,0.03268945022288262,0.1099554234769688,0.01188707280832095,0.007429420505200594,0.0,0.06537890044576523,0.010401188707280832,0.0549777117384844,0.283,0.36,0.503,0.863,0.279,11.0,9.8
8,10,Corey Seager,TEX,126,392.59963768115944,445.0,87.87137681159422,0.24818840579710147,0.7522935779816513,0.23853211009174308,0.009174311926605503,0.05072463768115942,0.1358695652173913,0.15217391304347827,0.10144927536231883,0.01630434782608696,0.17028985507246377,0.009057971014492754,0.007246376811594203,0.0,0.0018115942028985507,0.0018115942028985507,0.0,0.281,0.358695652,0.5112936344969199,0.869989287,0.2953929539295393,17.02898550724638,10.144927536231885,380,445,82,0.23146067415730337,0.7682926829268293,0.23170731707317074,0.0,0.04719101123595506,0.13707865168539327,0.11235955056179775,0.1303370786516854,0.02247191011235955,0.19550561797752808,0.011235955056179775,0.0044943820224719105,0.0,0.006741573033707865,0.0,0.006741573033707865,0.271,0.373,0.487,0.86,0.299,19.6,13.0
9,11,Cal Raleigh,SEA,135,625.0378071833649,705.0,106.6162570888469,0.20415879017013236,0.7125,0.27499999999999997,0.012499999999999999,0.05293005671077505,0.12287334592907802,0.15311909262759926,0.09829867674858224,0.003780718336483932,0.27032136105860116,0.007561436672967864,0.007561436672967864,0.0,0.005671077504725898,0.001890359168241966,0.003780718336483932,0.23,0.3100189035916824,0.4605543710021322,0.7705732745938146,0.2649006622516556,27.032136105860115,9.829867674858225,596,705,87,0.20851063829787234,0.7241379310344828,0.27586206896551724,0.0,0.0851063829787234,0.15602836879432624,0.1773049645390071,0.1375886524822695,0.024113475177304965,0.26666666666666666,0.01276595744680851,0.00425531914893617,0.0,0.019858156028368795,0.005673758865248227,0.014184397163120567,0.247,0.359,0.589,0.948,0.248,26.700000000000003,13.8
10,12,Mookie Betts,LAD,130,564.5682593856656,663.0,132.37372013651878,0.2406143344709898,0.7264957264957266,0.25641025641025644,0.017094017094017092,0.04095563139931741,0.16211604095563142,0.1467576791808874,0.129692832760181,0.0051194539249146765,0.13822525597269625,0.010238907849829353,0.008532423208191127,0.0,0.02218430034129693,0.0051194539249146765,0.017064846416382253,0.283,0.3805460750853242,0.4949899799599198,0.875536055,0.2932330827067669,13.822525597269625,12.969283276450511,589,663,132,0.22926093514328807,0.8106060606060606,0.17424242424242425,0.015151515151515152,0.030165912518853696,0.14328808446455504,0.12368024132730016,0.09200603318250378,0.0030165912518853697,0.10256410256410256,0.004524886877828055,0.015082956259426848,0.0,0.012066365007541479,0.0030165912518853697,0.00904977375565611,0.258,0.326,0.406,0.732,0.258,10.3,9.2
