#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
1,Aaron Judge,NYY,141,500,624,144,76,25,1,42,107,115,113,23,153,6,5,0,8,2,6,0.288,0.421,0.594,1.015,0.329,24.50%,18.10%
2,Shohei Ohtani,LAD,152,592,696,171,84,30,5,52,138,138,95,16,166,5,4,0,29,5,24,0.289,0.389,0.62,1.009,0.315,23.90%,13.60%
3,Cal Raleigh,SEA,152,538,621,124,61,22,0,41,82,108,75,10,168,5,3,0,7,2,5,0.23,0.329,0.5,0.829,0.25,27.10%,12.10%
4,Bobby Witt Jr.,KCR,152,598,658,169,99,34,9,27,98,93,46,6,117,7,7,0,32,9,23,0.283,0.337,0.505,0.842,0.308,17.80%,7.00%
5,Juan Soto,NYM,152,538,670,146,85,23,1,37,109,103,124,9,116,3,4,1,23,3,20,0.271,0.408,0.524,0.932,0.28,17.30%,18.50%
6,Francisco Lindor,NYM,151,596,672,157,99,30,1,27,102,90,58,2,121,12,6,0,23,4,19,0.263,0.338,0.453,0.791,0.286,18.00%,8.60%
7,Gunnar Henderson,BAL,152,574,651,156,91,32,5,28,99,90,67,3,141,6,4,0,21,4,17,0.272,0.352,0.491,0.843,0.313,21.70%,10.30%
8,Julio Rodriguez,SEA,152,609,666,162,102,29,2,29,94,98,46,5,148,9,2,0,27,6,21,0.266,0.326,0.463,0.789,0.306,22.20%,6.90%
9,William Contreras,MIL,152,566,648,153,101,31,1,20,87,82,75,4,124,3,4,0,6,2,4,0.27,0.356,0.435,0.791,0.312,19.10%,11.60%
10,Fernando Tatis Jr.,SDP,147,562,644,149,93,28,2,26,101,80,74,4,126,6,2,0,25,5,20,0.265,0.356,0.461,0.816,0.299,19.60%,11.50%
11,Corbin Carroll,ARI,152,574,661,147,80,27,13,27,112,92,70,3,140,10,5,2,35,6,29,0.256,0.344,0.49,0.834,0.291,21.20%,10.60%
12,Jose Ramirez,CLE,148,564,637,153,93,31,3,26,91,88,63,19,73,4,6,0,28,6,22,0.271,0.345,0.475,0.821,0.27,11.50%,9.90%
