#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
1,Ronald Acuna Jr.,ATL,157,188.6509573,222,43.811487480000004,0.2592047127927928,0.7313432835309885,0.25373134329380226,0.014925373129558939,0.06185567009009009,0.20324005891891891,0.1678939617117117,0.12812960234234233,0.005891016198198198,0.16642120765765764,0.01620029454954955,0.005891016198198198,0.0,0.07363770252252252,0.0147275405,0.058910161981981984,0.305025996,0.40353461,0.589254766,0.992789376,0.314553991,16.64212077,12.81296024,192,222,44,0.21621621621621623,0.7954545454545454,0.18181818181818182,0.022727272727272728,0.018018018018018018,0.17117117117117117,0.06756756756756757,0.12162162162162163,0.0,0.23873873873873874,0.013513513513513514,0.0,0.0,0.07207207207207207,0.013513513513513514,0.05855855855855856,0.25,0.351,0.365,0.716,0.326,23.9,12.2,,,,,,,,,
2,Juan Soto,NYY,157,564.9396171,713,119.70839472,0.2179675994389902,0.7631578945961494,0.22807017539462998,0.008771929825440733,0.050073637699859744,0.15316642117812063,0.15611192931276296,0.19882179677419354,0.019145802650771388,0.16347569957924266,0.0044182621500701265,0.0044182621500701265,0.0,0.01620029454417952,0.005891016200561009,0.010309278350631135,0.275092937,0.421207658,0.516728625,0.937936283,0.287878788,16.34756996,19.88217968,576,713,125,0.23281907433380084,0.72,0.248,0.032,0.05750350631136045,0.17952314165497896,0.15287517531556802,0.18092566619915848,0.002805049088359046,0.16690042075736325,0.005610098176718092,0.005610098176718092,0.0,0.009817671809256662,0.005610098176718092,0.004207573632538569,0.288,0.419,0.569,0.989,0.298,16.7,18.1,,,,,,,,,
3,Mookie Betts,LAD,157,436.9661267,516,97.27245952999999,0.23564064806201548,0.7109374998241088,0.27343749986908555,0.015624999998393688,0.04712812959302325,0.17231222385658915,0.154639175251938,0.13254786451550388,0.004418262151162791,0.15611192930232556,0.01178203240116279,0.00736377025,0.0,0.01914580265116279,0.004418262151162791,0.0147275405,0.27826087,0.380530973,0.513043478,0.893574452,0.28959276,15.61119293,13.25478645,450,516,111,0.25193798449612403,0.7387387387387387,0.21621621621621623,0.04504504504504504,0.03682170542635659,0.14534883720930233,0.14534883720930233,0.1182170542635659,0.003875968992248062,0.11046511627906977,0.001937984496124031,0.007751937984496124,0.0,0.031007751937984496,0.003875968992248062,0.027131782945736434,0.289,0.372,0.491,0.863,0.294,11.0,11.8,,,,,,,,,
4,Trea Turner,PHI,157,494.5463918,539,123.04123708,0.26509572894248606,0.7483870970033326,0.22580645163649876,0.025806451620244062,0.03681885124304267,0.15022091309833024,0.1296023564007421,0.06921944035250464,0.0014727540500927643,0.1958762886827458,0.007363770250463822,0.005891016200371057,0.0,0.04123711339517625,0.0029455081001855286,0.038291605306122446,0.288924558,0.34167894,0.478330658,0.820009598,0.330490405,19.58762887,6.921944035,505,539,128,0.2764378478664193,0.8046875,0.1953125,0.0,0.03896103896103896,0.16326530612244897,0.1150278293135436,0.05009276437847866,0.0,0.18181818181818182,0.011131725417439703,0.0018552875695732839,0.0,0.03525046382189239,0.0074211502782931356,0.027829313543599257,0.295,0.338,0.469,0.807,0.331,18.2,5.0,,,,,,,,,
5,Corbin Carroll,ARI,157,598.3740795,684,141.03092782,0.2371134020467836,0.7214285715389829,0.20714285718438807,0.07142857141844194,0.03092783505847953,0.15463917529239768,0.13696612665204677,0.09425625921052631,0.002945508100877193,0.215022091374269,0.020618556695906433,0.0044182621505847956,0.005891016200292398,0.06185567010233918,0.007363770249999999,0.054491899853801165,0.271043771,0.354074074,0.45959596,0.813670034,0.325581395,21.50220913,9.42562592,589,684,114,0.19883040935672514,0.6842105263157895,0.19298245614035087,0.12280701754385964,0.03216374269005848,0.17690058479532164,0.10818713450292397,0.1067251461988304,0.0,0.19005847953216373,0.014619883040935672,0.013157894736842105,0.0043859649122807015,0.05116959064327485,0.011695906432748537,0.039473684210526314,0.231,0.322,0.428,0.749,0.256,19.0,10.7,,,,,,,,,
6,Alex Bregman,HOU,157,538.7599411,634,122.31811484,0.226804123659306,0.7251908399343019,0.25190839705390605,0.01526717557283112,0.03387334315457413,0.13991163476340696,0.13549337260252367,0.13107511045741327,0.002945508099369085,0.12518409425867508,0.011782032400630915,0.007363770250788644,0.0,0.002945508099369085,0.0014727540504731861,0.0014727540504731861,0.266897747,0.369661267,0.448873484,0.81853475,0.276371308,12.51840943,13.10751105,581,634,125,0.23817034700315456,0.744,0.24,0.016,0.04100946372239748,0.12460567823343849,0.11829652996845426,0.0694006309148265,0.0015772870662460567,0.13564668769716087,0.007886435331230283,0.006309148264984227,0.0,0.00473186119873817,0.0015772870662460567,0.0031545741324921135,0.26,0.315,0.453,0.768,0.264,13.6,6.9,,,,,,,,,
7,Austin Riley,ATL,157,416.5051546,469,93.24742267,0.25036818848614073,0.7407407408400385,0.24444444443967814,0.01481481481680077,0.05154639174840085,0.14727540501066097,0.15758468334754797,0.08394698085287847,0.004418262149253732,0.23858615607675907,0.01620029455010661,0.01030927834968017,0.0,0.0029455081002132196,0.0014727540490405116,0.0014727540490405116,0.281923715,0.351032448,0.517412935,0.868445384,0.326876513,23.85861561,8.394698085,425,469,90,0.232409381663113,0.6888888888888889,0.28888888888888886,0.022222222222222223,0.04051172707889126,0.13432835820895522,0.11940298507462686,0.07889125799573561,0.0,0.2515991471215352,0.010660980810234541,0.0042643923240938165,0.0,0.0,0.0,0.0,0.256,0.322,0.461,0.783,0.31,25.2,7.9,,,,,,,,,
8,Kyle Tucker,HOU,157,298.0603829,339,66.90132548,0.2415316642182891,0.6791044775873998,0.2835820895009269,0.0298507462695491,0.04418262150442478,0.13843888070796462,0.16347569955752211,0.10898379970501475,0.010309278351032448,0.1516936671681416,0.0029455081002949853,0.010309278351032448,0.0,0.03681885123893805,0.005891016200589971,0.030927835044247787,0.274706868,0.352941176,0.500837521,0.853778697,0.284501062,15.16936672,10.89837997,277,339,57,0.2359882005899705,0.7719298245614035,0.22807017543859648,0.0,0.06784660766961652,0.16519174041297935,0.14454277286135694,0.16519174041297935,0.008849557522123894,0.1592920353982301,0.0029498525073746312,0.0058997050147492625,0.0,0.032448377581120944,0.0,0.032448377581120944,0.289,0.408,0.585,0.993,0.282,15.9,16.5,,,,,,,,,
9,Marcus Semien,TEX,157,643.9793814,718,143.8114875,0.23711340208913648,0.7205882353452467,0.2573529411549964,0.02205882352757112,0.036818851253481895,0.15169366713091922,0.1325478645125348,0.09425625920612814,0.0014727540501392757,0.15758468342618384,0.0044182621504178276,0.0044182621504178276,0.0,0.01620029455431755,0.0029455081002785514,0.013254786451253482,0.264367816,0.335787923,0.454844007,0.79063193,0.283333333,15.75846834,9.42562592,650,718,131,0.21448467966573817,0.7786259541984732,0.20610687022900764,0.015267175572519083,0.03203342618384401,0.14066852367688024,0.10306406685236769,0.08913649025069638,0.002785515320334262,0.14623955431754876,0.004178272980501393,0.001392757660167131,0.0,0.011142061281337047,0.004178272980501393,0.006963788300835654,0.237,0.308,0.391,0.699,0.25,14.6,8.9,,,,,,,,,
10,Freddie Freeman,LAD,157,555.3136966,638,141.88217971999998,0.26067746692789967,0.7218543047627208,0.26490066218444197,0.013245033109222098,0.03829160529780564,0.16347569952978058,0.14138438880877743,0.11045655376175549,0.016200294545454543,0.16053019153605017,0.013254786451410658,0.005891016200626959,0.0,0.02061855670846395,0.0014727540501567398,0.01914580264890282,0.299492386,0.384388807,0.505922166,0.890310973,0.32826087,16.05301915,11.04565538,542,638,131,0.23981191222570533,0.7175572519083969,0.26717557251908397,0.015267175572519083,0.034482758620689655,0.12695924764890282,0.13949843260188088,0.12225705329153605,0.014106583072100314,0.15673981191222572,0.01567398119122257,0.012539184952978056,0.0,0.014106583072100314,0.003134796238244514,0.0109717868338558,0.282,0.378,0.476,0.854,0.306,15.7,12.2,,,,,,,,,
