#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
1,Aaron Judge,NYY,149,516,644,149,78,26,1,43,110,119,117,24,158,6,5,0,8,2,6,0.288,0.421,0.594,1.015,0.329,24.50%,18.10%
2,Shohei Ohtani,LAD,157,578,679,167,82,29,5,51,135,135,93,16,162,5,4,0,28,5,23,0.289,0.389,0.62,1.009,0.315,23.90%,13.60%
3,Cal Raleigh,SEA,159,552,637,127,63,23,0,42,84,111,77,10,172,5,3,0,7,2,5,0.23,0.329,0.5,0.829,0.25,27.10%,12.10%
4,Bobby Witt Jr.,KCR,157,617,679,174,102,35,9,28,101,96,47,6,121,7,7,0,33,9,24,0.283,0.337,0.505,0.842,0.308,17.80%,7.00%
5,Juan Soto,NYM,159,551,686,149,87,24,1,38,112,105,127,9,119,3,4,1,24,3,21,0.271,0.408,0.524,0.932,0.28,17.30%,18.50%
6,Gunnar Henderson,BAL,156,593,672,161,94,33,5,29,102,93,69,3,146,6,4,0,22,4,18,0.272,0.352,0.491,0.843,0.313,21.70%,10.30%
7,Julio Rodriguez,SEA,159,627,686,167,105,30,2,30,97,101,47,5,152,9,2,0,28,6,22,0.266,0.326,0.463,0.789,0.306,22.20%,6.90%
8,Ronald Acuna Jr.,ATL,151,546,651,156,96,26,1,33,124,87,96,4,135,7,1,0,30,6,24,0.286,0.399,0.52,0.919,0.325,20.80%,14.70%
9,Kyle Tucker,LAD,151,558,651,150,84,28,2,35,98,108,88,6,92,2,2,1,24,3,21,0.268,0.369,0.514,0.883,0.265,14.20%,13.50%
10,Fernando Tatis Jr.,SDP,156,586,672,155,97,29,2,27,105,83,77,4,131,6,2,0,26,5,21,0.265,0.356,0.461,0.816,0.299,19.60%,11.50%
11,Francisco Lindor,NYM,146,559,630,147,93,28,1,25,96,84,54,2,113,11,6,0,22,4,18,0.263,0.338,0.453,0.791,0.286,18.00%,8.60%
12,Matt Chapman,SFG,156,581,672,143,81,32,1,28,97,81,79,1,165,9,4,0,9,2,7,0.245,0.342,0.45,0.792,0.292,24.50%,11.70%
13,Mookie Betts,LAD,151,565,651,155,97,32,2,24,97,92,75,3,76,4,6,0,10,2,8,0.274,0.361,0.468,0.829,0.278,11.70%,11.60%
14,Pete Crow-Armstrong,CHC,149,587,644,150,88,29,6,26,95,95,35,1,158,9,6,6,34,8,26,0.255,0.304,0.461,0.765,0.303,24.60%,5.40%
15,Jose Ramirez,CLE,157,601,679,163,99,33,3,28,97,94,67,20,78,4,6,0,30,6,24,0.271,0.345,0.475,0.821,0.27,11.50%,9.90%
16,Corbin Carroll,ARI,147,553,637,142,77,26,13,26,108,89,67,3,135,10,5,2,34,6,28,0.256,0.344,0.49,0.834,0.291,21.20%,10.60%
17,Wyatt Langford,TEX,149,561,644,145,88,30,2,25,89,81,73,3,145,5,4,0,23,5,18,0.259,0.347,0.452,0.799,0.304,22.50%,11.40%
18,Alejandro Kirk,TOR,125,434,495,117,85,18,0,15,45,64,50,2,58,4,6,0,1,0,1,0.27,0.347,0.411,0.758,0.28,11.80%,10.10%
19,Geraldo Perdomo,ARI,159,573,686,150,102,28,5,15,98,77,84,1,86,9,8,11,23,6,17,0.262,0.361,0.405,0.766,0.282,12.60%,12.30%
20,Vladimir Guerrero Jr.,TOR,157,592,679,172,107,33,0,33,95,104,77,9,91,6,4,0,5,2,3,0.291,0.376,0.512,0.888,0.295,13.40%,11.30%
21,Trea Turner,PHI,149,593,644,169,116,30,3,19,93,78,43,1,120,5,3,0,28,4,24,0.285,0.337,0.443,0.78,0.327,18.60%,6.60%
22,William Contreras,MIL,152,533,610,144,95,29,1,19,82,77,71,4,117,3,4,0,6,2,4,0.27,0.356,0.435,0.791,0.312,19.10%,11.60%
23,Zach Neto,LAA,154,593,665,153,89,35,1,28,95,92,46,4,160,20,3,2,26,9,17,0.258,0.331,0.462,0.793,0.305,24.00%,6.90%
24,Ketel Marte,ARI,147,554,637,148,88,29,3,27,92,88,70,6,103,7,6,0,6,1,5,0.267,0.353,0.48,0.833,0.282,16.20%,11.00%
25,Willy Adames,SFG,157,598,679,143,87,28,1,27,89,89,71,2,164,4,6,0,11,3,8,0.24,0.322,0.427,0.748,0.281,24.20%,10.50%
