#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
1,Mason Miller,SDP,3,2,2.48,59,0,33,3,4,64.2,254,39,19,18,6,25,2,2,99,13.82,3.43,0.99,39.0%,9.7%
2,Cade Smith,CLE,5,3,2.93,67,0,31,4,5,69.0,277,53,24,22,6,20,2,4,89,11.62,2.55,1.04,32.2%,7.1%
3,Grant Taylor,CHW,4,4,3.44,69,2,7,13,2,82.1,344,69,34,31,7,32,2,3,98,10.73,3.51,1.22,28.6%,9.4%
4,Griffin Jax,TBR,4,4,3.09,65,0,15,14,6,65.2,265,53,25,23,6,18,2,2,83,11.40,2.47,1.08,31.4%,6.8%
5,Jhoan Duran,PHI,5,4,2.87,65,0,33,3,4,66.1,271,54,23,21,5,20,2,4,77,10.37,2.69,1.11,28.3%,7.3%
6,Edwin Diaz,LAD,5,3,3.04,64,0,37,3,5,65.2,265,47,24,22,7,22,1,4,90,12.31,3.08,1.06,33.9%,8.5%
7,Bryan Abreu,HOU,3,3,3.13,65,0,9,20,4,67.1,279,51,25,23,7,28,1,4,90,12.03,3.72,1.17,32.3%,10.0%
8,Aroldis Chapman,BOS,4,3,3.02,57,0,30,3,4,57.1,234,41,21,19,5,25,1,2,78,12.35,3.88,1.14,33.6%,10.5%
9,Jeremiah Estrada,SDP,4,3,3.39,67,0,3,23,2,68.2,282,53,28,26,9,27,2,2,90,11.85,3.54,1.16,32.1%,9.6%
10,Devin Williams,NYM,5,4,3.18,64,0,30,5,4,64.1,263,47,25,23,6,27,1,3,83,11.68,3.74,1.15,31.7%,10.1%
11,Abner Uribe,MIL,4,3,3.17,67,0,16,17,3,68.2,286,54,26,24,5,30,2,4,80,10.50,3.89,1.21,28.0%,10.4%
12,Garrett Whitlock,BOS,4,3,3.35,58,0,4,19,2,64.0,262,55,26,24,6,18,1,3,71,9.95,2.54,1.14,27.0%,6.9%
13,David Bednar,NYY,4,4,3.35,62,0,31,4,4,63.2,259,51,26,24,7,21,2,2,76,10.75,2.95,1.13,29.3%,8.0%
14,Carmen Mlodzinski,PIT,4,4,3.76,45,5,0,3,2,71.2,302,67,32,30,7,24,1,3,64,8.11,2.98,1.27,21.3%,7.8%
15,Adrian Morejon,SDP,6,4,3.42,65,0,3,17,2,66.1,274,58,27,25,6,21,1,2,66,8.98,2.80,1.19,24.2%,7.5%
16,Andres Munoz,SEA,4,3,2.90,60,0,34,3,5,61.2,253,45,22,20,5,25,2,3,76,11.12,3.59,1.13,30.2%,9.7%
17,Hunter Harvey,CHC,3,2,3.34,50,0,4,16,3,52.0,212,44,21,19,5,15,1,2,56,9.65,2.52,1.13,26.3%,6.9%
18,Will Vest,DET,4,4,3.34,61,0,7,15,5,64.0,265,56,26,24,5,20,1,2,65,9.13,2.81,1.19,24.5%,7.5%
19,Orion Kerkering,PHI,5,4,3.50,62,0,2,16,4,62.2,262,54,26,24,6,22,1,4,67,9.61,3.21,1.21,25.5%,8.5%
20,Matt Strahm,KCR,4,3,3.51,62,0,2,19,3,64.1,262,54,27,25,8,19,1,3,70,9.83,2.66,1.13,26.7%,7.2%
21,Josh Hader,HOU,4,3,3.25,53,0,29,2,3,56.0,225,40,22,20,7,20,1,2,76,12.16,3.27,1.07,33.6%,9.0%
22,Ben Brown,CHC,3,3,3.77,33,3,0,1,0,53.0,219,46,24,22,6,17,1,2,59,10.03,2.90,1.20,26.9%,7.8%
23,Trevor Megill,MIL,4,3,3.45,61,0,20,7,6,64.0,263,52,27,24,7,22,2,2,77,10.79,3.15,1.17,29.2%,8.5%
24,Jose Alvarado,PHI,5,3,3.52,55,0,4,12,3,56.2,236,49,24,22,6,21,1,2,64,10.13,3.34,1.24,26.9%,8.9%
25,Pete Fairbanks,MIA,4,4,3.52,61,0,26,4,5,63.0,261,54,27,25,6,22,1,2,64,9.18,3.11,1.20,24.6%,8.3%
26,Matt Brash,SEA,3,3,3.17,59,0,4,19,2,59.2,249,49,23,21,5,23,1,3,71,10.65,3.50,1.21,28.4%,9.3%
27,Jose A. Ferrer,SEA,4,2,3.37,63,0,3,19,4,65.0,269,58,26,24,5,18,1,3,61,8.36,2.45,1.16,22.5%,6.6%
28,Ryan Walker,SFG,4,4,3.53,60,0,24,5,4,62.0,261,56,26,24,6,19,1,4,65,9.40,2.81,1.21,24.9%,7.5%
29,Gabe Speier,SEA,3,3,3.34,60,0,1,19,3,56.2,229,45,23,21,6,16,2,3,67,10.64,2.56,1.08,29.3%,7.0%
30,Robert Suarez,ATL,5,5,3.60,64,0,11,14,5,66.1,273,58,29,27,8,20,2,2,70,9.41,2.66,1.16,25.5%,7.2%
31,Chris Martin,TEX,3,3,3.47,50,0,6,13,2,51.0,208,47,21,20,6,11,2,2,50,8.88,1.90,1.14,24.2%,5.2%
32,Garrett Cleavinger,TBR,4,4,3.36,64,0,8,21,4,63.2,263,49,26,24,7,23,1,4,77,10.95,3.30,1.14,29.4%,8.9%
33,Drew Anderson,DET,4,4,3.87,43,3,0,4,0,64.0,272,55,30,28,7,27,1,3,74,10.36,3.85,1.29,27.1%,10.1%
34,Jeff Hoffman,TOR,4,4,3.58,61,0,26,4,4,62.0,256,50,27,25,8,22,1,3,74,10.73,3.22,1.16,28.9%,8.7%
