#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
1,Mason Miller,SDP,4,2,2.43,66,0,32,2,,66.0,259,39,19,18,6,24,,2,106,14.50,3.33,0.96,41.0%,9.4%
2,Jhoan Duran,PHI,7,3,2.67,70,0,29,3,,70.0,285,55,23,21,4,22,,4,84,10.83,2.84,1.10,29.6%,7.7%
3,Cade Smith,CLE,6,3,2.85,70,0,30,3,,70.0,285,53,24,22,6,22,,4,91,11.68,2.84,1.07,31.9%,7.8%
4,Griffin Jax,TBR,5,3,2.83,67,0,12,10,,67.0,271,53,23,21,6,19,,2,87,11.67,2.53,1.06,32.0%,6.9%
5,Edwin Diaz,LAD,5,2,2.98,66,0,36,3,,66.0,268,47,24,22,7,23,,4,93,12.67,3.18,1.07,34.7%,8.7%
6,Aroldis Chapman,BOS,5,3,2.96,62,0,31,2,,62.0,255,45,22,20,5,28,,2,88,12.76,4.05,1.17,34.4%,10.9%
7,Grant Taylor,CHW,5,5,3.47,80,3,5,15,,92.0,386,79,39,36,9,33,,2,103,10.08,3.22,1.21,26.8%,8.6%
8,Bryan Abreu,HOU,4,2,2.97,68,0,3,13,,68.0,281,50,24,22,6,28,,4,91,12.02,3.76,1.16,32.3%,10.1%
9,Josh Hader,HOU,5,3,3.21,66,0,31,2,,66.0,267,47,26,24,8,25,,2,92,12.57,3.46,1.09,34.5%,9.5%
10,David Bednar,NYY,5,4,3.24,65,0,33,2,,65.0,267,51,25,23,7,22,,2,81,11.20,3.00,1.12,30.3%,8.1%
11,Devin Williams,NYM,5,4,3.12,64,0,32,3,,64.0,262,46,24,22,6,27,,3,85,11.93,3.77,1.14,32.4%,10.2%
12,Abner Uribe,MIL,4,2,3.12,72,0,19,7,,72.0,299,54,27,25,6,33,,4,87,10.83,4.13,1.21,28.9%,11.0%
13,Garrett Whitlock,BOS,5,3,3.32,70,0,3,14,,70.0,289,61,28,26,7,19,,3,79,10.10,2.46,1.15,27.2%,6.6%
14,Pete Fairbanks,MIA,4,3,3.38,62,0,27,4,,62.0,256,53,25,23,6,22,,2,65,9.37,3.20,1.20,25.2%,8.6%
15,Andres Munoz,SEA,4,2,2.86,64,0,28,3,,64.0,261,46,22,20,5,25,,4,82,11.56,3.50,1.11,31.5%,9.5%
16,Jose Alvarado,PHI,5,3,3.30,64,0,3,12,,64.0,269,53,25,23,6,26,,2,75,10.52,3.71,1.24,27.8%,9.8%
17,Will Vest,DET,4,4,3.30,68,0,5,12,,68.0,282,60,27,25,6,21,,2,69,9.20,2.80,1.19,24.6%,7.5%
18,Trevor Megill,MIL,5,3,3.28,66,0,11,9,,66.0,274,54,26,24,7,23,,2,82,11.14,3.19,1.17,29.8%,8.5%
19,Ryan Helsley,BAL,4,3,3.38,64,0,25,4,,64.0,266,53,26,24,7,23,,2,75,10.55,3.29,1.20,28.2%,8.8%
20,Adrian Morejon,SDP,6,5,3.39,68,0,3,13,,68.0,282,59,28,26,6,23,,2,69,9.09,3.01,1.20,24.4%,8.1%
21,Tanner Scott,LAD,4,3,3.47,63,0,4,15,,63.0,263,52,26,24,7,25,,3,72,10.27,3.55,1.21,27.4%,9.4%
22,Jeremiah Estrada,SDP,5,3,3.29,70,0,0,15,,70.0,289,52,28,26,8,28,,2,95,12.26,3.65,1.15,33.0%,9.8%
23,Jeff Hoffman,TOR,5,4,3.39,63,0,26,4,,63.0,259,50,26,24,8,23,,4,76,10.90,3.30,1.15,29.4%,8.9%
24,Hunter Harvey,CHC,4,2,3.09,52,0,5,13,,52.0,211,43,19,18,5,15,,2,58,10.04,2.51,1.10,27.5%,6.9%
25,Matt Brash,SEA,4,3,3.10,63,0,3,12,,63.0,266,51,24,22,5,26,,3,76,10.82,3.66,1.21,28.5%,9.6%
26,Matt Strahm,KCR,4,3,3.50,66,0,1,17,,66.0,271,56,28,26,8,20,,3,72,9.79,2.73,1.14,26.5%,7.4%
27,Robert Garcia,TEX,5,4,3.54,64,0,20,6,,64.0,268,55,27,25,7,23,,2,70,9.86,3.18,1.21,26.1%,8.4%
28,Robert Suarez,ATL,5,4,3.56,67,0,8,11,,67.0,277,59,29,26,7,21,,2,70,9.34,2.82,1.19,25.1%,7.6%
29,Garrett Cleavinger,TBR,5,3,3.26,66,0,8,13,,66.0,271,51,26,24,8,24,,5,83,11.37,3.31,1.13,30.8%,9.0%
30,Edwin Uceta,TBR,5,4,3.66,68,0,12,11,,68.0,284,55,30,28,9,25,,5,81,10.75,3.37,1.18,28.6%,9.0%
31,Camilo Doval,NYY,4,3,3.52,64,0,2,14,,64.0,272,51,27,25,5,30,,3,74,10.43,4.27,1.27,27.3%,11.2%
32,Fernando Cruz,NYY,4,3,3.38,61,0,1,16,,61.0,260,47,25,23,7,28,,3,82,12.07,4.17,1.24,31.5%,10.9%
33,Ryan Walker,SFG,5,3,3.27,63,0,27,5,,63.0,264,55,25,23,5,20,,5,68,9.74,2.82,1.18,25.8%,7.5%
34,Raisel Iglesias,ATL,5,3,3.61,66,0,26,4,,66.0,270,58,29,27,8,18,,2,71,9.66,2.43,1.15,26.2%,6.6%
35,Emilio Pagan,CIN,3,3,4.04,66,0,27,4,,66.0,271,56,32,30,10,23,,2,71,9.69,3.10,1.19,26.3%,8.4%
36,Chris Martin,TEX,4,3,3.38,54,0,4,12,,54.0,223,51,22,20,6,11,,2,53,8.89,1.91,1.15,24.0%,5.1%
37,Alex Vesia,LAD,4,3,3.55,61,0,1,18,,61.0,253,47,26,24,8,25,,3,77,11.33,3.75,1.19,30.4%,10.0%
38,Dennis Santana,PIT,4,3,3.72,68,0,26,5,,68.0,284,62,30,28,7,23,,3,63,8.33,3.06,1.25,22.1%,8.1%
39,Jose A. Ferrer,SEA,4,3,3.27,70,0,3,16,,70.0,292,62,28,25,5,21,,4,67,8.67,2.76,1.19,23.1%,7.4%
40,Kevin Ginkel,ARI,4,3,3.61,62,0,12,11,,62.0,263,56,27,25,6,24,,3,64,9.31,3.44,1.28,24.4%,9.0%
41,Lucas Erceg,KCR,4,4,3.70,62,0,2,13,,62.0,265,56,28,26,5,24,,4,61,8.80,3.46,1.29,22.9%,9.0%
42,Seranthony Dominguez,CHW,4,4,3.92,63,0,20,6,,63.0,268,53,30,27,8,30,,2,71,10.20,4.23,1.31,26.7%,11.1%
43,Orion Kerkering,PHI,5,3,3.49,63,0,1,13,,63.0,264,53,27,24,6,23,,4,70,9.94,3.30,1.21,26.3%,8.7%
44,Daniel Palencia,CHC,5,3,3.68,67,0,30,4,,67.0,282,55,30,27,7,28,,4,75,10.02,3.72,1.23,26.4%,9.8%
45,Robert Stephenson,LAA,2,4,4.08,60,0,15,8,,60.0,251,54,29,27,8,19,,2,67,9.98,2.92,1.22,26.5%,7.8%
46,Graham Ashcraft,CIN,5,4,3.88,65,0,2,16,,65.0,278,63,30,28,6,21,,3,59,8.20,2.91,1.29,21.3%,7.6%
47,Jared Koenig,MIL,4,3,3.56,65,0,1,15,,65.0,274,58,28,26,7,22,,3,66,9.17,3.10,1.23,24.2%,8.2%
48,Drew Pomeranz,LAA,3,3,3.93,58,0,3,11,,58.0,244,52,27,25,7,19,,4,61,9.49,3.01,1.24,25.0%,7.9%
49,Louis Varland,TOR,4,3,3.51,67,0,2,13,,67.0,278,61,29,26,8,18,,2,66,8.92,2.43,1.18,23.9%,6.5%
50,Dylan Lee,ATL,3,3,3.55,65,0,1,16,,65.0,267,57,28,26,9,19,,1,73,10.12,2.68,1.17,27.4%,7.3%
51,Gregory Soto,PIT,3,3,3.69,61,0,4,14,,61.0,264,54,27,25,5,25,,5,66,9.76,3.76,1.30,25.1%,9.7%
52,Jordan Leasure,CHW,4,4,4.16,64,0,5,11,,64.0,272,54,32,30,9,29,,2,73,10.21,4.07,1.30,26.7%,10.6%
53,Mark Leiter Jr.,ATH,5,4,3.99,64,0,6,13,,64.0,276,58,31,28,8,26,,4,69,9.64,3.63,1.31,24.9%,9.4%
54,Andrew Kittredge,BAL,4,4,3.73,67,0,4,13,,67.0,278,64,30,28,9,18,,2,66,8.85,2.38,1.22,23.7%,6.4%
55,Bryan Baker,TBR,4,3,3.80,63,0,3,12,,63.0,262,53,29,27,8,23,,2,70,9.99,3.24,1.21,26.7%,8.7%
56,Cole Sands,MIN,4,4,3.92,68,0,2,13,,68.0,286,63,32,30,8,21,,4,67,8.90,2.79,1.23,23.5%,7.4%
57,JoJo Romero,STL,5,3,3.49,64,0,14,9,,64.0,272,57,27,25,6,25,,2,62,8.69,3.58,1.29,22.8%,9.4%
