Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%,W%,L%,SV%,HLD%,BS%,H%,R%,ER%,HR%,IBB%,HBP%
A.J. Puk,ARI,0,63,64.2,267,5,4,0,12,15,4,54,26,24,7,2,3,77,22,10.73,3.02,3.37,1.17,28.83895131,8.239700375,0.079365079,0.063492063,0.19047619,0.238095238,0.063492063,0.202247191,0.097378277,0.08988764,0.026217228,0.007490637,0.011235955
Justin Martinez,ARI,0,64,67,288,4,3,0,21,10,3,54,27,25,4,3,4,83,34,11.12,4.61,3.29,1.32,28.81944444,11.80555556,0.0625,0.046875,0.328125,0.15625,0.046875,0.1875,0.09375,0.086805556,0.013888889,0.010416667,0.013888889
Kevin Ginkel,ARI,0,63,63,262,5,3,0,6,15,4,56,26,24,6,1,3,68,19,9.66,2.76,3.42,1.2,25.95419847,7.251908397,0.079365079,0.047619048,0.095238095,0.238095238,0.063492063,0.213740458,0.099236641,0.091603053,0.022900763,0.003816794,0.011450382
Mason Miller,ATH,0,62,68.2,274,3,2,0,27,4,3,47,23,21,7,2,3,99,24,12.92,3.12,2.81,1.04,36.13138686,8.759124088,0.048387097,0.032258065,0.435483871,0.064516129,0.048387097,0.171532847,0.083941606,0.076642336,0.025547445,0.00729927,0.010948905
Michel Otanez,ATH,0,55,55.2,244,4,2,0,1,13,3,46,26,24,5,1,4,72,32,11.65,5.2,3.84,1.4,29.50819672,13.1147541,0.072727273,0.036363636,0.018181818,0.236363636,0.054545455,0.18852459,0.106557377,0.098360656,0.020491803,0.004098361,0.016393443
Aaron Bummer,ATL,0,62,62.1,266,5,3,0,1,12,4,56,26,24,4,2,3,71,25,10.31,3.64,3.49,1.31,26.69172932,9.398496241,0.080645161,0.048387097,0.016129032,0.193548387,0.064516129,0.210526316,0.097744361,0.090225564,0.015037594,0.007518797,0.011278195
Dylan Lee,ATL,0,55,58.1,239,4,2,0,0,11,2,51,23,21,7,2,1,67,17,10.27,2.56,3.23,1.16,28.0334728,7.112970711,0.072727273,0.036363636,0,0.2,0.036363636,0.213389121,0.09623431,0.087866109,0.029288703,0.008368201,0.0041841
Pierce Johnson,ATL,0,61,61.1,261,4,4,0,3,13,3,54,28,25,7,1,2,74,26,10.81,3.85,3.73,1.31,28.35249042,9.961685824,0.06557377,0.06557377,0.049180328,0.213114754,0.049180328,0.206896552,0.107279693,0.095785441,0.026819923,0.003831418,0.007662835
Raisel Iglesias,ATL,0,66,67,271,5,3,0,34,3,4,57,26,24,7,2,3,72,16,9.71,2.18,3.2,1.09,26.56826568,5.904059041,0.075757576,0.045454545,0.515151515,0.045454545,0.060606061,0.210332103,0.095940959,0.088560886,0.025830258,0.007380074,0.011070111
Andrew Kittredge,BAL,0,63,62,258,4,4,0,3,20,5,59,28,26,8,1,2,57,17,8.25,2.43,3.73,1.22,22.09302326,6.589147287,0.063492063,0.063492063,0.047619048,0.317460317,0.079365079,0.228682171,0.108527132,0.100775194,0.031007752,0.003875969,0.007751938
