#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
1,Jhoan Duran,PHI,6,3,2.42,70,0,29,3,,70,285,53,21,19,4,23,,3,85,10.9,3,1.09,29.70%,8.20%
2,Mason Miller,SDP,5,3,2.06,66,0,32,2,,66,259,38,16,15,6,26,,3,101,13.75,3.61,0.97,38.90%,10.20%
3,Grant Taylor,CHW,7,4,2.8,80,3,5,15,,93,391,71,32,29,8,38,,4,118,11.41,3.65,1.17,30.20%,9.70%
4,Griffin Jax,TBR,5,3,2.45,67,0,12,10,,67,272,49,20,18,5,21,,3,86,11.59,2.88,1.05,31.70%,7.90%
5,Cade Smith,CLE,5,3,2.64,70,0,30,3,,70,285,53,22,20,6,22,,3,89,11.49,2.86,1.07,31.40%,7.80%
6,Edwin Diaz,LAD,5,3,2.62,66,0,36,3,,66,268,46,21,19,7,25,,3,91,12.39,3.38,1.07,33.90%,9.30%
7,Aroldis Chapman,BOS,5,3,2.7,62,0,31,2,,62,255,43,20,19,5,28,,3,88,12.72,4.04,1.14,34.40%,10.90%
8,Abner Uribe,MIL,5,4,2.75,72,0,19,7,,72,299,52,24,22,5,33,,3,89,11.11,4.14,1.19,29.70%,11.10%
9,Andres Munoz,SEA,5,3,2.44,64,0,28,3,,64,261,44,19,17,5,27,,3,83,11.62,3.8,1.11,31.70%,10.40%
10,Devin Williams,NYM,5,3,2.72,64,0,32,3,,64,262,45,21,19,6,27,,3,84,11.78,3.78,1.12,32.00%,10.30%
11,Bryan Abreu,HOU,5,3,2.97,68,0,3,13,,68,281,49,24,22,7,29,,3,89,11.82,3.8,1.15,31.80%,10.20%
12,Garrett Whitlock,BOS,5,3,3.35,70,0,3,14,,70,289,60,28,26,7,23,,3,78,10.01,2.92,1.18,26.90%,7.90%
13,Josh Hader,HOU,5,3,2.98,66,0,31,2,,66,267,45,24,22,8,26,,3,90,12.21,3.49,1.07,33.50%,9.60%
14,Adrian Morejon,SDP,5,3,2.85,68,0,3,13,,68,282,54,24,22,6,23,,3,74,9.85,3.03,1.12,26.40%,8.10%
15,Trevor Megill,MIL,5,3,2.86,66,0,11,9,,66,274,47,23,21,7,27,,3,84,11.43,3.64,1.12,30.60%,9.80%
16,Will Vest,DET,5,3,3.26,68,0,5,12,,68,282,58,27,25,6,24,,3,70,9.27,3.13,1.21,24.80%,8.40%
17,David Bednar,NYY,4,3,3.09,65,0,33,2,,65,267,48,24,22,7,25,,3,79,10.91,3.44,1.13,29.50%,9.30%
18,Jose A. Ferrer,SEA,5,3,2.72,70,0,3,16,,70,292,57,23,21,5,22,,3,74,9.55,2.83,1.12,25.40%,7.50%
19,Edwin Uceta,TBR,4,3,3.32,68,0,12,11,,68,286,54,27,25,9,25,,3,82,10.86,3.3,1.17,28.70%,8.70%
20,Daniel Palencia,CHC,5,3,3.11,67,0,30,4,,67,282,52,25,23,7,28,,3,82,10.97,3.82,1.19,28.90%,10.10%
21,Garrett Cleavinger,TBR,4,3,3.04,66,0,8,13,,66,272,50,24,22,7,26,,3,81,11.04,3.56,1.15,29.80%,9.60%
22,Jose Alvarado,PHI,4,3,3.24,64,0,3,12,,64,269,52,25,23,6,26,,3,73,10.33,3.71,1.22,27.30%,9.80%
23,Matt Brash,SEA,4,3,2.92,63,0,3,12,,63,266,50,22,20,6,24,,3,74,10.53,3.45,1.18,27.70%,9.10%
24,Ryan Helsley,BAL,4,3,3.21,64,0,25,4,,64,266,49,25,23,7,26,,3,76,10.73,3.7,1.18,28.70%,9.90%
25,Jeremiah Estrada,SDP,5,3,2.74,70,0,0,15,,70,289,47,23,21,8,29,,3,98,12.54,3.78,1.09,33.70%,10.20%
26,Tanner Scott,LAD,4,3,3.22,63,0,4,15,,63,263,49,25,23,7,26,,3,73,10.45,3.64,1.18,27.80%,9.70%
27,Jeff Hoffman,TOR,4,3,3.36,63,0,26,4,,63,260,49,26,24,7,24,,3,74,10.59,3.44,1.17,28.50%,9.20%
28,Ryan Walker,SFG,4,3,3.26,63,0,27,5,,63,264,55,25,23,6,21,,3,68,9.73,3.02,1.2,25.80%,8.00%
29,Robert Garcia,TEX,4,3,3.42,64,0,20,6,,64,268,53,27,24,7,23,,3,71,9.92,3.3,1.2,26.30%,8.80%
30,Pete Fairbanks,MIA,4,3,3.41,62,0,27,4,,62,256,52,26,23,6,23,,3,65,9.42,3.36,1.2,25.40%,9.00%
31,Graham Ashcraft,CIN,5,3,3.3,65,0,2,16,,65,278,56,26,24,6,23,,3,66,9.16,3.24,1.22,23.80%,8.40%
32,Camilo Doval,NYY,4,3,3.19,64,0,2,14,,64,272,49,25,23,6,32,,3,75,10.53,4.55,1.27,27.50%,11.90%
33,Seranthony Dominguez,CHW,4,3,3.5,63,0,20,6,,63,268,50,27,24,7,29,,3,73,10.44,4.2,1.27,27.30%,11.00%
34,Phil Maton,CHC,4,3,3.35,65,0,4,14,,65,274,53,26,24,7,26,,3,74,10.25,3.56,1.22,27.00%,9.40%
35,Louis Varland,TOR,5,3,3.2,67,0,2,13,,67,278,57,26,24,7,21,,3,70,9.43,2.84,1.16,25.30%,7.60%
36,Robert Suarez,ATL,4,3,3.45,67,0,8,11,,67,277,56,28,26,8,23,,3,73,9.81,3.1,1.18,26.40%,8.30%
37,Riley O'Brien,STL,4,3,3.54,63,0,16,9,,63,272,56,27,25,5,28,,3,68,9.65,4.06,1.34,24.80%,10.50%
38,Andrew Kittredge,BAL,4,3,3.65,67,0,4,13,,67,278,59,30,27,8,21,,3,70,9.36,2.88,1.2,25.10%,7.70%
39,Orion Kerkering,PHI,4,3,3.19,63,0,1,13,,63,264,51,24,22,6,23,,3,72,10.25,3.32,1.18,27.20%,8.80%
40,Yimi Garcia,TOR,4,3,3.38,56,0,4,11,,56,235,45,23,21,6,22,,3,64,10.36,3.5,1.2,27.40%,9.30%
41,Emilio Pagan,CIN,4,3,3.75,66,0,27,4,,66,271,53,30,27,10,24,,3,74,10.06,3.27,1.16,27.20%,8.90%
42,Gregory Soto,PIT,4,3,3.36,61,0,4,14,,61,264,53,25,23,5,26,,3,66,9.8,3.8,1.29,25.20%,9.70%
43,Raisel Iglesias,ATL,4,3,3.65,66,0,26,4,,66,270,56,29,27,9,20,,3,70,9.5,2.79,1.16,25.80%,7.60%
44,Clayton Beeter,WSN,4,3,3.53,63,0,17,9,,63,271,50,27,25,7,33,,3,75,10.74,4.67,1.32,27.70%,12.10%
45,Tyler Rogers,TOR,5,4,3.65,74,0,2,18,,74,311,71,33,30,8,17,,3,57,6.94,2.02,1.19,18.40%,5.30%
46,Robert Stephenson,LAA,4,3,3.6,60,0,15,8,,60,251,49,26,24,8,23,,3,68,10.16,3.41,1.19,27.00%,9.10%
47,Fernando Cruz,NYY,4,3,3.35,61,0,1,16,,61,260,46,25,23,7,29,,3,80,11.85,4.32,1.23,30.90%,11.30%
48,Chris Martin,TEX,3,3,3.46,54,0,4,12,,54,223,48,23,21,6,15,,2,53,8.87,2.51,1.16,23.90%,6.80%
49,Hunter Harvey,CHC,3,3,3.29,52,0,5,13,,52,211,43,21,19,5,17,,2,56,9.61,2.89,1.14,26.30%,7.90%
50,Bryan Baker,TBR,4,3,3.29,63,0,3,12,,63,263,50,25,23,8,24,,3,74,10.61,3.36,1.16,28.20%,9.00%
51,Jared Koenig,MIL,4,3,3.33,65,0,1,15,,65,274,53,26,24,7,25,,3,70,9.66,3.45,1.2,25.50%,9.10%
52,Bryan King,HOU,4,3,3.65,67,0,1,17,,67,280,60,30,27,8,21,,3,67,9.06,2.77,1.2,24.10%,7.40%
53,Drew Pomeranz,LAA,4,3,3.59,58,0,3,11,,58,244,48,25,23,8,22,,3,65,10.04,3.4,1.2,26.50%,9.00%
54,Mason Montgomery,PIT,4,3,3.12,60,0,2,12,,60,258,48,23,21,6,25,,3,71,10.67,3.82,1.22,27.60%,9.90%
55,Dylan Lee,ATL,4,3,3.5,65,0,1,16,,65,267,54,28,25,9,20,,3,73,10.1,2.84,1.14,27.30%,7.70%
56,Alex Vesia,LAD,4,3,3.5,61,0,1,18,,61,253,45,26,24,9,25,,3,77,11.4,3.66,1.14,30.50%,9.80%
57,Kody Funderburk,MIN,4,3,3.73,65,0,3,15,,65,282,60,29,27,6,26,,3,65,8.96,3.64,1.33,22.90%,9.30%
58,Gabe Speier,SEA,4,3,2.8,58,0,0,12,,58,239,44,20,18,6,18,,2,70,10.83,2.86,1.08,29.20%,7.70%
