#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
1,Mason Miller,SDP,4,2,2.39,66,0,32,2,,66.0,263,41,19,17,6,25,2,2,105,14.27,3.46,1.00,39.8%,9.6%
2,Grant Taylor,CHW,5,5,3.36,80,3,5,15,,94.2,395,79,39,35,10,37,2,3,109,10.38,3.50,1.22,27.7%,9.3%
3,Jhoan Duran,PHI,4,3,2.78,70,0,29,3,,70.0,285,56,24,22,5,23,2,3,83,10.73,2.97,1.13,29.3%,8.1%
4,Griffin Jax,TBR,4,3,2.94,67,0,12,10,,67.0,273,53,24,22,6,20,2,2,84,11.34,2.73,1.10,31.0%,7.5%
5,Edwin Diaz,LAD,4,3,3.03,66,0,36,3,,66.0,269,48,24,22,7,24,1,3,91,12.38,3.28,1.09,33.8%,8.9%
6,Cade Smith,CLE,4,3,2.98,70,0,30,3,,70.0,285,55,25,23,7,22,2,3,88,11.35,2.84,1.10,31.0%,7.7%
7,Jeremiah Estrada,SDP,4,3,3.21,70,0,0,15,,70.0,289,53,27,25,8,29,2,2,92,11.89,3.68,1.16,32.0%,9.9%
8,Aroldis Chapman,BOS,3,3,3.01,62,0,31,2,,62.0,256,45,23,21,6,28,1,2,86,12.55,4.09,1.18,33.7%,11.0%
9,Bryan Abreu,HOU,4,3,3.24,68,0,3,13,,68.0,282,52,27,24,7,28,1,3,88,11.69,3.67,1.17,31.3%,9.8%
10,Josh Hader,HOU,4,3,3.29,66,0,31,2,,66.0,271,49,26,24,8,25,1,3,90,12.31,3.46,1.12,33.2%,9.3%
11,Abner Uribe,MIL,4,3,3.16,72,0,19,7,,72.0,302,57,28,25,6,33,2,3,87,10.83,4.11,1.25,28.7%,10.9%
12,Garrett Cleavinger,TBR,3,3,3.22,66,0,8,13,,66.0,274,52,26,24,7,26,1,4,84,11.43,3.48,1.17,30.6%,9.3%
13,David Bednar,NYY,4,3,3.25,65,0,33,2,,65.0,268,52,25,23,7,22,2,2,79,10.95,3.07,1.14,29.5%,8.3%
14,Garrett Whitlock,BOS,4,3,3.47,70,0,3,14,,70.0,291,63,29,27,7,21,2,3,77,9.94,2.65,1.19,26.6%,7.1%
15,Jose Alvarado,PHI,3,3,3.26,64,0,3,12,,64.0,268,53,25,23,6,26,2,2,74,10.40,3.68,1.24,27.6%,9.8%
16,Jeff Hoffman,TOR,3,3,3.40,63,0,26,4,,63.0,262,51,26,24,7,23,2,3,77,10.93,3.22,1.17,29.2%,8.6%
17,Will Vest,DET,4,3,3.26,68,0,5,12,,68.0,283,61,27,25,6,21,2,2,70,9.21,2.81,1.21,24.6%,7.5%
18,Trevor Megill,MIL,3,3,3.42,66,0,11,9,,66.0,273,53,27,25,8,24,2,2,82,11.12,3.25,1.17,29.9%,8.8%
19,Andres Munoz,SEA,4,3,2.92,64,0,28,3,,64.0,266,49,23,21,5,26,2,3,81,11.37,3.63,1.17,30.4%,9.7%
20,Louis Varland,TOR,4,3,3.38,67,0,2,13,,67.0,276,61,27,25,7,18,2,3,69,9.23,2.38,1.17,24.9%,6.4%
21,Devin Williams,NYM,4,3,3.11,64,0,32,3,,64.0,266,48,24,22,6,28,1,3,81,11.45,3.92,1.19,30.6%,10.5%
22,Hunter Harvey,CHC,3,2,3.35,52,0,5,13,,52.0,214,44,21,19,5,16,1,2,58,10.08,2.77,1.16,27.2%,7.5%
23,Kutter Crawford,BOS,5,5,4.15,56,6,0,4,,86.0,362,82,42,40,13,23,1,4,87,9.05,2.43,1.22,23.9%,6.4%
24,Fernando Cruz,NYY,3,3,3.30,61,0,1,16,,61.0,255,46,24,22,7,27,1,2,81,11.92,3.96,1.19,31.6%,10.5%
25,Drew Anderson,DET,3,3,3.59,54,2,0,6,,61.1,258,54,26,24,7,22,1,3,69,10.07,3.22,1.23,26.6%,8.5%
26,Tanner Scott,LAD,4,3,3.44,63,0,4,15,,63.0,264,52,26,24,7,26,2,3,73,10.48,3.74,1.25,27.8%,9.9%
27,Robert Suarez,ATL,4,3,3.52,67,0,8,11,,67.0,278,59,28,26,8,21,2,2,73,9.84,2.85,1.20,26.4%,7.6%
28,Chris Martin,TEX,3,2,3.44,54,0,4,12,,54.0,222,50,22,21,6,12,2,2,55,9.15,2.05,1.16,24.7%,5.5%
29,Orion Kerkering,PHI,3,3,3.51,63,0,1,13,,63.0,264,54,27,25,7,24,2,3,68,9.76,3.42,1.24,25.9%,9.1%
30,Pete Fairbanks,MIA,3,3,3.58,62,0,27,4,,62.0,259,54,27,25,7,22,1,2,66,9.52,3.21,1.23,25.3%,8.5%
31,Adrian Morejon,SDP,4,3,3.36,68,0,3,13,,68.0,282,60,28,25,7,23,2,2,70,9.28,3.01,1.22,24.9%,8.1%
32,Ben Brown,CHC,3,2,3.39,42,2,0,1,,49.0,201,42,20,18,6,15,1,2,56,10.27,2.77,1.16,27.7%,7.5%
33,Matt Brash,SEA,3,3,3.05,63,0,3,12,,63.0,262,50,24,21,6,25,2,3,75,10.74,3.52,1.19,28.7%,9.4%
34,Ryan Helsley,BAL,3,3,3.48,64,0,25,4,,64.0,267,54,27,25,7,25,2,2,76,10.65,3.47,1.22,28.3%,9.2%
35,Matt Strahm,KCR,3,3,3.75,66,0,1,17,,66.0,275,58,29,28,9,21,2,3,72,9.85,2.83,1.19,26.2%,7.5%
36,Bryan Baker,TBR,3,3,3.65,63,0,3,12,,63.0,264,54,27,26,8,23,1,2,71,10.11,3.30,1.22,26.8%,8.7%
37,Edwin Uceta,TBR,3,3,3.63,68,0,12,11,,68.0,284,56,29,27,9,25,2,3,79,10.43,3.29,1.19,27.7%,8.7%
38,Carmen Mlodzinski,PIT,4,4,3.87,53,3,0,4,,66.2,284,65,31,29,7,23,1,3,61,8.22,3.11,1.32,21.5%,8.1%
39,Jose A. Ferrer,SEA,4,3,3.11,70,0,3,16,,70.0,290,63,27,24,6,21,2,3,68,8.69,2.73,1.20,23.3%,7.3%
40,Camilo Doval,NYY,3,3,3.41,64,0,2,14,,64.0,271,52,27,24,6,30,2,3,74,10.35,4.20,1.29,27.2%,11.0%
41,Alex Vesia,LAD,3,3,3.68,61,0,1,18,,61.0,257,49,27,25,9,26,2,3,75,11.10,3.79,1.22,29.3%,10.0%
42,Connor Prielipp,MIN,4,4,4.01,45,5,0,1,,67.2,291,66,33,30,8,25,1,3,63,8.35,3.37,1.34,21.6%,8.7%
43,Aaron Bummer,ATL,3,3,3.40,60,0,0,12,,60.0,254,55,25,23,5,23,2,4,61,9.22,3.40,1.30,24.2%,8.9%
44,Lucas Erceg,KCR,3,3,3.65,62,0,2,13,,62.0,262,57,27,25,6,23,2,3,63,9.09,3.32,1.29,23.9%,8.7%
45,Gabe Speier,SEA,3,3,3.21,58,0,0,12,,58.0,238,48,23,21,6,18,2,3,66,10.31,2.76,1.14,27.8%,7.5%
46,Blake Treinen,LAD,3,3,3.78,58,0,1,14,,58.0,245,51,26,24,7,22,2,2,64,9.95,3.40,1.26,26.2%,9.0%
47,Robert Garcia,TEX,3,3,3.53,64,0,20,6,,64.0,269,57,27,25,7,23,2,2,70,9.84,3.26,1.25,26.0%,8.6%
48,Seranthony Dominguez,CHW,3,3,3.84,63,0,20,6,,63.0,268,53,29,27,8,29,1,3,71,10.16,4.14,1.30,26.5%,10.8%
