#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
1,Grant Taylor,CHW,3,3,3,69,2,7,15,,82.1,337,63,29,28,6,28,2,4,97,10.59,3.09,1.11,28.80%,8.40%
2,Mason Miller,SDP,3,2,2.63,59,0,33,2,,64.2,258,40,20,19,6,24,2,3,96,13.33,3.39,1,37.20%,9.50%
3,Cade Smith,CLE,3,2,3.09,67,0,31,3,,69,283,53,25,24,6,23,2,4,88,11.46,2.96,1.1,31.00%,8.00%
4,Griffin Jax,TBR,3,2,3.45,65,0,15,10,,65.2,270,55,27,25,7,18,1,3,80,10.93,2.48,1.12,29.60%,6.70%
5,Edwin Diaz,LAD,3,1,3.52,64,0,37,3,,65.2,271,51,28,26,8,23,1,4,89,12.22,3.13,1.12,32.90%,8.40%
6,Garrett Whitlock,BOS,3,2,3.42,58,0,4,14,,64,262,55,26,24,6,17,1,3,69,9.71,2.33,1.12,26.30%,6.30%
7,Devin Williams,NYM,3,2,3.14,64,0,30,3,,64.1,265,46,24,22,6,28,1,3,84,11.81,3.88,1.14,31.80%,10.50%
8,Andres Munoz,SEA,3,2,2.97,60,0,34,3,,61.2,252,46,22,20,5,22,2,4,74,10.84,3.28,1.1,29.50%,8.90%
9,Jhoan Duran,PHI,3,2,3.24,65,0,33,3,,66.1,273,57,26,24,6,19,2,4,70,9.5,2.55,1.14,25.70%,6.90%
10,Abner Uribe,MIL,3,2,3.02,67,0,16,7,,68.2,287,51,25,23,4,32,2,4,76,9.96,4.23,1.21,26.50%,11.30%
11,Jose A. Ferrer,SEA,3,2,3.15,63,0,3,16,,65,267,58,25,23,4,17,2,3,57,7.94,2.35,1.14,21.50%,6.40%
12,David Bednar,NYY,3,2,3.46,62,0,31,2,,63.2,261,51,26,24,7,20,2,3,75,10.55,2.86,1.11,28.60%,7.70%
13,Alex Vesia,LAD,3,1,3.39,62,0,2,18,,61.2,252,44,25,23,8,24,2,3,78,11.41,3.5,1.11,30.90%,9.50%
14,Matt Svanson,STL,3,2,3.41,59,0,5,15,,66.1,276,57,27,25,5,22,2,3,65,8.81,3.06,1.2,23.40%,8.10%
15,Jeremiah Estrada,SDP,3,2,3.55,67,0,3,15,,68.2,287,52,29,27,9,29,2,3,91,11.96,3.75,1.18,31.80%,10.00%
16,Ben Brown,CHC,2,2,3.6,33,3,0,1,,53,220,44,23,21,6,18,1,2,59,9.99,3.12,1.18,26.70%,8.30%
17,Bryan Abreu,HOU,3,2,3.65,65,0,9,13,,67.1,284,53,29,27,7,29,1,4,87,11.58,3.83,1.21,30.50%,10.10%
18,Orion Kerkering,PHI,3,2,3.5,62,0,2,13,,62.2,260,54,26,24,5,20,1,4,62,8.97,2.81,1.18,24.00%,7.50%
19,Drew Anderson,DET,2,2,3.71,43,3,0,6,,64,273,48,28,26,8,33,2,4,86,12.14,4.71,1.27,31.60%,12.30%
20,Gabe Speier,SEA,3,2,3.41,60,0,1,12,,56.2,233,46,23,22,6,17,2,2,67,10.66,2.63,1.11,28.90%,7.10%
