#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
1,Grant Taylor,CHW,3,3,3.06,69,2,7,15,,82.1,336,63,30,28,7,29,2,2,102,11.17,3.21,1.12,30.4%,8.7%
2,Mason Miller,SDP,3,1,2.43,59,0,33,2,,64.2,256,39,19,17,5,25,2,2,99,13.85,3.44,0.99,38.8%,9.6%
3,Cade Smith,CLE,3,2,3.03,67,0,31,3,,69.0,280,51,25,23,6,23,2,3,91,11.80,2.95,1.06,32.3%,8.1%
4,Griffin Jax,TBR,3,2,3.00,65,0,15,10,,65.2,265,51,23,22,6,18,1,3,82,11.23,2.41,1.04,31.0%,6.6%
5,Devin Williams,NYM,4,2,2.99,64,0,30,3,,64.1,260,42,23,21,6,27,1,3,88,12.36,3.82,1.08,33.9%,10.5%
6,Jeremiah Estrada,SDP,3,2,3.26,67,0,3,15,,68.2,283,49,27,25,8,28,2,2,93,12.15,3.66,1.13,32.8%,9.9%
7,Garrett Whitlock,BOS,3,2,3.37,58,0,4,14,,64.0,261,54,26,24,6,17,1,3,72,10.10,2.41,1.11,27.4%,6.5%
8,Edwin Diaz,LAD,3,1,3.57,64,0,37,3,,65.2,272,50,28,26,8,23,1,6,90,12.34,3.16,1.11,33.2%,8.5%
9,Adrian Morejon,SDP,3,2,3.36,65,0,3,13,,66.1,273,59,27,25,6,17,2,3,65,8.78,2.34,1.15,23.7%,6.3%
10,Josh Hader,HOU,3,1,3.13,53,0,29,2,,56.0,226,37,21,20,7,19,1,4,81,13.06,3.12,1.00,36.1%,8.6%
11,Dylan Lee,ATL,3,1,3.43,63,0,2,16,,65.0,263,54,27,25,8,16,1,1,75,10.32,2.24,1.07,28.4%,6.1%
12,Andres Munoz,SEA,3,2,3.09,60,0,34,3,,61.2,253,45,23,21,5,23,2,4,77,11.21,3.41,1.11,30.4%,9.2%
13,Bryan Abreu,HOU,3,2,3.47,65,0,9,13,,67.1,282,52,28,26,7,29,1,3,88,11.76,3.85,1.19,31.3%,10.2%
14,Abner Uribe,MIL,3,2,3.10,67,0,16,7,,68.2,287,51,25,24,5,32,2,4,78,10.24,4.25,1.22,27.2%,11.3%
15,Aroldis Chapman,BOS,3,2,3.12,57,0,30,2,,57.1,236,39,21,20,5,26,1,3,79,12.39,4.10,1.14,33.4%,11.1%
16,Matt Brash,SEA,3,2,3.09,59,0,4,12,,59.2,249,45,22,21,4,27,1,3,71,10.68,4.00,1.20,28.5%,10.7%
17,David Bednar,NYY,3,2,3.38,62,0,31,2,,63.2,259,49,25,24,7,21,2,2,76,10.70,2.94,1.10,29.2%,8.0%
18,Gabe Speier,SEA,3,2,3.24,60,0,1,12,,56.2,230,45,22,20,6,14,2,4,67,10.64,2.29,1.04,29.2%,6.3%
19,Jhoan Duran,PHI,3,2,3.37,65,0,33,3,,66.1,273,57,27,25,7,19,2,3,73,9.92,2.60,1.14,26.9%,7.0%
20,Mason Montgomery,PIT,3,2,3.54,58,0,2,12,,60.1,254,49,25,24,6,24,1,3,71,10.64,3.59,1.22,28.1%,9.5%
21,Matt Svanson,STL,3,2,3.54,59,0,5,15,,66.1,278,58,28,26,5,23,2,4,66,8.97,3.16,1.22,23.7%,8.4%
22,Jose A. Ferrer,SEA,3,2,3.49,63,0,3,16,,65.0,271,60,27,25,5,17,2,4,61,8.37,2.31,1.18,22.4%,6.2%
23,Drew Anderson,DET,2,2,3.75,43,3,0,6,,64.0,274,48,29,27,8,34,2,4,87,12.22,4.76,1.28,31.7%,12.3%
24,Ryan Helsley,BAL,3,2,3.49,61,0,29,4,,63.1,262,52,26,25,7,22,1,1,69,9.81,3.15,1.17,26.4%,8.5%
25,Phil Maton,CHC,3,2,3.49,63,0,6,14,,63.2,265,49,26,25,7,23,1,6,75,10.64,3.32,1.14,28.4%,8.9%
26,Daniel Palencia,CHC,3,2,3.61,62,0,29,4,,64.2,272,51,28,26,7,27,1,3,75,10.48,3.77,1.21,27.8%,10.0%
27,Alex Vesia,LAD,4,1,3.55,62,0,2,18,,61.2,252,45,26,24,9,22,2,2,75,10.96,3.25,1.09,29.8%,8.8%
28,Orion Kerkering,PHI,3,2,3.54,62,0,2,13,,62.2,260,53,26,25,6,20,1,4,64,9.21,2.85,1.16,24.7%,7.6%
29,Andrew Kittredge,BAL,3,2,3.52,63,0,7,13,,65.0,265,57,27,25,7,16,1,2,65,8.97,2.26,1.12,24.4%,6.1%
30,Trevor Megill,MIL,3,2,3.79,61,0,20,9,,64.0,266,53,29,27,8,22,2,2,73,10.29,3.08,1.16,27.5%,8.2%
31,A.J. Minter,NYM,3,2,3.62,50,0,2,14,,51.1,212,43,22,21,6,16,1,2,57,10.03,2.83,1.14,27.0%,7.6%
32,Aaron Ashby,MIL,3,2,3.33,56,0,1,13,,67.2,286,55,27,25,4,31,2,5,72,9.58,4.08,1.27,25.1%,10.7%
33,Tyler Holton,DET,3,2,3.44,61,1,1,14,,68.0,277,59,28,26,7,16,1,2,55,7.26,2.14,1.10,19.8%,5.8%
34,Fernando Cruz,NYY,3,2,3.40,58,0,1,16,,59.1,246,42,24,22,7,27,1,3,82,12.40,4.08,1.16,33.2%,10.9%
35,Camilo Doval,NYY,3,2,3.45,62,0,5,14,,63.0,266,50,26,24,5,28,2,4,68,9.67,3.99,1.24,25.5%,10.5%
36,Raisel Iglesias,ATL,2,2,3.92,62,0,26,4,,63.2,266,59,30,28,8,16,1,2,66,9.30,2.32,1.18,24.8%,6.2%
37,Pete Fairbanks,MIA,2,2,3.84,61,0,26,4,,63.0,264,56,29,27,6,22,1,2,62,8.88,3.08,1.23,23.5%,8.2%
38,Jose Alvarado,PHI,2,1,3.75,55,0,4,12,,56.2,241,50,25,24,5,23,1,3,61,9.66,3.59,1.29,25.2%,9.4%
39,Ryan Walker,SFG,3,2,4.03,60,0,24,5,,62.0,268,60,30,28,6,22,1,5,63,9.18,3.19,1.31,23.7%,8.2%
40,Shawn Armstrong,CLE,2,2,3.95,64,0,3,16,,67.1,283,61,32,29,7,22,1,3,63,8.51,2.96,1.24,22.4%,7.8%
41,Ben Brown,CHC,2,2,4.08,33,3,0,1,,53.0,225,47,26,24,7,20,1,2,56,9.59,3.39,1.27,25.1%,8.9%
42,Garrett Cleavinger,TBR,3,2,3.71,64,0,8,13,,63.2,268,53,28,26,7,24,1,5,74,10.52,3.34,1.20,27.8%,8.8%
43,Will Vest,DET,2,2,3.73,61,0,7,12,,64.0,268,58,29,27,7,21,1,2,63,8.88,2.93,1.23,23.5%,7.8%
44,Eduard Bazardo,SEA,2,2,3.90,60,0,0,14,,63.1,266,56,29,28,7,22,1,2,64,9.09,3.05,1.23,24.1%,8.1%
45,Erik Sabrowski,CLE,2,2,3.52,58,0,1,14,,59.1,248,41,25,23,7,30,1,4,73,11.15,4.51,1.19,29.6%,12.0%
46,Graham Ashcraft,CIN,2,2,3.69,54,0,2,16,,61.2,259,56,27,25,5,21,1,3,54,7.92,3.09,1.25,20.9%,8.2%
47,Tanner Scott,LAD,3,1,3.77,62,0,5,15,,64.1,272,54,29,27,7,25,1,4,72,10.01,3.48,1.23,26.3%,9.2%
48,JoJo Romero,STL,3,2,3.71,63,0,12,9,,63.2,268,58,28,26,5,22,1,3,57,8.11,3.18,1.26,21.4%,8.4%
49,Edwin Uceta,TBR,3,2,3.97,63,0,12,11,,68.1,289,56,32,30,9,27,2,4,82,10.82,3.56,1.22,28.4%,9.3%
50,Andrew Nardi,MIA,2,2,3.68,53,0,1,10,,51.2,217,43,23,21,6,19,1,2,62,10.73,3.37,1.20,28.5%,8.9%
51,Hunter Harvey,CHC,2,1,3.68,50,0,4,13,,52.0,214,44,23,21,6,16,1,2,56,9.67,2.72,1.15,26.1%,7.3%
