#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
1,Jhoan Duran,PHI,9,3,2.56,66,0,29,3,,66.2,271,51,21,19,3,20,4,4,81,10.93,2.70,1.06,29.9%,7.4%
2,Griffin Jax,TBR,6,3,2.73,68,1,12,10,,66.0,266,51,22,20,6,17,2,2,88,12.00,2.32,1.03,33.1%,6.4%
3,Mason Miller,SDP,3,1,2.48,58,0,32,2,,61.2,239,35,18,17,6,22,2,2,101,14.73,3.21,0.92,42.3%,9.2%
4,Cade Smith,CLE,8,3,2.71,68,0,30,3,,69.2,283,50,23,21,5,22,2,5,93,12.01,2.84,1.03,32.9%,7.8%
5,Garrett Whitlock,BOS,6,3,3.17,45,5,3,14,,71.0,291,61,27,25,7,18,1,3,81,10.27,2.28,1.11,27.8%,6.2%
6,Bryan Abreu,HOU,4,2,2.70,69,0,3,13,,70.0,289,50,23,21,6,30,0,4,96,12.34,3.86,1.14,33.2%,10.4%
7,Grant Taylor,CHW,3,3,3.58,45,8,5,15,,55.1,232,48,24,22,5,18,1,0,60,9.76,2.93,1.19,25.9%,7.8%
8,Emmanuel Clase,CLE,6,2,2.69,61,0,0,0,,60.1,239,49,19,18,4,13,2,2,59,8.81,1.94,1.03,24.7%,5.4%
9,Jeremiah Estrada,SDP,5,3,3.36,68,0,0,15,,67.0,277,50,27,25,8,27,2,2,94,12.63,3.63,1.15,33.9%,9.7%
10,Edwin Diaz,LAD,6,2,2.93,57,0,36,3,,58.1,236,41,21,19,6,20,0,5,84,12.97,3.09,1.05,35.6%,8.5%
11,Aroldis Chapman,BOS,5,2,2.92,56,0,31,2,,49.1,202,35,17,16,4,22,0,1,71,12.96,4.02,1.16,35.1%,10.9%
12,Hunter Harvey,CHC,4,2,2.83,46,1,5,13,,47.2,191,38,16,15,4,12,1,2,53,10.00,2.26,1.05,27.7%,6.3%
13,Matt Strahm,KCR,4,2,3.24,58,2,1,17,,58.1,235,47,23,21,6,17,1,3,63,9.73,2.62,1.10,26.8%,7.2%
14,David Bednar,NYY,6,4,3.23,62,0,33,2,,61.1,251,48,24,22,7,20,3,2,78,11.45,2.94,1.11,31.1%,8.0%
15,Jared Koenig,MIL,5,3,3.63,54,5,1,15,,72.0,304,64,31,29,7,24,2,3,71,8.88,3.00,1.22,23.4%,7.9%
16,Devin Williams,NYM,6,4,3.14,61,0,32,3,,57.1,231,39,22,20,5,23,1,3,79,12.41,3.61,1.08,34.2%,10.0%
17,Adrian Morejon,SDP,8,6,3.42,65,1,3,13,,65.2,272,56,27,25,5,22,2,1,65,8.90,3.01,1.19,23.9%,8.1%
18,Will Vest,DET,5,4,3.34,60,0,5,12,,64.2,268,56,26,24,5,20,1,2,66,9.18,2.78,1.17,24.6%,7.5%
19,Ronny Henriquez,MIA,4,3,3.49,56,2,0,0,,74.2,314,63,31,29,8,27,1,4,83,10.00,3.25,1.20,26.4%,8.6%
20,Andres Munoz,SEA,5,2,2.79,62,0,28,3,,61.1,246,42,21,19,5,23,3,4,80,11.75,3.38,1.06,32.5%,9.3%
21,A.J. Puk,ARI,6,3,3.19,55,2,7,1,,59.1,246,49,23,21,7,19,2,4,74,11.23,2.88,1.15,30.1%,7.7%
22,Pete Fairbanks,MIA,5,3,3.18,55,0,27,4,,53.2,219,44,21,19,4,19,1,1,55,9.22,3.18,1.17,25.1%,8.7%
23,Cole Sands,MIN,5,4,3.91,57,4,2,13,,69.0,289,62,32,30,7,21,1,4,68,8.87,2.74,1.20,23.5%,7.3%
24,Josh Hader,HOU,6,3,3.13,54,0,31,2,,54.2,218,37,21,19,7,21,1,2,78,12.83,3.46,1.06,35.8%,9.6%
25,Abner Uribe,MIL,3,1,3.08,66,0,19,7,,67.1,277,47,25,23,5,31,2,5,81,10.83,4.15,1.16,29.2%,11.2%
26,Tanner Scott,LAD,5,3,3.50,63,0,4,15,,61.2,256,50,26,24,6,23,2,3,69,10.06,3.35,1.18,27.0%,9.0%
27,Hunter Gaddis,CLE,4,4,3.65,56,7,3,14,,81.1,339,71,36,33,10,26,2,5,80,8.86,2.88,1.19,23.6%,7.7%
28,Orion Kerkering,PHI,7,4,3.47,69,0,1,13,,62.1,262,52,26,24,6,22,1,5,70,10.11,3.18,1.19,26.7%,8.4%
29,Graham Ashcraft,CIN,6,4,3.82,62,0,2,16,,66.0,284,61,30,28,5,23,0,3,62,8.45,3.14,1.27,21.8%,8.1%
30,Matt Brash,SEA,4,3,3.16,57,1,3,12,,57.0,244,46,22,20,4,24,1,3,69,10.89,3.79,1.23,28.3%,9.8%
31,Ryan Walker,SFG,7,4,3.25,64,2,27,5,,63.2,269,55,25,23,5,20,1,6,69,9.75,2.83,1.18,25.7%,7.4%
32,Ryan Helsley,BAL,5,3,3.28,56,0,25,4,,57.2,238,48,23,21,6,20,2,1,67,10.45,3.12,1.18,28.2%,8.4%
33,Jakob Junis,TEX,3,3,4.06,41,4,1,14,,71.0,296,67,35,32,8,18,1,4,60,7.61,2.28,1.20,20.3%,6.1%
34,Jose A. Ferrer,SEA,4,3,3.44,64,0,3,16,,70.2,296,62,29,27,5,22,1,4,68,8.66,2.80,1.19,23.0%,7.4%
35,Camilo Doval,NYY,5,3,3.64,67,0,2,14,,64.1,274,50,28,26,5,31,2,4,75,10.50,4.34,1.26,27.4%,11.3%
36,Alex Vesia,LAD,5,3,3.41,68,0,1,18,,60.2,248,45,25,23,8,25,3,3,78,11.57,3.71,1.15,31.5%,10.1%
37,Justin Martinez,ARI,5,3,3.34,52,0,0,1,,59.1,259,45,24,22,4,33,4,5,74,11.23,5.01,1.32,28.6%,12.7%
38,Dennis Santana,PIT,5,3,3.41,63,0,26,5,,63.1,258,54,26,24,5,20,1,3,58,8.25,2.84,1.17,22.5%,7.8%
39,Jason Foley,SFG,3,3,3.21,58,0,0,1,,56.0,233,53,22,20,4,13,1,2,47,7.55,2.09,1.18,20.2%,5.6%
40,Fernando Cruz,NYY,4,3,3.47,51,1,1,16,,49.1,214,39,21,19,5,24,0,3,67,12.23,4.38,1.28,31.3%,11.2%
41,Trevor Megill,MIL,5,2,3.13,49,1,11,9,,46.0,192,38,17,16,5,16,2,1,57,11.15,3.13,1.17,29.7%,8.3%
