#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
1,Jhoan Duran,PHI,9,3,2.56,70,0,29,3,,70.0,284,54,22,20,3,21,,4,85,10.93,2.70,1.06,29.9%,7.4%
2,Mason Miller,SDP,3,1,2.48,66,0,32,2,,66.0,256,37,19,18,6,24,,2,108,14.73,3.21,0.92,42.3%,9.2%
3,Cade Smith,CLE,8,3,2.71,70,0,30,3,,70.0,284,50,23,21,5,22,,5,93,12.01,2.84,1.03,32.9%,7.8%
4,Griffin Jax,TBR,6,3,2.73,67,0,12,10,,67.0,270,52,22,20,6,17,,2,89,12.00,2.32,1.03,33.1%,6.4%
5,Aroldis Chapman,BOS,6,3,2.92,62,0,31,2,,62.0,254,44,21,20,5,28,,1,89,12.96,4.02,1.16,35.1%,10.9%
6,Edwin Diaz,LAD,7,2,2.93,66,0,36,3,,66.0,267,46,24,22,7,23,,6,95,12.97,3.09,1.05,35.6%,8.5%
7,Grant Taylor,CHW,5,5,3.58,80,3,5,15,,90.0,377,78,39,36,8,29,,0,98,9.76,2.93,1.19,25.9%,7.8%
8,Bryan Abreu,HOU,4,2,2.70,68,0,3,13,,68.0,281,49,22,20,6,29,,4,93,12.34,3.86,1.14,33.2%,10.4%
9,Devin Williams,NYM,7,4,3.14,64,0,32,3,,64.0,258,44,25,22,6,26,,3,88,12.41,3.61,1.08,34.2%,10.0%
10,Josh Hader,HOU,7,4,3.13,66,0,31,2,,66.0,263,45,25,23,8,25,,2,94,12.83,3.46,1.06,35.8%,9.6%
11,Pete Fairbanks,MIA,6,3,3.18,62,0,27,4,,62.0,253,51,24,22,5,22,,1,64,9.22,3.18,1.17,25.1%,8.7%
12,David Bednar,NYY,6,4,3.23,65,0,33,2,,65.0,266,51,25,23,7,21,,2,83,11.45,2.94,1.11,31.1%,8.0%
13,Garrett Whitlock,BOS,6,3,3.17,70,0,3,14,,70.0,287,60,27,25,7,18,,3,80,10.27,2.28,1.11,27.8%,6.2%
14,Andres Munoz,SEA,5,2,2.79,64,0,28,3,,64.0,257,44,22,20,5,24,,4,84,11.75,3.38,1.06,32.5%,9.3%
15,Abner Uribe,MIL,3,1,3.08,72,0,19,7,,72.0,296,50,27,25,5,33,,5,87,10.83,4.15,1.16,29.2%,11.2%
16,Will Vest,DET,5,4,3.34,68,0,5,12,,68.0,282,59,27,25,5,21,,2,69,9.18,2.78,1.17,24.6%,7.5%
17,Jose Alvarado,PHI,6,3,3.35,64,0,3,12,,64.0,270,53,25,24,6,27,,1,76,10.63,3.74,1.25,28.0%,9.8%
18,Ryan Helsley,BAL,6,3,3.28,64,0,25,4,,64.0,264,53,26,23,7,22,,1,74,10.45,3.12,1.18,28.2%,8.4%
19,Adrian Morejon,SDP,8,6,3.42,68,0,3,13,,68.0,282,58,28,26,5,23,,1,67,8.90,3.01,1.19,23.9%,8.1%
20,Trevor Megill,MIL,7,3,3.13,66,0,11,9,,66.0,275,55,24,23,7,23,,1,82,11.15,3.13,1.17,29.7%,8.3%
