#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
1,Tarik Skubal,DET,14,7,2.72,30,30,0,0,0,192.1,752,148,63,58,19,39,1,7,233,10.9,1.81,0.97,30.90%,5.10%,18
2,Paul Skenes,PIT,12,8,2.76,30,30,0,0,0,187.1,745,147,62,57,16,46,1,7,225,10.78,2.22,1.03,30.10%,6.20%,18
3,Garrett Crochet,BOS,14,8,3.05,29,29,0,0,1,181.2,727,146,67,62,19,47,2,5,223,11.05,2.31,1.06,30.70%,6.40%,16
4,Logan Webb,SFG,13,10,3.3,30,30,0,0,0,196.2,809,186,78,72,16,45,1,6,186,8.51,2.04,1.17,23.00%,5.50%,17
5,Cristopher Sanchez,PHI,12,8,3.19,30,30,0,0,0,190.1,777,171,73,67,16,46,2,6,185,8.73,2.19,1.14,23.70%,6.00%,17
6,Chris Sale,ATL,11,6,3.18,25,25,0,0,0,155.2,631,128,60,55,17,41,1,9,191,11.06,2.36,1.09,30.30%,6.50%,14
7,Yoshinobu Yamamoto,LAD,12,7,3.25,26,26,0,0,0,160.2,652,131,63,58,16,47,1,5,175,9.78,2.64,1.11,26.80%,7.20%,14
8,Cole Ragans,KCR,10,8,3.43,26,26,0,0,0,152.2,624,121,63,58,16,54,2,5,189,11.14,3.16,1.15,30.30%,8.60%,13
9,Dylan Cease,TOR,11,10,3.71,30,30,0,0,0,175.1,728,146,79,72,21,67,2,5,207,10.64,3.44,1.21,28.50%,9.20%,13
10,Framber Valdez,DET,13,10,3.49,29,29,0,0,0,187,780,167,79,72,16,61,1,8,174,8.38,2.94,1.22,22.30%,7.80%,16
11,Jesus Luzardo,PHI,12,9,3.65,29,29,0,0,0,175.2,720,150,77,71,21,54,1,5,194,9.92,2.75,1.16,26.90%,7.50%,15
12,Hunter Brown,HOU,12,9,3.49,30,30,0,0,0,182.2,753,155,77,71,20,59,2,7,197,9.72,2.93,1.18,26.20%,7.90%,16
13,Max Fried,NYY,14,8,3.32,29,29,0,0,0,180.1,743,158,72,67,17,53,1,7,171,8.53,2.62,1.17,23.00%,7.10%,16
14,Hunter Greene,CIN,10,8,3.66,28,28,0,0,0,167.2,685,134,74,68,25,54,1,10,201,10.79,2.9,1.12,29.30%,7.90%,14
15,Sonny Gray,BOS,12,9,3.81,28,28,0,0,0,169,697,156,78,72,21,44,1,5,179,9.51,2.34,1.18,25.60%,6.30%,13
16,Bryan Woo,SEA,13,8,3.4,30,30,0,0,0,185.1,741,153,76,70,24,38,1,7,187,9.1,1.86,1.03,25.30%,5.20%,16
17,Jacob deGrom,TEX,10,7,3.43,26,26,0,0,0,154.2,617,127,64,59,21,35,1,4,174,10.14,2.03,1.05,28.30%,5.70%,12
18,Logan Gilbert,SEA,10,8,3.43,28,28,0,0,0,165.2,660,136,69,63,22,37,1,6,185,10.07,1.99,1.04,28.10%,5.50%,13
19,Ranger Suarez,BOS,11,9,3.68,27,27,0,0,0,166,694,158,74,68,17,47,1,5,149,8.11,2.56,1.24,21.50%,6.80%,14
20,Kevin Gausman,TOR,12,10,3.91,29,29,0,0,0,181.2,749,165,86,79,24,51,1,4,178,8.81,2.54,1.19,23.80%,6.90%,14
21,Joe Ryan,MIN,11,10,3.82,28,28,0,0,0,168,680,145,77,71,25,38,1,8,185,9.9,2.05,1.09,27.20%,5.60%,13
22,George Kirby,SEA,12,9,3.62,28,28,0,0,0,166,672,151,72,67,20,31,1,7,162,8.8,1.7,1.1,24.10%,4.70%,14
23,Zack Wheeler,PHI,9,6,3.3,21,21,0,0,0,132.2,535,108,53,49,16,36,1,6,153,10.39,2.41,1.08,28.60%,6.60%,13
24,Nathan Eovaldi,TEX,11,8,3.66,25,25,0,0,0,155,631,136,69,63,18,38,1,6,150,8.72,2.18,1.12,23.80%,6.00%,13
25,Chase Burns,CIN,8,8,3.6,29,24,0,0,0,134,548,113,58,54,18,42,1,4,158,10.63,2.82,1.16,28.80%,7.70%,10
26,Freddy Peralta,NYM,12,9,3.77,29,29,0,0,0,166.2,691,137,76,70,22,62,1,8,186,10.03,3.32,1.19,26.90%,8.90%,13
27,Kyle Bradish,BAL,8,7,3.61,24,24,0,0,0,134,554,115,58,54,15,42,1,6,144,9.7,2.85,1.18,26.10%,7.70%,10
28,Drew Rasmussen,TBR,10,8,3.62,29,29,0,0,0,153.2,629,138,67,62,17,39,1,5,140,8.22,2.27,1.15,22.30%,6.20%,10
