#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
1,Tarik Skubal,DET,14,7,2.67,32,32,0,0,,200.0,790,156,65,60,19,40,,7,245,11.00,1.81,0.98,31.0%,5.1%,22
2,Garrett Crochet,BOS,15,8,2.90,32,32,0,0,,197.0,796,162,69,64,20,52,,5,245,11.18,2.36,1.08,30.8%,6.5%,21
3,Paul Skenes,PIT,13,8,2.84,32,32,0,0,,189.0,761,152,65,60,17,49,,6,223,10.62,2.35,1.07,29.3%,6.5%,21
4,Cristopher Sanchez,PHI,12,8,3.21,32,32,0,0,,200.0,820,183,78,71,18,49,,7,193,8.69,2.21,1.16,23.5%,6.0%,20
5,Logan Webb,SFG,14,9,3.19,32,32,0,0,,202.0,836,191,79,72,16,45,,6,191,8.50,2.01,1.17,22.8%,5.4%,20
6,Cole Ragans,KCR,11,8,3.40,29,29,0,0,,163.0,674,132,67,62,17,58,,5,202,11.15,3.20,1.16,29.9%,8.6%,17
7,Chris Sale,ATL,12,6,3.15,28,28,0,0,,165.0,677,138,62,58,18,44,,10,200,10.91,2.41,1.10,29.6%,6.5%,18
8,Max Fried,NYY,14,9,3.32,31,31,0,0,,189.0,779,169,76,70,17,54,,7,176,8.37,2.58,1.18,22.5%,6.9%,19
9,Dylan Cease,TOR,12,9,3.57,32,32,0,0,,183.0,765,152,78,72,21,69,,5,214,10.53,3.39,1.21,27.9%,9.0%,18
10,Hunter Greene,CIN,11,9,3.73,31,31,0,0,,180.0,735,142,80,75,24,58,,13,212,10.62,2.92,1.11,28.8%,7.9%,17
11,Hunter Brown,HOU,13,8,3.35,31,31,0,0,,183.0,759,157,74,68,19,60,,7,197,9.67,2.97,1.19,25.9%,8.0%,19
12,Sonny Gray,BOS,12,10,3.72,31,31,0,0,,178.0,746,169,80,74,21,47,,5,186,9.38,2.39,1.21,24.9%,6.3%,17
13,Jacob deGrom,TEX,11,8,3.50,29,29,0,0,,169.0,679,143,71,66,23,40,,4,188,10.02,2.11,1.08,27.7%,5.8%,17
14,Framber Valdez,DET,13,10,3.41,31,31,0,0,,195.0,813,177,81,74,17,65,,8,180,8.33,2.99,1.24,22.2%,7.9%,19
15,Yoshinobu Yamamoto,LAD,12,7,3.38,26,26,0,0,,155.0,627,129,63,58,17,43,,5,165,9.54,2.52,1.11,26.3%,6.9%,16
16,Bryan Woo,SEA,13,10,3.46,32,32,0,0,,195.0,788,169,81,75,25,43,,9,197,9.09,1.96,1.08,25.0%,5.4%,19
17,Jesus Luzardo,PHI,12,10,3.78,31,31,0,0,,179.0,742,157,81,75,23,56,,5,197,9.94,2.80,1.19,26.6%,7.5%,17
18,Ranger Suarez,BOS,12,9,3.61,29,29,0,0,,169.0,713,166,74,68,17,49,,5,149,7.94,2.60,1.27,20.9%,6.9%,17
19,Zack Wheeler,PHI,10,6,3.31,24,24,0,0,,147.0,598,124,59,54,16,39,,7,160,9.81,2.36,1.11,26.8%,6.5%,15
20,George Kirby,SEA,12,9,3.52,31,31,0,0,,173.0,711,160,74,68,21,32,,7,170,8.83,1.68,1.11,23.9%,4.5%,18
21,Joe Ryan,MIN,11,10,3.79,29,29,0,0,,167.0,685,147,76,70,24,40,,9,183,9.83,2.14,1.12,26.7%,5.8%,16
22,Shane McClanahan,TBR,9,7,3.33,24,24,0,0,,139.0,565,119,56,51,16,39,,3,150,9.73,2.54,1.14,26.5%,6.9%,14
23,Aaron Nola,PHI,11,10,4.12,31,31,0,0,,180.0,752,172,89,82,26,45,,5,177,8.86,2.26,1.21,23.6%,6.0%,16
