Name,Team,GS,G,IP,W,L,QS,SV,HLD,BS,TBF,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%,W%,L%,QS%,SV%,HLD%,BS%,H%,R%,ER%,HR%,IBB%,HBP%
Brandon Pfaadt,ARI,27,33,157.1,10,9,10,0,0,0,653,152,77,71,23,1,6,158,38,9.07,2.15,4.05,1.21,24.19601838,5.819295559,0.303030303,0.272727273,0.303030303,0,0,0,0.232771822,0.117917305,0.108728943,0.035222052,0.001531394,0.009188361
Corbin Burnes,ARI,30,30,185.2,12,9,16,0,0,0,765,165,81,74,20,1,7,183,53,8.89,2.57,3.61,1.17,23.92156863,6.928104575,0.4,0.3,0.533333333,0,0,0,0.215686275,0.105882353,0.096732026,0.026143791,0.00130719,0.009150327
Jordan Montgomery,ARI,16,30,104.1,7,6,7,0,1,0,446,108,55,50,13,1,3,82,32,7.09,2.73,4.35,1.34,18.38565022,7.174887892,0.233333333,0.2,0.233333333,0,0.033333333,0,0.242152466,0.123318386,0.112107623,0.029147982,0.002242152,0.006726457
Merrill Kelly,ARI,26,26,153.2,10,8,11,0,0,0,646,145,77,70,21,1,5,141,49,8.27,2.88,4.12,1.26,21.82662539,7.585139319,0.384615385,0.307692308,0.423076923,0,0,0,0.224458204,0.119195046,0.108359133,0.03250774,0.001547988,0.007739938
Zac Gallen,ARI,29,29,171.2,13,8,13,0,0,0,714,156,79,73,19,1,6,173,52,9.05,2.74,3.82,1.21,24.22969188,7.282913165,0.448275862,0.275862069,0.448275862,0,0,0,0.218487395,0.110644258,0.102240896,0.026610644,0.00140056,0.008403361
Jeffrey Springs,ATH,25,29,137,8,7,10,0,0,0,567,125,63,58,20,1,4,137,39,9.03,2.58,3.83,1.2,24.1622575,6.878306878,0.275862069,0.24137931,0.344827586,0,0,0,0.220458554,0.111111111,0.102292769,0.035273369,0.001763668,0.007054674
Luis Severino,ATH,29,29,168.1,8,11,12,0,0,0,717,163,89,82,25,1,8,148,56,7.89,2.99,4.38,1.3,20.64156206,7.810320781,0.275862069,0.379310345,0.413793103,0,0,0,0.227336123,0.124128312,0.114365411,0.034867503,0.0013947,0.011157601
AJ Smith-Shawver,ATL,9,29,67.2,4,4,3,0,1,0,289,60,35,33,10,1,2,70,29,9.28,3.85,4.33,1.31,24.22145329,10.03460208,0.137931034,0.137931034,0.103448276,0,0.034482759,0,0.207612457,0.121107266,0.114186851,0.034602076,0.003460208,0.006920415
Chris Sale,ATL,26,26,155.2,12,6,13,0,0,0,629,128,59,54,16,1,8,188,40,10.85,2.32,3.14,1.08,29.88871224,6.359300477,0.461538462,0.230769231,0.5,0,0,0,0.203497615,0.093799682,0.085850556,0.025437202,0.001589825,0.012718601
Reynaldo Lopez,ATL,27,30,155.1,10,7,11,0,1,2,644,135,68,62,18,2,5,166,51,9.61,2.98,3.61,1.2,25.77639752,7.919254658,0.333333333,0.233333333,0.366666667,0,0.033333333,0.066666667,0.209627329,0.105590062,0.096273292,0.027950311,0.00310559,0.007763975
Spencer Schwellenbach,ATL,28,28,164,12,8,12,0,0,0,671,150,73,67,19,1,7,160,37,8.8,2.02,3.7,1.14,23.84500745,5.514157973,0.428571429,0.285714286,0.428571429,0,0,0,0.223546945,0.108792846,0.099850969,0.028315946,0.001490313,0.010432191
Spencer Strider,ATL,20,20,114.1,9,5,9,0,0,0,465,89,48,44,13,1,4,153,39,12.02,3.08,3.47,1.13,32.90322581,8.387096774,0.45,0.25,0.45,0,0,0,0.191397849,0.103225806,0.094623656,0.027956989,0.002150538,0.008602151
Charlie Morton,BAL,26,26,147.2,9,9,10,0,0,0,639,138,77,71,20,1,11,148,60,9.01,3.63,4.33,1.34,23.16118936,9.389671362,0.346153846,0.346153846,0.384615385,0,0,0,0.215962441,0.120500782,0.111111111,0.031298905,0.001564945,0.017214397
Dean Kremer,BAL,26,26,147.2,9,8,10,0,0,0,626,141,77,71,22,1,5,130,50,7.93,3.05,4.31,1.3,20.76677316,7.987220447,0.346153846,0.307692308,0.384615385,0,0,0,0.225239617,0.123003195,0.11341853,0.03514377,0.001597444,0.00798722
Grayson Rodriguez,BAL,27,27,158,11,8,12,0,0,0,656,140,71,65,20,1,6,171,51,9.72,2.88,3.72,1.21,26.06707317,7.774390244,0.407407407,0.296296296,0.444444444,0,0,0,0.213414634,0.108231707,0.099085366,0.030487805,0.00152439,0.009146341
Zach Eflin,BAL,29,29,171.1,11,9,13,0,0,0,701,169,80,73,23,1,5,145,28,7.62,1.49,3.86,1.15,20.68473609,3.994293866,0.379310345,0.310344828,0.448275862,0,0,0,0.241084165,0.114122682,0.104136947,0.032810271,0.001426534,0.007132668
Brayan Bello,BOS,29,29,165,12,10,11,0,0,0,706,161,81,75,18,1,8,152,58,8.28,3.14,4.08,1.32,21.52974504,8.21529745,0.413793103,0.344827586,0.379310345,0,0,0,0.228045326,0.114730878,0.106232295,0.025495751,0.001416431,0.011331445
Garrett Crochet,BOS,29,31,157,11,8,12,0,0,1,632,124,61,56,16,2,6,205,45,11.74,2.58,3.21,1.08,32.43670886,7.120253165,0.35483871,0.258064516,0.387096774,0,0,0.032258065,0.196202532,0.096518987,0.088607595,0.025316456,0.003164557,0.009493671
Kutter Crawford,BOS,23,39,150.1,8,10,9,0,1,0,626,138,80,73,25,2,6,145,43,8.7,2.59,4.4,1.21,23.1629393,6.869009585,0.205128205,0.256410256,0.230769231,0,0.025641026,0,0.220447284,0.127795527,0.116613419,0.039936102,0.003194888,0.009584665
Lucas Giolito,BOS,18,27,106.1,6,7,7,0,0,0,453,101,58,53,17,1,4,109,39,9.21,3.28,4.5,1.32,24.06181015,8.609271523,0.222222222,0.259259259,0.259259259,0,0,0,0.222958057,0.12803532,0.116997792,0.037527594,0.002207506,0.008830022
Tanner Houck,BOS,28,33,171.2,10,9,12,0,0,0,724,162,81,74,16,3,11,151,51,7.94,2.67,3.89,1.24,20.85635359,7.044198895,0.303030303,0.272727273,0.363636364,0,0,0,0.223756906,0.111878453,0.102209945,0.022099448,0.004143646,0.01519337
Walker Buehler,BOS,26,32,142,7,8,9,0,0,0,610,144,77,71,20,1,6,121,46,7.66,2.94,4.49,1.34,19.83606557,7.540983607,0.21875,0.25,0.28125,0,0,0,0.236065574,0.126229508,0.116393443,0.032786885,0.001639344,0.009836066
Ben Brown,CHC,4,25,47.1,3,2,2,0,2,0,196,39,20,19,5,0,2,55,18,10.41,3.35,3.58,1.19,28.06122449,9.183673469,0.12,0.08,0.08,0,0.08,0,0.198979592,0.102040816,0.096938776,0.025510204,0,0.010204082
Jameson Taillon,CHC,28,28,166.2,11,10,11,0,0,0,696,166,87,80,25,1,5,133,39,7.16,2.12,4.34,1.23,19.1091954,5.603448276,0.392857143,0.357142857,0.392857143,0,0,0,0.238505747,0.125,0.114942529,0.03591954,0.001436782,0.007183908
Justin Steele,CHC,29,29,168.1,11,8,13,0,0,0,695,152,71,65,17,1,6,164,46,8.76,2.47,3.48,1.18,23.5971223,6.618705036,0.379310345,0.275862069,0.448275862,0,0,0,0.218705036,0.102158273,0.09352518,0.024460432,0.001438849,0.008633094
Matthew Boyd,CHC,19,23,103.1,6,5,6,0,0,0,432,93,49,45,14,2,5,107,33,9.33,2.86,3.94,1.22,24.76851852,7.638888889,0.260869565,0.217391304,0.260869565,0,0,0,0.215277778,0.113425926,0.104166667,0.032407407,0.00462963,0.011574074
