Name,Team,GS,G,IP,W,L,QS,SV,HLD,BS,TBF,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%,W%,L%,QS%,SV%,HLD%,BS%,H%,R%,ER%,HR%,IBB%,HBP%
Brandon Pfaadt,ARI,23,35,137,6,5,13,0,1,0,575,133,64,58,17,0,5,133,31,8.73,2.04,3.83,1.2,23.13043478,5.391304348,0.171428571,0.142857143,0.371428571,0,0.028571429,0,0.231304348,0.111304348,0.100869565,0.029565217,0,0.008695652
Corbin Burnes,ARI,31,31,189,13,9,19,0,0,0,788,170,79,73,19,0,8,189,56,9.02,2.66,3.47,1.2,23.98477157,7.106598985,0.419354839,0.290322581,0.612903226,0,0,0,0.215736041,0.100253807,0.092639594,0.024111675,0,0.010152284
Jordan Montgomery,ARI,16,42,117,3,3,8,0,1,0,500,125,65,60,14,0,5,90,35,6.93,2.7,4.6,1.37,18,7,0.071428571,0.071428571,0.19047619,0,0.023809524,0,0.25,0.13,0.12,0.028,0,0.01
Merrill Kelly,ARI,26,26,152,9,9,13,0,0,0,652,151,80,73,19,0,7,135,52,7.99,3.11,4.35,1.34,20.70552147,7.975460123,0.346153846,0.346153846,0.5,0,0,0,0.231595092,0.122699387,0.11196319,0.029141104,0,0.010736196
Zac Gallen,ARI,29,29,172,12,9,16,0,0,0,730,164,78,72,19,0,7,174,51,9.13,2.67,3.75,1.25,23.83561644,6.98630137,0.413793103,0.310344828,0.551724138,0,0,0,0.224657534,0.106849315,0.098630137,0.026027397,0,0.009589041
Jeffrey Springs,ATH,26,34,154,7,7,14,0,1,0,641,142,74,68,21,0,6,145,43,8.52,2.52,3.97,1.21,22.62090484,6.708268331,0.205882353,0.205882353,0.411764706,0,0.029411765,0,0.221528861,0.115444618,0.106084243,0.03276131,0,0.009360374
Luis Severino,ATH,31,31,182,11,10,17,0,0,0,773,168,88,80,24,0,8,169,61,8.37,3.01,3.99,1.26,21.86287193,7.891332471,0.35483871,0.322580645,0.548387097,0,0,0,0.217335058,0.113842173,0.103492885,0.031047865,0,0.010349288
AJ Smith-Shawver,ATL,8,43,81,2,2,5,0,1,0,346,70,40,37,11,0,4,84,36,9.43,4.04,4.11,1.32,24.27745665,10.40462428,0.046511628,0.046511628,0.11627907,0,0.023255814,0,0.202312139,0.115606936,0.106936416,0.031791908,0,0.011560694
Chris Sale,ATL,31,31,186,13,9,19,0,0,0,750,157,74,68,20,0,8,215,51,10.41,2.48,3.3,1.12,28.66666667,6.8,0.419354839,0.290322581,0.612903226,0,0,0,0.209333333,0.098666667,0.090666667,0.026666667,0,0.010666667
Reynaldo Lopez,ATL,31,31,178,11,10,16,0,0,0,748,163,88,81,23,0,8,181,63,9.14,3.21,4.09,1.28,24.19786096,8.422459893,0.35483871,0.322580645,0.516129032,0,0,0,0.217914439,0.117647059,0.10828877,0.030748663,0,0.010695187
