#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%,real_GS,real_G,real_IP,real_TBF,real_W,real_L,real_QS,real_SV,real_HLD,real_BS,real_H,real_R,real_ER,real_HR,real_IBB,real_HBP,real_SO,real_BB,real_K/9,real_BB/9,real_ERA,real_WHIP,real_K%,real_BB%
1,Paul Skenes,PIT,31,31,187,754,51.61290322580645,19.35483870967742,70.96774193548387,0.0,0.0,,18.83289124668435,7.427055702917771,6.896551724137931,1.8567639257294428,,1.0610079575596816,240,54,11.59,2.59,2.49,1.05,31.83023873,7.161803714,32.0,32.0,187.2,733.0,31.25,31.25,,0.0,0.0,0.0,18.55388813096862,6.139154160982264,5.5934515688949515,1.5006821282401093,0.0,0.8185538881309686,216.0,42.0,10.36,2.01,1.97,0.95,29.5,5.7
2,Tarik Skubal,DET,32,32,201,807,50.0,25.0,68.75,0.0,0.0,,19.702602230483272,8.302354399008674,7.558859975216853,2.3543990086741013,,0.9913258983890955,233,46,10.4,2.06,2.73,1.02,28.87236679,5.700123916,31.0,31.0,195.1,748.0,41.935483870967744,19.35483870967742,,0.0,0.0,0.0,18.850267379679146,7.352941176470589,6.417112299465241,2.406417112299465,0.0,0.6684491978609626,241.0,33.0,11.1,1.52,2.21,0.89,32.2,4.3999999999999995
3,Garrett Crochet,BOS,31,31,169,679,45.16129032258064,25.806451612903224,64.51612903225806,0.0,0.0,,19.734904270986746,8.98379970544919,8.24742268041237,2.503681885125184,,1.0309278350515463,216,50,11.53,2.66,3.0,1.09,31.81148748,7.36377025,32.0,32.0,205.1,814.0,56.25,15.625,,0.0,0.0,0.0,20.27027027027027,7.616707616707617,7.2481572481572485,2.9484029484029484,0.0,0.36855036855036855,255.0,46.0,11.18,2.02,2.59,1.03,31.3,5.7
4,Zack Wheeler,PHI,32,32,204,830,43.75,28.125,62.5,0.0,0.0,,20.481927710843372,9.63855421686747,8.795180722891565,2.891566265060241,,0.9638554216867471,221,53,9.76,2.36,3.24,1.1,26.62650602,6.385542169,24.0,24.0,149.2,585.0,41.66666666666667,20.833333333333336,,0.0,0.0,0.0,18.29059829059829,8.205128205128204,7.6923076923076925,3.2478632478632483,0.0,1.3675213675213675,195.0,33.0,11.73,1.98,2.71,0.94,33.29999999999999,5.59999999999999
5,Logan Webb,SFG,32,32,207,862,43.75,31.25,59.375,0.0,0.0,,23.897911832946637,10.208816705336426,9.396751740139212,1.8561484918793503,,0.9280742459396751,179,46,7.81,1.99,3.51,1.22,20.76566125,5.336426914,34.0,34.0,207.0,856.0,44.11764705882353,32.35294117647059,,0.0,0.0,0.0,24.53271028037383,9.579439252336448,8.644859813084112,1.6355140186915886,0.0,0.7009345794392523,224.0,46.0,9.74,2.0,3.22,1.24,26.200000000000003,5.4
6,Chris Sale,ATL,31,31,186,750,41.935483870967744,29.03225806451613,61.29032258064516,0.0,0.0,,20.933333333333334,9.866666666666667,9.066666666666666,2.666666666666667,,1.0666666666666667,215,51,10.41,2.48,3.3,1.12,28.66666667,6.8,20.0,21.0,125.2,510.0,33.33333333333333,23.809523809523807,,0.0,0.0,0.0,20.0,7.450980392156863,7.0588235294117645,2.156862745098039,0.0,2.156862745098039,165.0,32.0,11.82,2.29,2.58,1.07,32.4,6.3
7,Logan Gilbert,SEA,32,32,204,828,46.875,28.125,65.625,0.0,0.0,,20.28985507246377,9.29951690821256,8.454106280193237,3.0193236714975846,,0.966183574879227,214,45,9.48,2.0,3.11,1.05,25.84541063,5.434782609,25.0,25.0,131.0,535.0,24.0,24.0,,0.0,0.0,0.0,19.439252336448597,9.906542056074766,9.345794392523365,3.7383177570093453,0.0,1.3084112149532712,173.0,31.0,11.89,2.13,3.44,1.03,32.29999999999999,5.79999999999999
8,Framber Valdez,HOU,29,29,186,770,44.827586206896555,27.586206896551722,62.06896551724138,0.0,0.0,,20.909090909090907,9.480519480519481,8.701298701298702,1.948051948051948,,1.0389610389610389,184,59,8.9,2.86,3.24,1.18,23.8961039,7.662337662,31.0,31.0,192.0,802.0,41.935483870967744,35.483870967741936,,0.0,0.0,0.0,21.3216957605985,10.224438902743142,9.72568578553616,1.8703241895261846,0.0,0.8728179551122194,187.0,68.0,8.77,3.19,3.66,1.24,23.3,8.5
9,Jacob deGrom,TEX,26,26,152,600,46.15384615384615,26.923076923076923,65.38461538461539,0.0,0.0,,19.0,9.166666666666666,8.333333333333332,3.166666666666667,,1.0,187,38,11.09,2.26,2.98,1.0,31.16666667,6.333333333,30.0,30.0,172.2,669.0,40.0,26.666666666666668,,0.0,0.0,0.0,18.236173393124066,8.520179372197308,8.520179372197308,3.8863976083707024,0.0,0.4484304932735426,185.0,37.0,9.64,1.93,2.97,0.92,27.699999999999992,5.5
10,Pablo Lopez,MIN,32,32,198,818,40.625,31.25,59.375,0.0,0.0,,21.76039119804401,10.635696821515893,9.7799511002445,3.056234718826406,,0.9779951100244498,206,51,9.36,2.31,3.61,1.15,25.18337408,6.234718826,14.0,14.0,75.2,312.0,35.714285714285715,28.57142857142857,,0.0,0.0,0.0,20.51282051282051,8.974358974358974,7.371794871794872,1.9230769230769231,0.0,1.282051282051282,73.0,20.0,8.68,2.38,2.74,1.11,23.39999999999999,6.4
11,Dylan Cease,SDP,32,32,193,808,43.75,28.125,59.375,0.0,0.0,,19.306930693069308,9.777227722772277,9.034653465346535,2.722772277227723,,1.1138613861386137,227,74,10.59,3.44,3.38,1.19,28.09405941,9.158415842,32.0,32.0,168.0,722.0,25.0,37.5,,0.0,0.0,0.0,21.052631578947366,12.60387811634349,11.772853185595569,2.9085872576177287,0.2770083102493075,0.6925207756232686,215.0,71.0,11.52,3.8,4.55,1.33,29.799999999999997,9.8
12,Tyler Glasnow,LAD,24,24,146,587,45.83333333333333,25.0,66.66666666666666,0.0,0.0,,19.420783645655877,9.028960817717206,8.347529812606473,2.555366269165247,,1.0221465076660987,175,45,10.83,2.75,3.02,1.09,29.81260647,7.666098807,18.0,18.0,90.1,366.0,22.22222222222222,16.666666666666664,,0.0,0.0,0.0,15.300546448087433,9.01639344262295,8.743169398907105,2.73224043715847,0.0,0.819672131147541,106.0,43.0,10.56,4.28,3.19,1.1,28.999999999999996,11.69999999999999
13,Cole Ragans,KCR,31,31,182,759,41.935483870967744,29.03225806451613,61.29032258064516,0.0,0.0,,20.02635046113307,10.013175230566535,9.090909090909092,2.503293807641634,,1.0540184453227932,203,67,10.03,3.33,3.43,1.21,26.74571805,8.82740448,13.0,13.0,61.2,257.0,23.076923076923077,23.076923076923077,,0.0,0.0,0.0,20.622568093385212,12.840466926070038,12.45136186770428,2.7237354085603114,0.0,0.7782101167315175,98.0,20.0,14.3,2.92,4.67,1.18,38.1,7.8
15,George Kirby,SEA,31,31,179,730,41.935483870967744,29.03225806451613,61.29032258064516,0.0,0.0,,21.78082191780822,9.58904109589041,8.767123287671232,3.0136986301369864,,0.9589041095890412,173,28,8.72,1.41,3.25,1.05,23.69863014,3.835616438,23.0,23.0,126.0,524.0,43.47826086956522,34.78260869565217,,0.0,0.0,0.0,23.091603053435115,11.450381679389313,11.259541984732824,2.8625954198473282,0.0,1.3358778625954197,137.0,29.0,9.79,2.07,4.21,1.19,26.1,5.5
16,Aaron Nola,PHI,31,31,187,775,38.70967741935484,29.03225806451613,58.06451612903226,0.0,0.0,,22.322580645161292,10.838709677419354,9.935483870967742,3.096774193548387,,1.032258064516129,187,45,9.03,2.16,3.71,1.16,24.12903226,5.806451613,17.0,17.0,94.1,404.0,29.411764705882355,58.82352941176471,,0.0,0.0,0.0,24.504950495049506,16.08910891089109,15.594059405940595,4.455445544554455,0.0,0.9900990099009901,97.0,28.0,9.25,2.67,6.01,1.35,24.0,6.9
17,Blake Snell,LAD,29,29,171,716,44.827586206896555,27.586206896551722,62.06896551724138,0.0,0.0,,18.01675977653631,9.497206703910614,8.659217877094973,2.653631284916201,,1.1173184357541899,221,76,11.64,4.02,3.29,1.2,30.86592179,10.61452514,11.0,11.0,61.1,254.0,45.45454545454545,36.36363636363637,,0.0,0.0,0.0,20.078740157480315,8.267716535433072,6.299212598425196,1.1811023622047243,0.39370078740157477,0.0,72.0,26.0,10.57,3.82,2.35,1.26,28.299999999999997,10.2
18,Sonny Gray,STL,31,31,184,759,41.935483870967744,29.03225806451613,58.06451612903226,0.0,0.0,,22.002635046113305,10.540184453227932,9.617918313570488,2.635046113306983,,1.0540184453227932,188,53,9.2,2.59,3.6,1.19,24.76943347,6.9828722,32.0,32.0,180.2,753.0,43.75,25.0,,0.0,0.0,0.0,24.568393094289508,12.350597609561753,11.42098273572377,3.3200531208499333,0.0,0.398406374501992,201.0,38.0,10.01,1.89,4.28,1.23,26.700000000000003,5.0
19,Corbin Burnes,ARI,31,31,189,788,41.935483870967744,29.03225806451613,61.29032258064516,0.0,0.0,,21.573604060913706,10.025380710659897,9.263959390862944,2.4111675126903553,,1.015228426395939,189,56,9.02,2.66,3.47,1.2,23.98477157,7.106598985,11.0,11.0,64.1,265.0,27.27272727272727,18.181818181818183,,0.0,0.0,0.0,18.49056603773585,8.679245283018867,7.169811320754717,2.6415094339622645,0.37735849056603776,1.1320754716981132,63.0,26.0,8.81,3.64,2.66,1.17,23.799999999999997,9.8
20,Max Fried,NYY,29,29,174,725,41.37931034482759,31.03448275862069,58.620689655172406,0.0,0.0,,21.103448275862068,9.931034482758621,9.10344827586207,2.344827586206897,,0.9655172413793104,163,52,8.43,2.68,3.41,1.18,22.48275862,7.172413793,32.0,32.0,195.1,801.0,59.375,15.625,,0.0,0.0,0.0,20.474406991260924,9.113607990012484,7.740324594257178,1.7478152309612984,0.0,1.2484394506866416,189.0,51.0,8.71,2.35,2.86,1.1,23.599999999999998,6.4
21,Yoshinobu Yamamoto,LAD,28,28,156,644,42.857142857142854,28.57142857142857,60.71428571428571,0.0,0.0,,20.96273291925466,9.937888198757763,9.161490683229815,2.639751552795031,,1.0869565217391304,170,46,9.77,2.66,3.38,1.16,26.39751553,7.142857143,30.0,30.0,173.2,684.0,40.0,26.666666666666668,,0.0,0.0,0.0,16.52046783625731,7.748538011695906,7.017543859649122,2.046783625730994,0.0,0.43859649122807015,201.0,59.0,10.42,3.06,2.49,0.99,29.4,8.6
22,Cristopher Sanchez,PHI,29,29,171,711,37.93103448275862,31.03448275862069,55.172413793103445,0.0,0.0,,23.347398030942333,10.970464135021098,10.126582278481013,2.250351617440225,,0.9845288326300985,146,47,7.7,2.48,3.78,1.25,20.53445851,6.610407876,32.0,32.0,202.0,807.0,40.625,15.625,,0.0,0.0,0.0,21.189591078066915,7.187112763320942,6.939281288723668,1.486988847583643,0.0,0.7434944237918215,212.0,44.0,9.45,1.96,2.5,1.06,26.3,5.5
