#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%,real_GS,real_G,real_IP,real_TBF,real_W,real_L,real_QS,real_SV,real_HLD,real_BS,real_H,real_R,real_ER,real_HR,real_IBB,real_HBP,real_SO,real_BB,real_K/9,real_BB/9,real_ERA,real_WHIP,real_K%,real_BB%
1,Paul Skenes,PIT,31,31,188,760,41.935483870967744,29.03225806451613,67.74193548387096,0,0,,19.342105263157894,8.552631578947368,7.7631578947368425,2.1052631578947367,0,1.0526315789473684,242,55,11.57,2.63,2.8,1.08,31.842105263157894,7.236842105263158,32,32,187.2,733,31.25,31.25,,0,0,0,18.55388813096862,6.139154160982264,5.5934515688949515,1.5006821282401093,0,0.8185538881309686,216,42,10.36,2.01,1.97,0.95,29.46793997,5.729877217
2,Jacob deGrom,TEX,26,26,152,602,42.30769230769231,26.923076923076923,65.38461538461539,0,0,,19.269102990033225,8.637873754152823,7.973421926910299,2.823920265780731,0,0.8305647840531563,206,30,12.19,1.78,2.86,0.96,34.21926910299003,4.983388704318937,30,30,172.2,669,40,26.666666666666668,,0,0,0,18.236173393124066,8.520179372197308,8.520179372197308,3.8863976083707024,0,0.4484304932735426,185,37,9.64,1.93,2.97,0.92,27.65321375,5.53064275
3,Tarik Skubal,DET,32,32,196.1,787,40.625,28.125,68.75,0,0,,20.330368487928844,8.894536213,8.132147395171538,2.5412960609911055,0,1.0165184243964422,229,45,10.49,2.06,2.92,1.05,29.09783989834816,5.717916137229987,31,31,195.1,748,41.935483870967744,19.35483870967742,,0,0,0,18.850267379679146,7.352941176470589,6.417112299465241,2.406417112299465,0,0.6684491978609626,241,33,11.1,1.52,2.21,0.89,32.21925134,4.411764706
4,Garrett Crochet,BOS,31,31,170,684,38.70967741935484,25.806451612903224,54.83870967741935,0,0,,19.444444444444446,9.210526315789473,8.333333333333332,2.4853801169590644,0,1.023391812865497,221,52,11.68,2.73,3.04,1.09,32.30994152046784,7.602339181286549,32,32,205.1,814,56.25,15.625,,0,0,0,20.27027027027027,7.616707616707617,7.2481572481572485,2.9484029484029484,0,0.36855036855036855,255,46,11.18,2.02,2.59,1.03,31.32678133,5.651105651
5,Zack Wheeler,PHI,32,32,198.2,810,40.625,28.125,65.625,0,0,,21.11111111111111,9.876543209876543,9.012345679012345,2.8395061728395063,0.12345679012345678,1.1111111111111112,212,51,9.63,2.31,3.32,1.12,26.172839506172842,6.296296296296296,24,24,149.2,585,41.66666666666667,20.833333333333336,,0,0,0,18.29059829059829,8.205128205128204,7.6923076923076925,3.2478632478632483,0,1.3675213675213675,195,33,11.73,1.98,2.71,0.94,33.33333333,5.641025641
6,Chris Sale,ATL,31,31,186.2,755,45.16129032258064,25.806451612903224,64.51612903225806,0,0,,20.264900662251655,9.139072848,8.476821192,2.5165562913907285,0.13245033112582782,1.1920529801324504,230,47,11.1,2.27,3.07,1.07,30.46357616,6.225165562913907,20,21,125.2,510,33.33333333333333,23.809523809523807,,0,0,0,20,7.450980392156863,7.0588235294117645,2.156862745098039,0,2.156862745098039,165,32,11.82,2.29,2.58,1.07,32.35294118,6.274509804
7,Tyler Glasnow,LAD,24,24,143.2,580,45.83333333333333,25,62.5,0,0,,20.17241379310345,9.655172413793103,8.793103448275861,2.7586206896551726,0,0.6896551724137931,178,41,11.17,2.55,3.22,1.1,30.689655172413794,7.068965517,18,18,90.1,366,22.22222222222222,16.666666666666664,,0,0,0,15.300546448087433,9.016393443,8.743169398907105,2.732240437,0,0.819672131,106,43,10.56,4.28,3.19,1.1,28.96174863,11.74863388
8,Sonny Gray,STL,31,31,184.2,764,38.70967741935484,32.25806451612903,61.29032258064516,0,0,,21.465968586387437,9.947643979057592,9.162303664921465,2.6178010471204187,0,0.9162303664921465,197,51,9.61,2.5,3.4,1.17,25.785340314136125,6.675392670157068,32,32,180.2,753,43.75,25,,0,0,0,24.568393094289508,12.350597609561753,11.42098273572377,3.3200531208499333,0,0.398406375,201,38,10.01,1.89,4.28,1.23,26.69322709,5.046480744
9,Cole Ragans,KCR,31,31,182.2,764,38.70967741935484,32.25806451612903,58.06451612903226,0,0,,20.418848167539267,10.078534031413612,9.293193717277488,2.486910994764398,0.13089005235602094,0.7853403141361256,207,69,10.22,3.39,3.49,1.23,27.094240837696336,9.031413612565444,13,13,61.2,257,23.076923076923077,23.076923076923077,,0,0,0,20.622568093385212,12.840466926070038,12.45136186770428,2.7237354085603114,0,0.7782101167315175,98,20,14.3,2.92,4.67,1.18,38.13229572,7.782101167
10,Dylan Cease,SDP,32,32,189,787,40.625,31.25,56.25,0,0,,19.69504447268107,10.038119440914867,9.275730622617536,2.7954256670902162,0.12706480304955528,0.7623888182973316,224,70,10.68,3.36,3.49,1.19,28.46251588310038,8.894536213,32,32,168,722,25,37.5,,0,0,0,21.052631578947366,12.60387811634349,11.772853185595569,2.9085872576177287,0.2770083102493075,0.6925207756232686,215,71,11.52,3.8,4.55,1.33,29.77839335,9.833795014
