#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
1,Tarik Skubal,DET,14,9,2.80,32,32,0,0,,199.2,797,160,68,62,20,44,0,7,243,10.94,1.96,1.02,30.5%,5.5%,23
2,Paul Skenes,PIT,13,9,2.92,32,32,0,0,,194.0,786,158,69,63,18,52,1,7,237,10.99,2.40,1.08,30.2%,6.6%,21
3,Garrett Crochet,BOS,14,9,3.02,32,32,0,0,,193.0,774,158,71,65,19,50,0,6,239,11.14,2.33,1.08,30.8%,6.4%,21
4,Cristopher Sanchez,PHI,14,9,3.15,32,32,0,0,,198.0,812,183,77,69,18,51,0,7,191,8.70,2.30,1.18,23.6%,6.2%,21
5,Chris Sale,ATL,12,8,3.20,28,28,0,0,,168.2,686,140,65,60,18,44,1,9,206,10.98,2.37,1.09,30.0%,6.5%,18
6,Logan Webb,SFG,13,10,3.32,32,32,0,0,,199.1,831,194,82,73,17,47,1,6,187,8.46,2.13,1.21,22.6%,5.7%,21
7,Cole Ragans,KCR,12,9,3.31,29,29,0,0,,172.0,711,140,69,63,19,62,1,6,211,11.02,3.26,1.18,29.6%,8.8%,17
8,Jacob deGrom,TEX,11,9,3.52,29,29,0,0,,174.2,716,152,74,68,24,40,0,5,203,10.44,2.05,1.10,28.3%,5.6%,17
9,Dylan Cease,TOR,12,10,3.54,32,32,0,0,,185.0,776,155,79,73,22,68,1,6,217,10.57,3.29,1.21,28.0%,8.7%,18
10,Sonny Gray,BOS,12,10,3.69,31,31,0,0,,181.1,757,171,81,74,21,48,1,6,190,9.41,2.38,1.21,25.0%,6.3%,17
11,Framber Valdez,DET,12,10,3.44,31,31,0,0,,190.1,796,180,81,73,16,62,0,8,176,8.33,2.93,1.27,22.1%,7.8%,19
12,Max Fried,NYY,13,9,3.28,31,31,0,0,,189.1,789,176,77,69,19,54,1,7,180,8.53,2.58,1.21,22.8%,6.9%,20
13,Hunter Brown,HOU,12,10,3.63,31,31,0,0,,184.1,770,165,81,74,21,61,1,7,200,9.78,2.98,1.23,26.0%,7.9%,18
14,Hunter Greene,CIN,11,11,3.91,31,31,0,0,,183.2,768,156,85,80,28,62,0,10,220,10.79,3.01,1.18,28.7%,8.0%,17
15,Jesus Luzardo,PHI,12,10,3.57,31,31,0,0,,181.0,752,159,78,72,23,57,1,6,198,9.83,2.86,1.19,26.3%,7.6%,17
16,Zack Wheeler,PHI,10,7,3.20,24,24,0,0,,145.0,589,121,56,52,17,37,0,6,167,10.33,2.27,1.09,28.3%,6.2%,15
17,Yoshinobu Yamamoto,LAD,11,7,3.45,26,26,0,0,,154.1,640,139,65,59,17,47,0,5,163,9.47,2.75,1.20,25.4%,7.4%,15
18,Nathan Eovaldi,TEX,11,9,3.65,29,29,0,0,,174.2,724,165,77,71,21,45,1,7,172,8.84,2.30,1.20,23.7%,6.2%,17
19,Joe Ryan,MIN,11,10,3.81,29,29,0,0,,172.2,713,155,78,73,25,42,0,8,189,9.86,2.18,1.14,26.5%,5.9%,16
20,Bryan Woo,SEA,12,10,3.59,32,32,0,0,,195.0,801,176,84,78,26,44,1,8,196,9.02,2.04,1.13,24.4%,5.5%,19
21,Ranger Suarez,BOS,11,10,3.74,29,29,0,0,,171.2,723,170,78,71,18,49,1,6,153,8.04,2.59,1.28,21.2%,6.8%,16
22,Drew Rasmussen,TBR,11,10,3.72,31,31,0,0,,171.0,713,164,77,71,19,45,1,6,161,8.46,2.37,1.22,22.5%,6.3%,15
23,Shane McClanahan,TBR,9,8,3.35,24,24,0,0,,142.1,584,123,58,53,16,42,0,4,158,9.99,2.65,1.16,27.0%,7.2%,14
24,Logan Gilbert,SEA,11,9,3.40,29,29,0,0,,166.1,678,144,68,63,21,39,1,6,182,9.83,2.10,1.10,26.8%,5.7%,16
25,George Kirby,SEA,12,10,3.51,31,31,0,0,,178.1,733,166,76,69,22,34,0,7,174,8.78,1.71,1.12,23.7%,4.6%,17
26,Jose Soriano,LAA,11,11,3.67,31,31,0,0,,177.1,759,169,80,72,15,75,1,9,165,8.36,3.83,1.38,21.7%,9.9%,16
27,Brandon Woodruff,MIL,10,9,3.85,28,28,0,0,,163.2,678,147,75,70,24,45,0,7,172,9.46,2.46,1.17,25.4%,6.6%,15
28,Aaron Nola,PHI,11,10,3.98,31,31,0,0,,180.2,758,174,86,80,26,47,1,6,175,8.71,2.33,1.22,23.1%,6.2%,16
29,Kevin Gausman,TOR,11,10,3.98,31,31,0,0,,185.1,783,176,88,82,25,55,1,4,181,8.80,2.65,1.24,23.2%,7.0%,17
30,Michael King,SDP,10,10,3.80,29,29,0,0,,166.2,703,150,76,70,22,58,1,7,173,9.35,3.12,1.25,24.6%,8.2%,15
31,Tyler Glasnow,LAD,10,7,3.60,24,24,0,0,,138.2,574,117,60,55,16,51,0,4,161,10.49,3.31,1.21,28.1%,8.9%,13
32,Kyle Bradish,BAL,10,8,3.71,26,26,0,0,,145.0,609,134,65,60,17,45,0,6,153,9.50,2.82,1.24,25.1%,7.5%,13
33,Blake Snell,LAD,10,7,3.54,24,24,0,0,,141.2,596,116,61,56,16,62,1,4,174,11.03,3.94,1.25,29.1%,10.4%,14
34,Freddy Peralta,NYM,11,9,3.80,29,29,0,0,,168.1,710,144,76,71,22,62,0,8,185,9.90,3.33,1.23,26.1%,8.8%,15
35,MacKenzie Gore,TEX,10,9,3.82,29,29,0,0,,161.1,682,142,74,68,21,61,0,6,182,10.17,3.42,1.26,26.7%,9.0%,14
36,Spencer Strider,ATL,11,9,3.83,28,28,0,0,,161.0,674,139,73,68,21,58,1,7,187,10.49,3.23,1.23,27.8%,8.6%,15
37,Nick Pivetta,SDP,10,10,3.97,29,29,0,0,,174.0,727,155,82,77,27,54,1,5,192,9.91,2.79,1.20,26.4%,7.4%,16
38,Eury Perez,MIA,9,10,4.00,28,28,0,0,,154.0,648,135,73,68,22,54,0,5,171,10.02,3.14,1.22,26.5%,8.3%,13
39,Jack Flaherty,DET,10,10,3.90,29,29,0,0,,163.0,697,149,76,71,21,57,1,7,177,9.75,3.16,1.26,25.4%,8.2%,14
40,Yusei Kikuchi,LAA,10,11,4.10,31,31,0,0,,177.2,748,166,87,81,26,63,1,5,182,9.21,3.19,1.29,24.3%,8.4%,15
41,Shohei Ohtani,LAD,9,6,3.46,23,23,0,0,,117.0,480,98,49,45,15,36,0,5,136,10.49,2.79,1.15,28.4%,7.6%,10
42,Ryan Pepiot,TBR,10,11,4.02,31,31,0,0,,174.2,740,157,84,78,25,63,0,7,184,9.48,3.25,1.26,24.9%,8.5%,15
