#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%,real_GS,real_G,real_IP,real_TBF,real_W,real_L,real_QS,real_SV,real_HLD,real_BS,real_H,real_R,real_ER,real_HR,real_IBB,real_HBP,real_SO,real_BB,real_K/9,real_BB/9,real_ERA,real_WHIP,real_K%,real_BB%
1,Paul Skenes,PIT,29,29,176,707,44.827586206896555,27.586206896551722,44.827586206896555,0,0,,19.094766619519092,8.345120226308344,7.779349363507778,1.8387553041018387,0,0.9900990099009901,216,51,11.04,2.6,2.82,1.05,30.55162659123055,7.213578500707214,32,32,187.2,733,31.25,31.25,,0,0,0,18.55388813096862,6.139154160982264,5.5934515688949515,1.5006821282401093,0,0.8185538881309686,216,42,10.36,2.01,1.97,0.95,29.46793997,5.729877217
2,Tarik Skubal,DET,30,30,183.2,731,43.333333333333336,26.666666666666668,46.666666666666664,0,0,,19.562243502051984,8.755129958960328,8.071135430916552,2.462380300957592,0,0.957592339,215,41,10.55,2.03,2.91,1,29.411764705882355,5.60875513,31,31,195.1,748,41.935483870967744,19.35483870967742,,0,0,0,18.850267379679146,7.352941176470589,6.417112299465241,2.406417112299465,0,0.6684491978609626,241,33,11.1,1.52,2.21,0.89,32.21925134,4.411764706
3,Logan Webb,SFG,31,31,196.2,808,41.935483870967744,29.03225806451613,51.61290322580645,0,0,,23.51485148514851,10.14851485148515,9.405940594059405,1.7326732673267329,0.12376237623762376,0.8663366336633664,161,40,7.35,1.84,3.5,1.17,19.925742574257427,4.9504950495049505,34,34,207,856,44.11764705882353,32.35294117647059,,0,0,0,24.53271028037383,9.579439252336448,8.644859813084112,1.6355140186915886,0,0.7009345794392523,224,46,9.74,2,3.22,1.24,26.1682243,5.373831776
4,Zack Wheeler,PHI,30,30,191.2,782,46.666666666666664,30,53.333333333333336,0,0,,20.460358056265985,9.974424552429667,9.335038363171355,2.6854219948849107,0,1.0230179028132993,201,52,9.46,2.44,3.42,1.11,25.703324808184142,6.649616368286446,24,24,149.2,585,41.66666666666667,20.833333333333336,,0,0,0,18.29059829059829,8.205128205128204,7.6923076923076925,3.2478632478632483,0,1.3675213675213675,195,33,11.73,1.98,2.71,0.94,33.33333333,5.641025641
5,Garrett Crochet,BOS,29,31,157,642,38.70967741935484,29.03225806451613,29.03225806451613,0,0,,19.158878504672895,9.501557632398754,8.878504672897195,2.647975078,0.1557632398753894,0.9345794392523363,212,50,12.14,2.88,3.25,1.11,33.021806853582554,7.788161994,32,32,205.1,814,56.25,15.625,,0,0,0,20.27027027027027,7.616707616707617,7.2481572481572485,2.9484029484029484,0,0.36855036855036855,255,46,11.18,2.02,2.59,1.03,31.32678133,5.651105651
6,Logan Gilbert,SEA,31,31,194.2,785,41.935483870967744,32.25806451612903,51.61290322580645,0,0,,21.273885350318473,10.445859872611466,9.681528662420384,3.1847133757961785,0.12738853503184713,0.7643312101910829,204,40,9.42,1.86,3.53,1.06,25.987261146496817,5.095541401273886,25,25,131,535,24,24,,0,0,0,19.439252336448597,9.906542056074766,9.345794392523365,3.7383177570093453,0,1.3084112149532712,173,31,11.89,2.13,3.44,1.03,32.3364486,5.794392523
7,George Kirby,SEA,30,30,180.2,724,40,30,46.666666666666664,0,0,,22.099447513812155,10.220994475138122,9.530386740331492,2.9005524861878453,0,0.8287292817679558,164,27,8.17,1.34,3.44,1.03,22.65193370165746,3.7292817679558015,23,23,126,524,43.47826086956522,34.78260869565217,,0,0,0,23.091603053435115,11.450381679389313,11.259541984732824,2.8625954198473282,0,1.3358778625954197,137,29,9.79,2.07,4.21,1.19,26.14503817,5.534351145
8,Chris Sale,ATL,26,26,155.2,639,46.15384615384615,26.923076923076923,46.15384615384615,0,0,,20.344287949921753,9.702660406885759,8.920187793,2.503912363067293,0,1.4084507042253522,194,43,11.21,2.51,3.32,1.11,30.359937402190923,6.729264475743349,20,21,125.2,510,33.33333333333333,23.809523809523807,,0,0,0,20,7.450980392156863,7.0588235294117645,2.156862745098039,0,2.156862745098039,165,32,11.82,2.29,2.58,1.07,32.35294118,6.274509804
9,Cole Ragans,KCR,30,30,177.2,739,43.333333333333336,33.33333333333333,46.666666666666664,0,0,,19.485791610284167,10.013531799729364,9.336941813261165,2.435723951285521,0,0.8119079837618403,208,68,10.55,3.42,3.5,1.19,28.146143437077132,9.201623815967523,13,13,61.2,257,23.076923076923077,23.076923076923077,,0,0,0,20.622568093385212,12.840466926070038,12.45136186770428,2.7237354085603114,0,0.7782101167315175,98,20,14.3,2.92,4.67,1.18,38.13229572,7.782101167
10,Justin Steele,CHC,29,29,168.1,689,41.37931034482759,31.03448275862069,41.37931034482759,0,0,,21.77068214804064,10.014513788098693,9.143686502177069,2.3222060957910013,0,0.8708272859216255,157,42,8.4,2.22,3.39,1.14,22.786647314949203,6.095791001451379,4,4,22.2,92,75,25,,0,0,0,22.82608695652174,13.043478260869565,13.043478260869565,5.434782608695652,0,1.0869565217391304,21,5,8.34,1.99,4.76,1.15,22.82608696,5.434782609
11,Dylan Cease,SDP,31,31,183.1,761,38.70967741935484,32.25806451612903,45.16129032258064,0,0,,19.053876478318003,10.38107752956636,9.724047306176084,2.890932982917214,0.1314060446780552,0.9198423127463863,219,70,10.78,3.43,3.62,1.17,28.777923784494085,9.198423127463863,32,32,168,722,25,37.5,,0,0,0,21.052631578947366,12.60387811634349,11.772853185595569,2.9085872576177287,0.2770083102493075,0.6925207756232686,215,71,11.52,3.8,4.55,1.33,29.77839335,9.833795014
12,Pablo Lopez,MIN,31,31,186.2,774,38.70967741935484,32.25806451612903,48.38709677419355,0,0,,22.22222222222222,10.981912144702841,10.20671834625323,2.9715762273901807,0,1.033591731,195,47,9.38,2.26,3.82,1.17,25.19379845,6.072351421188631,14,14,75.2,312,35.714285714285715,28.57142857142857,,0,0,0,20.51282051282051,8.974358974358974,7.371794871794872,1.9230769230769231,0,1.282051282051282,73,20,8.68,2.38,2.74,1.11,23.3974359,6.41025641
13,Yoshinobu Yamamoto,LAD,26,26,152,626,42.30769230769231,26.923076923076923,42.30769230769231,0,0,,21.72523961661342,10.223642172523961,9.584664536741213,2.3961661341853033,0,0.7987220447284344,157,39,9.29,2.33,3.54,1.16,25.079872204472842,6.230031948881789,30,30,173.2,684,40,26.666666666666668,,0,0,0,16.52046783625731,7.748538011695906,7.017543859649122,2.046783625730994,0,0.43859649122807015,201,59,10.42,3.06,2.49,0.99,29.38596491,8.625730994
14,Sonny Gray,STL,28,28,167.2,696,39.285714285714285,32.142857142857146,46.42857142857143,0,0,,21.120689655172413,10.775862068965516,10.057471264367816,2.7298850574712645,0,1.0057471264367817,180,51,9.66,2.74,3.75,1.18,25.862068965517242,7.327586206896551,32,32,180.2,753,43.75,25,,0,0,0,24.568393094289508,12.350597609561753,11.42098273572377,3.3200531208499333,0,0.398406375,201,38,10.01,1.89,4.28,1.23,26.69322709,5.046480744
15,Joe Ryan,MIN,28,28,163.2,665,35.714285714285715,32.142857142857146,42.857142857142854,0,0,,20.75187969924812,10.977443609022556,10.225563909774436,3.7593984962406015,0,0.9022556390977444,181,36,9.94,1.98,3.73,1.06,27.21804511278195,5.413533834586466,30,31,171,689,41.935483870967744,32.25806451612903,,0,0,0,20.029027576197386,10.014513788098693,9.433962264150944,3.7735849056603774,0,1.741654571843251,194,39,10.21,2.05,3.42,1.04,28.15674891,5.660377358
16,Spencer Schwellenbach,ATL,28,28,164,676,42.857142857142854,28.57142857142857,42.857142857142854,0,0,,22.337278106508876,10.650887573964498,9.911242603550296,2.6627218934911245,0,0.8875739644970414,159,39,8.74,2.13,3.68,1.15,23.52071006,5.769230769230769,17,17,110.2,434,41.17647058823529,23.52941176470588,,0,0,0,20.506912442396313,10.138248847926267,8.755760368663594,2.995391705069124,0.2304147465437788,0.4608294930875576,108,18,8.78,1.46,3.09,0.97,24.88479263,4.147465438
17,Michael King,SDP,29,30,170,709,40,33.33333333333333,40,0,0,,20.59238363892807,10.578279266572638,9.732016925246826,2.6798307475317347,0.14104372355430184,1.1283497884344147,185,56,9.78,2.98,3.67,1.19,26.093088857545837,7.898448519040903,15,15,73.1,308,33.33333333333333,20,,0,0,0,20.12987012987013,10.064935064935066,9.090909090909092,3.896103896103896,0,1.2987012987012987,76,26,9.33,3.19,3.44,1.2,24.67532468,8.441558442
18,Tanner Bibee,CLE,29,29,170.2,706,37.93103448275862,34.48275862068966,44.827586206896555,0,0,,20.96317280453258,10.906515580736544,10.198300283286118,3.1161473087818696,0,0.9915014164305949,175,49,9.2,2.58,3.79,1.15,24.78753541076487,6.9405099150141645,31,31,182.1,762,38.70967741935484,35.483870967741936,,0,0,0,22.30971128608924,12.204724409448819,11.286089238845145,3.543307086614173,0.13123359580052493,1.3123359580052494,162,54,8,2.67,4.24,1.23,21.25984252,7.086614173
19,Framber Valdez,HOU,29,29,186,774,44.827586206896555,31.03448275862069,51.724137931034484,0,0,,21.44702842377261,10.20671834625323,9.431524547803617,2.1963824289405682,0,1.1627906976744187,176,59,8.49,2.87,3.53,1.21,22.739018087855296,7.622739018087856,31,31,192,802,41.935483870967744,35.483870967741936,,0,0,0,21.32169576,10.224438902743142,9.725685786,1.8703241895261846,0,0.8728179551122194,187,68,8.77,3.19,3.66,1.24,23.31670823,8.478802993
20,Max Fried,NYY,28,28,167.1,690,42.857142857142854,28.57142857142857,46.42857142857143,0,0,,20.869565217391305,9.565217391304348,8.985507246376812,2.318840579710145,0,0.8695652173913043,159,53,8.56,2.82,3.33,1.17,23.043478260869566,7.681159420289855,32,32,195.1,801,59.375,15.625,,0,0,0,20.474406991260924,9.113607990012484,7.740324594257178,1.7478152309612984,0,1.2484394506866416,189,51,8.71,2.35,2.86,1.1,23.59550562,6.367041199
21,Blake Snell,LAD,28,28,158,663,42.857142857142854,28.57142857142857,39.285714285714285,0,0,,18.552036199095024,10.708898944193061,9.954751131,2.7149321266968327,0,0.60331825,208,72,11.85,4.08,3.76,1.23,31.372549019607842,10.85972850678733,11,11,61.1,254,45.45454545454545,36.36363636363637,,0,0,0,20.078740157480315,8.267716535433072,6.299212598425196,1.1811023622047243,0.39370078740157477,0,72,26,10.57,3.82,2.35,1.26,28.34645669,10.23622047
22,Corbin Burnes,ARI,30,30,185.2,777,40,33.33333333333333,50,0,0,,21.62162162162162,11.196911196911197,10.553410553410554,2.7027027027027026,0,0.9009009009009009,175,58,8.46,2.79,3.95,1.22,22.52252252252252,7.4646074646074645,11,11,64.1,265,27.27272727272727,18.181818181818183,,0,0,0,18.49056603773585,8.679245283018867,7.169811320754717,2.6415094339622645,0.37735849056603776,1.1320754716981132,63,26,8.81,3.64,2.66,1.17,23.77358491,9.811320755
