#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
1,Paul Skenes,PIT,14,8,2.81,30,30,0,0,,187.1,747,144,63,59,15,46,0,7,220,10.54,2.22,1.02,29.4%,6.2%,15
2,Tarik Skubal,DET,15,8,2.81,30,30,0,0,,192.1,757,145,64,60,20,40,1,6,232,10.87,1.85,0.96,30.7%,5.2%,16
3,Garrett Crochet,BOS,13,8,3.15,29,29,0,0,,181.2,730,146,68,64,20,45,1,5,220,10.91,2.22,1.05,30.2%,6.1%,14
4,Logan Webb,SFG,14,9,3.37,30,30,0,0,,196.2,809,184,79,74,16,47,1,6,188,8.60,2.13,1.17,23.2%,5.8%,16
5,Cristopher Sanchez,PHI,14,8,3.29,30,30,0,0,,190.1,778,171,75,70,16,47,0,6,186,8.78,2.23,1.15,23.9%,6.1%,16
6,Bryan Woo,SEA,14,8,3.30,30,30,0,0,,185.1,738,151,73,68,24,35,0,7,188,9.13,1.70,1.01,25.5%,4.7%,15
7,Logan Gilbert,SEA,12,8,3.41,28,28,0,0,,165.2,665,134,67,63,22,38,1,5,194,10.56,2.07,1.04,29.2%,5.7%,12
8,Chris Sale,ATL,11,8,3.64,25,25,0,0,,155.2,643,133,67,63,18,44,0,8,192,11.08,2.54,1.13,29.8%,6.8%,12
9,Yoshinobu Yamamoto,LAD,13,6,3.26,26,26,0,0,,160.2,656,132,62,58,15,49,0,5,175,9.81,2.74,1.13,26.7%,7.5%,12
10,Hunter Brown,HOU,12,9,3.57,30,30,0,0,,182.2,755,153,77,72,20,62,1,7,198,9.74,3.05,1.18,26.2%,8.2%,14
11,Cole Ragans,KCR,11,8,3.35,26,26,0,0,,152.2,627,119,61,57,17,54,1,5,191,11.29,3.20,1.14,30.5%,8.6%,11
12,Jesus Luzardo,PHI,12,9,3.74,29,29,0,0,,175.2,730,153,79,73,21,55,0,5,196,10.05,2.84,1.19,26.9%,7.6%,14
13,George Kirby,SEA,11,9,3.65,28,28,0,0,,166.0,675,149,72,67,20,33,0,6,161,8.71,1.78,1.09,23.8%,4.9%,13
14,Max Fried,NYY,13,8,3.29,29,29,0,0,,180.1,742,151,71,66,17,57,0,7,169,8.44,2.85,1.16,22.8%,7.7%,15
15,Joe Ryan,MIN,11,9,3.76,28,28,0,0,,168.0,682,139,75,70,25,39,0,7,185,9.90,2.10,1.06,27.1%,5.8%,13
16,Dylan Cease,TOR,12,9,3.73,30,30,0,0,,175.1,728,141,78,73,23,65,1,6,211,10.84,3.33,1.18,29.0%,8.9%,13
17,Framber Valdez,DET,12,9,3.64,29,29,0,0,,187.0,782,168,82,76,17,64,1,9,169,8.16,3.08,1.24,21.7%,8.2%,16
18,Zack Wheeler,PHI,10,6,3.31,21,21,0,0,,132.2,538,105,52,49,16,38,0,5,155,10.52,2.60,1.08,28.8%,7.1%,11
19,Hunter Greene,CIN,10,10,3.94,28,28,0,0,,167.2,693,137,78,73,25,53,0,9,199,10.67,2.86,1.14,28.7%,7.7%,13
20,Ranger Suarez,BOS,11,9,3.71,27,27,0,0,,166.0,691,155,74,68,17,47,1,5,143,7.76,2.52,1.21,20.7%,6.7%,13
21,Freddy Peralta,NYM,11,9,3.72,29,29,0,0,,166.2,689,132,73,69,22,61,0,8,184,9.93,3.30,1.16,26.7%,8.9%,12
22,Sonny Gray,BOS,11,9,3.98,28,28,0,0,,169.0,703,154,80,75,23,46,0,6,173,9.23,2.44,1.18,24.7%,6.5%,13
23,Jacob deGrom,TEX,10,8,3.69,26,26,0,0,,154.2,624,123,67,63,23,40,0,4,170,9.86,2.32,1.05,27.2%,6.4%,12
24,Spencer Strider,ATL,10,9,4.14,26,26,0,0,,153.0,644,136,75,70,21,51,1,6,180,10.58,3.00,1.23,27.9%,7.9%,12
25,MacKenzie Gore,TEX,10,10,4.01,28,28,0,0,,159.2,675,139,76,71,20,60,0,6,182,10.28,3.37,1.25,27.1%,8.9%,12
26,Tanner Bibee,CLE,10,11,4.01,29,29,0,0,,179.0,746,162,86,80,24,51,1,8,161,8.10,2.58,1.19,21.6%,6.9%,14
27,Brandon Woodruff,MIL,9,8,3.71,25,25,0,0,,143.2,587,118,63,59,21,39,0,5,152,9.50,2.43,1.09,25.9%,6.6%,11
28,Matthew Boyd,CHC,10,9,3.90,27,27,0,0,,158.2,658,140,74,69,21,45,0,7,145,8.23,2.54,1.17,22.1%,6.8%,12
29,Nathan Eovaldi,TEX,10,8,3.79,25,25,0,0,,155.0,638,137,70,65,20,41,1,6,150,8.74,2.36,1.15,23.6%,6.4%,12
30,Jack Flaherty,DET,10,10,4.06,28,28,0,0,,159.0,667,142,77,72,23,50,0,7,176,9.97,2.82,1.21,26.4%,7.5%,12
31,Luis Castillo,SEA,11,10,4.18,29,29,0,0,,176.2,738,162,88,82,26,51,1,7,161,8.19,2.58,1.20,21.8%,6.9%,14
32,Kevin Gausman,TOR,11,10,4.41,29,29,0,0,,181.2,766,171,95,89,27,55,1,5,175,8.66,2.74,1.25,22.8%,7.2%,15
33,Chase Burns,CIN,8,9,3.87,29,24,0,1,,134.0,554,114,61,58,19,41,1,5,158,10.60,2.78,1.16,28.5%,7.5%,6
34,Eury Perez,MIA,8,10,3.88,27,27,0,0,,143.1,591,117,66,62,21,46,0,5,156,9.80,2.92,1.14,26.4%,7.9%,10
