#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
1,Tarik Skubal,DET,15,7,2.59,30,30,0,0,,192.1,754,144,59,55,16,37,1,7,238,11.14,1.75,0.95,31.6%,5.0%,15
2,Paul Skenes,PIT,14,9,3.09,30,30,0,0,,187.1,757,152,69,64,17,48,0,5,223,10.72,2.30,1.07,29.5%,6.3%,15
3,Cristopher Sanchez,PHI,15,8,3.08,30,30,0,0,,190.1,771,168,70,65,14,45,0,6,194,9.16,2.12,1.12,25.1%,5.8%,16
4,Garrett Crochet,BOS,13,8,3.26,29,29,0,0,,181.2,733,151,71,66,21,42,1,6,216,10.69,2.06,1.06,29.4%,5.7%,15
5,Logan Webb,SFG,14,9,3.37,30,30,0,0,,196.2,808,181,79,74,17,48,1,6,196,8.94,2.19,1.17,24.2%,5.9%,16
6,Chris Sale,ATL,11,8,3.58,25,25,0,0,,155.2,642,130,66,62,17,41,0,12,202,11.71,2.40,1.10,31.5%,6.5%,12
7,Bryan Woo,SEA,13,9,3.39,30,30,0,0,,185.1,742,153,74,70,25,37,0,7,191,9.28,1.80,1.02,25.7%,5.0%,15
8,Hunter Greene,CIN,11,9,3.59,28,28,0,0,,167.2,684,135,71,67,22,48,0,7,211,11.35,2.57,1.09,30.9%,7.0%,13
9,Dylan Cease,TOR,13,8,3.37,30,30,0,0,,175.1,719,135,70,66,19,65,1,5,207,10.65,3.32,1.14,28.8%,9.0%,13
10,Max Fried,NYY,14,8,3.24,29,29,0,0,,180.1,743,152,70,65,15,55,0,9,174,8.66,2.76,1.15,23.4%,7.5%,14
11,Jesus Luzardo,PHI,12,9,3.68,29,29,0,0,,175.2,728,153,78,72,21,52,0,7,194,9.95,2.64,1.17,26.7%,7.1%,14
12,Cole Ragans,KCR,11,8,3.39,26,26,0,0,,152.2,623,116,61,57,19,50,1,7,193,11.39,2.93,1.08,31.0%,8.0%,11
13,Framber Valdez,DET,13,9,3.33,29,29,0,0,,187.0,771,161,75,69,14,60,1,10,170,8.21,2.87,1.18,22.1%,7.7%,16
14,Logan Gilbert,SEA,12,8,3.57,28,28,0,0,,165.2,667,134,70,66,25,39,1,6,202,10.97,2.11,1.05,30.2%,5.8%,13
15,Yoshinobu Yamamoto,LAD,13,6,3.36,26,26,0,0,,160.2,659,133,64,60,16,51,0,4,178,9.98,2.88,1.15,27.1%,7.8%,12
16,George Kirby,SEA,11,9,3.70,28,28,0,0,,166.0,679,151,73,68,20,35,0,7,161,8.75,1.89,1.12,23.7%,5.1%,13
17,Hunter Brown,HOU,12,10,3.73,30,30,0,0,,182.2,761,158,81,76,20,63,1,7,193,9.52,3.09,1.21,25.4%,8.2%,15
18,Jacob deGrom,TEX,11,8,3.45,26,26,0,0,,154.2,621,122,63,59,20,40,0,3,172,10.00,2.31,1.05,27.7%,6.4%,12
19,Sonny Gray,BOS,11,9,3.72,28,28,0,0,,169.0,698,152,75,70,20,46,0,5,172,9.16,2.46,1.17,24.6%,6.6%,13
20,Zack Wheeler,PHI,10,6,3.18,21,21,0,0,,132.2,535,102,50,47,15,39,0,5,159,10.76,2.62,1.06,29.6%,7.2%,11
21,Joe Ryan,MIN,10,10,4.13,28,28,0,0,,168.0,695,150,82,77,27,41,0,7,186,9.97,2.17,1.14,26.8%,5.8%,13
22,Chase Burns,CIN,9,9,3.46,29,24,0,1,,134.0,546,108,55,51,16,41,1,2,165,11.10,2.74,1.11,30.3%,7.5%,6
23,Ranger Suarez,BOS,11,9,3.78,27,27,0,0,,166.0,693,157,75,70,17,45,1,7,145,7.87,2.43,1.22,20.9%,6.5%,13
24,MacKenzie Gore,TEX,10,9,3.86,28,28,0,0,,159.2,669,137,73,69,19,57,0,7,178,10.04,3.21,1.21,26.6%,8.5%,12
25,Kevin Gausman,TOR,12,10,4.16,29,29,0,0,,181.2,759,166,90,84,26,55,1,3,177,8.77,2.74,1.22,23.4%,7.3%,15
26,Freddy Peralta,NYM,11,9,3.83,29,29,0,0,,166.2,694,135,76,71,22,64,0,7,183,9.89,3.46,1.19,26.4%,9.2%,12
27,Nick Pivetta,SDP,11,9,3.85,28,28,0,0,,169.0,695,142,77,72,26,49,1,3,172,9.16,2.63,1.13,24.7%,7.1%,13
28,Blake Snell,LAD,10,6,3.59,22,22,0,0,,130.0,539,105,56,52,14,51,0,3,151,10.43,3.56,1.20,27.9%,9.5%,10
29,Shohei Ohtani,LAD,9,5,3.25,21,21,0,0,,110.0,450,86,43,40,12,37,0,3,139,11.32,3.02,1.12,30.8%,8.2%,7
30,Nathan Eovaldi,TEX,10,8,3.78,25,25,0,0,,155.0,637,134,69,65,20,41,1,8,152,8.82,2.41,1.13,23.8%,6.5%,12
31,Nolan McLean,NYM,10,8,3.79,26,26,0,0,,152.1,640,135,69,64,16,53,0,9,149,8.82,3.15,1.24,23.3%,8.3%,12
32,Emmet Sheehan,LAD,9,7,3.60,34,23,0,1,,133.1,547,103,57,53,19,46,1,5,158,10.63,3.12,1.11,28.8%,8.4%,3
33,Eury Perez,MIA,8,10,3.99,27,27,0,0,,143.1,594,121,68,64,20,46,0,6,149,9.35,2.87,1.16,25.0%,7.7%,10
34,Jack Flaherty,DET,10,10,4.06,28,28,0,0,,159.0,666,141,77,72,24,50,0,6,172,9.76,2.83,1.20,25.9%,7.5%,12
35,Tanner Bibee,CLE,10,11,4.32,29,29,0,0,,179.0,760,172,92,86,24,56,1,8,158,7.95,2.83,1.28,20.8%,7.4%,15
36,Braxton Ashcraft,PIT,7,9,3.81,37,22,0,1,,133.1,559,125,60,56,13,40,1,4,124,8.37,2.70,1.23,22.2%,7.1%,3
37,Michael King,SDP,10,9,3.97,27,27,0,0,,154.2,653,135,73,68,20,57,1,8,155,9.00,3.31,1.24,23.7%,8.7%,11
38,Kris Bubic,KCR,8,9,3.80,29,23,0,1,,134.2,562,121,61,57,16,40,1,6,131,8.77,2.71,1.20,23.3%,7.2%,6
