#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
1,Tarik Skubal,DET,13,5,2.54,30,30,0,0,,184,717,140,56,52,16,34,0,6,226,11.05,1.66,0.95,31.50%,4.70%,
2,Garrett Crochet,BOS,15,6,2.78,30,30,0,0,,184.1,749,152,62,57,18,49,1,4,230,11.23,2.39,1.09,30.70%,6.50%,
3,Paul Skenes,PIT,13,6,2.75,32,32,0,0,,179.2,718,143,59,55,16,46,0,5,204,10.22,2.3,1.05,28.40%,6.40%,
4,Logan Webb,SFG,16,8,3.06,32,32,0,0,,200.1,821,184,74,68,15,42,1,5,190,8.54,1.89,1.13,23.10%,5.10%,
5,Cristopher Sanchez,PHI,10,6,3.28,29,29,0,0,,178.1,732,162,70,65,16,42,0,6,172,8.68,2.12,1.14,23.50%,5.70%,
6,Yoshinobu Yamamoto,LAD,13,7,3.31,28,28,0,0,,168.2,663,129,67,62,18,43,0,5,180,9.6,2.29,1.02,27.10%,6.50%,
7,Max Fried,NYY,13,8,3.37,28,28,0,0,,171,700,147,69,64,14,49,1,6,156,8.21,2.58,1.15,22.30%,7.00%,
8,Hunter Brown,HOU,13,6,3.06,30,28,0,0,,167.2,689,138,62,57,16,55,0,6,178,9.55,2.95,1.15,25.80%,8.00%,
9,Dylan Cease,TOR,11,8,3.61,30,30,0,0,,164.2,689,136,71,66,19,64,2,4,192,10.49,3.5,1.21,27.90%,9.30%,
10,Andrew Abbott,CIN,9,8,3.8,30,30,0,0,,166,691,156,76,70,20,48,0,4,148,8.02,2.6,1.23,21.40%,6.90%,
11,Ranger Suarez,BOS,12,7,3.48,28,27,0,0,,155,654,150,65,60,14,45,0,4,135,7.84,2.61,1.26,20.60%,6.90%,
12,Hunter Greene,CIN,8,6,3.55,24,24,0,0,,137,548,100,58,54,16,43,0,13,159,10.45,2.82,1.04,29.00%,7.80%,
13,Bryan Woo,SEA,11,8,3.33,28,27,0,0,,162,642,133,65,60,20,34,1,8,165,9.17,1.89,1.03,25.70%,5.30%,
14,Jesus Luzardo,PHI,11,9,3.99,28,28,0,0,,160.1,666,142,77,71,21,49,0,4,179,10.05,2.75,1.19,26.90%,7.40%,
15,Sonny Gray,BOS,11,8,3.74,27,27,0,0,,154,645,147,69,64,19,41,0,4,160,9.35,2.4,1.22,24.80%,6.40%,
16,Framber Valdez,DET,13,8,3.39,27,27,0,0,,175,729,153,71,66,16,59,0,8,162,8.33,3.03,1.21,22.20%,8.10%,
17,Cole Ragans,KCR,8,5,3.51,24,22,0,0,,118,489,95,50,46,12,41,0,3,148,11.29,3.13,1.15,30.30%,8.40%,
18,MacKenzie Gore,TEX,11,9,3.82,29,29,0,0,,157.2,669,136,72,67,18,58,0,9,181,10.33,3.31,1.23,27.10%,8.70%,
19,George Kirby,SEA,11,7,3.53,27,27,0,0,,147.2,604,136,63,58,17,27,0,6,146,8.9,1.65,1.1,24.20%,4.50%,
20,Logan Gilbert,SEA,9,6,3.42,30,29,0,0,,160.1,645,133,66,61,21,39,1,5,175,9.83,2.19,1.07,27.10%,6.00%,
21,Chris Sale,ATL,9,4,3.1,22,21,0,0,,124.2,513,105,46,43,13,34,0,8,150,10.83,2.45,1.11,29.20%,6.60%,
22,Kevin Gausman,TOR,11,9,3.77,28,28,0,0,,162.1,676,152,74,68,21,46,1,2,157,8.71,2.55,1.22,23.20%,6.80%,
23,Jacob deGrom,TEX,10,7,3.48,26,26,0,0,,144.2,573,119,61,56,20,35,0,2,154,9.58,2.18,1.06,26.90%,6.10%,
24,Joe Ryan,MIN,11,10,3.77,28,28,0,0,,155.1,630,134,70,65,23,36,0,9,169,9.79,2.09,1.09,26.80%,5.70%,
25,Pablo Lopez,MIN,10,7,3.69,25,25,0,0,,141.1,589,131,63,58,16,37,0,6,141,8.98,2.36,1.19,23.90%,6.30%,
26,Zack Wheeler,PHI,9,5,3.43,21,21,0,0,,128.2,524,110,53,49,14,35,0,6,133,9.3,2.45,1.13,25.40%,6.70%,
27,Freddy Peralta,NYM,12,9,3.86,30,30,0,0,,160.2,668,133,75,69,21,61,0,7,174,9.74,3.42,1.21,26.00%,9.10%,
28,Spencer Strider,ATL,11,9,3.87,25,24,0,0,,137.1,575,117,64,59,17,46,0,7,164,10.75,3.02,1.19,28.50%,8.00%,
29,Corbin Burnes,ARI,11,6,3.19,25,25,0,0,,155,634,132,59,55,15,48,0,6,144,8.36,2.79,1.16,22.70%,7.60%,
30,Tanner Bibee,CLE,11,9,3.71,28,28,0,0,,165,686,150,74,68,21,48,0,7,153,8.35,2.62,1.2,22.30%,7.00%,
31,Chase Burns,CIN,7,6,3.78,27,21,0,1,,104.2,435,92,48,44,14,28,0,0,123,10.57,2.41,1.15,28.30%,6.40%,
32,Aaron Nola,PHI,9,8,4.25,24,24,0,0,,139.2,581,133,71,66,20,34,0,4,140,9.02,2.19,1.2,24.10%,5.90%,
33,Shane McClanahan,TBR,8,5,3.32,20,20,0,0,,111.1,450,95,44,41,13,30,1,2,117,9.46,2.43,1.12,26.00%,6.70%,
34,Sandy Alcantara,MIA,10,9,3.99,26,26,0,0,,160,663,148,77,71,17,44,1,6,130,7.31,2.48,1.2,19.60%,6.60%,
35,Spencer Schwellenbach,ATL,8,5,3.39,20,20,0,0,,124.2,500,111,51,47,15,23,1,5,122,8.81,1.66,1.07,24.40%,4.60%,
36,Brady Singer,CIN,11,12,4.39,31,31,0,0,,164,700,155,86,80,23,53,0,11,158,8.67,2.91,1.27,22.60%,7.60%,
37,Jack Leiter,TEX,10,9,4.05,28,28,0,0,,149,623,126,72,67,17,59,0,5,140,8.46,3.56,1.24,22.50%,9.50%,
38,Drew Rasmussen,TBR,8,6,3.56,29,28,0,0,,136.2,549,120,58,54,16,35,1,4,116,7.64,2.3,1.13,21.10%,6.40%,
39,Matthew Boyd,CHC,10,7,3.84,26,26,0,0,,143,594,132,66,61,17,40,0,6,126,7.93,2.52,1.2,21.20%,6.70%,
40,Justin Steele,CHC,8,5,3.52,24,24,0,0,,130.1,541,119,55,51,14,35,0,4,121,8.36,2.42,1.18,22.40%,6.50%,
41,Mitch Keller,PIT,9,10,4.02,29,29,0,0,,161,688,157,78,72,19,48,0,11,140,7.83,2.68,1.27,20.30%,7.00%,
42,Kyle Bradish,BAL,5,4,3.51,20,20,0,0,,100,414,85,42,39,10,32,0,5,106,9.54,2.88,1.17,25.60%,7.70%,
43,Bailey Ober,MIN,7,8,4.22,27,27,0,0,,147,606,142,75,69,23,34,0,5,132,8.08,2.08,1.2,21.80%,5.60%,
44,Nick Pivetta,SDP,9,9,3.87,28,26,0,0,,156,633,131,72,67,25,46,1,4,170,9.81,2.65,1.13,26.90%,7.30%,
45,Kris Bubic,KCR,8,5,3.57,23,19,0,1,,106,450,98,45,42,10,35,2,3,105,8.92,2.97,1.25,23.30%,7.80%,
46,David Peterson,NYM,7,7,4.07,28,27,0,0,,146,636,140,71,66,13,58,1,7,133,8.2,3.58,1.36,20.90%,9.10%,
47,Brandon Pfaadt,ARI,10,9,4.12,29,29,0,0,,159.1,674,160,79,73,21,35,1,8,145,8.19,1.98,1.22,21.50%,5.20%,
48,Michael King,SDP,8,6,3.55,23,22,0,0,,119,502,103,51,47,14,45,1,6,127,9.61,3.4,1.24,25.30%,9.00%,
49,Blake Snell,LAD,8,5,3.56,21,21,0,0,,106.1,444,83,45,42,12,48,0,2,134,11.35,4.06,1.23,30.20%,10.80%,
50,Jack Flaherty,DET,10,9,4.14,27,26,0,0,,141.1,603,127,70,65,19,53,1,7,157,10,3.38,1.27,26.00%,8.80%,
51,Brayan Bello,BOS,11,10,4.02,31,30,0,0,,163.1,702,157,79,73,17,58,0,9,136,7.5,3.2,1.32,19.40%,8.30%,
52,Michael Wacha,KCR,9,10,4.1,27,27,0,0,,147,616,143,72,67,18,43,0,4,112,6.86,2.63,1.27,18.20%,7.00%,
53,Nick Martinez,TBR,10,9,4.26,39,20,0,1,,137.1,579,137,70,65,15,38,1,5,104,6.82,2.49,1.27,18.00%,6.60%,
54,Luis Castillo,SEA,10,8,3.77,29,28,0,0,,162.1,672,148,74,68,22,46,1,6,149,8.26,2.55,1.2,22.20%,6.80%,
55,Trevor Rogers,BAL,8,6,3.95,25,25,0,0,,130,549,125,62,57,15,40,0,4,113,7.82,2.77,1.27,20.60%,7.30%,
56,Nick Lodolo,CIN,8,7,4.24,26,25,0,0,,135.2,575,123,69,64,18,37,1,18,138,9.15,2.45,1.18,24.00%,6.40%,
57,Taj Bradley,MIN,7,8,4.27,28,28,0,1,,147.2,625,138,76,70,19,51,0,4,136,8.29,3.11,1.28,21.80%,8.20%,
58,Jose Soriano,LAA,9,8,4.05,30,24,0,0,,142.1,615,127,69,64,12,63,1,10,133,8.41,3.98,1.34,21.60%,10.20%,
59,Shane Smith,CHW,7,8,3.98,28,28,0,0,,144.2,602,122,69,64,17,53,1,12,140,8.71,3.3,1.21,23.30%,8.80%,
60,Zebby Matthews,MIN,7,6,3.93,23,22,0,1,,112.1,478,111,53,49,16,27,0,2,118,9.46,2.16,1.23,24.70%,5.60%,
61,Carlos Rodon,NYY,10,8,4.04,24,24,0,0,,129.1,543,113,63,58,16,47,0,5,131,9.12,3.27,1.24,24.10%,8.70%,
62,Michael McGreevy,STL,10,9,3.92,29,28,0,1,,154,644,154,72,67,17,36,0,3,111,6.49,2.1,1.23,17.20%,5.60%,
63,Clay Holmes,NYM,10,8,3.9,28,24,0,0,,136,593,137,64,59,11,47,1,8,109,7.21,3.11,1.35,18.40%,7.90%,
64,Gavin Williams,CLE,9,7,3.59,29,29,0,0,,150.1,633,128,65,60,18,62,0,5,154,9.22,3.71,1.26,24.30%,9.80%,
65,Brandon Woodruff,MIL,7,5,3.61,20,20,0,0,,97.1,398,84,42,39,13,26,0,4,104,9.62,2.4,1.13,26.10%,6.50%,
66,Zac Gallen,ARI,14,10,3.81,30,30,0,0,,174.2,726,157,80,74,22,57,0,6,161,8.29,2.94,1.22,22.20%,7.90%,
67,Jeffrey Springs,ATH,9,9,4.12,28,26,0,0,,142,595,138,70,65,21,44,0,2,121,7.67,2.79,1.28,20.30%,7.40%,
68,Tyler Glasnow,LAD,5,4,3.76,21,20,0,0,,105.1,430,85,48,44,14,39,0,1,123,10.51,3.33,1.18,28.60%,9.10%,
69,Cam Schlittler,NYY,9,8,4.06,27,25,0,0,,128.2,548,116,63,58,17,46,0,6,131,9.16,3.22,1.26,23.90%,8.40%,
70,Bubba Chandler,PIT,8,7,3.89,29,27,0,1,,129.2,557,118,61,56,14,49,0,11,122,8.47,3.4,1.29,21.90%,8.80%,
71,Nolan McLean,NYM,10,8,3.94,28,26,0,0,,144,621,128,68,63,15,56,0,13,142,8.88,3.5,1.28,22.90%,9.00%,
72,Jonah Tong,NYM,9,8,4.07,26,25,0,1,,117.1,502,103,57,53,15,48,0,2,132,10.13,3.68,1.29,26.30%,9.60%,
73,Jacob Misiorowski,MIL,8,6,3.86,26,23,0,1,,116.2,494,91,54,50,14,51,0,9,142,10.95,3.93,1.22,28.70%,10.30%,
74,Casey Mize,DET,8,7,4.04,25,25,0,0,,127,540,125,62,57,17,36,1,4,114,8.08,2.55,1.27,21.10%,6.70%,
75,Merrill Kelly,ARI,10,7,3.75,27,27,0,0,,153.2,637,145,69,64,21,45,0,2,133,7.79,2.64,1.24,20.90%,7.10%,
76,Yusei Kikuchi,LAA,7,8,4.33,29,28,0,0,,147.2,648,150,77,71,22,57,1,4,151,9.2,3.47,1.4,23.30%,8.80%,
77,Drew Anderson,DET,8,8,4.19,26,24,0,6,,131,558,118,66,61,19,48,1,7,147,10.1,3.3,1.27,26.30%,8.60%,
78,Reid Detmers,LAA,7,7,4.12,39,17,0,1,,113.2,479,99,56,52,14,39,2,6,129,10.21,3.09,1.21,26.90%,8.10%,
79,Gerrit Cole,NYY,7,5,3.91,19,19,0,0,,115,472,101,54,50,16,33,0,4,111,8.69,2.58,1.17,23.50%,7.00%,
80,Chris Bassitt,BAL,10,8,4.05,30,27,0,1,,151,652,146,74,68,20,53,1,11,138,8.23,3.16,1.32,21.20%,8.10%,
81,Simeon Woods Richardson,MIN,6,6,4.16,27,25,0,1,,127.2,540,119,64,59,17,46,0,3,117,8.25,3.24,1.29,21.70%,8.50%,
82,Connelly Early,BOS,8,7,4.07,24,21,0,1,,108.1,470,99,53,49,12,40,0,10,110,9.14,3.32,1.28,23.40%,8.50%,
83,Eury Perez,MIA,7,7,4.09,26,26,0,0,,110,449,93,54,50,15,37,0,3,112,9.16,3.03,1.18,24.90%,8.20%,
84,Ryan Pepiot,TBR,10,9,4.08,27,27,0,0,,143.1,591,121,70,65,21,51,0,8,142,8.92,3.2,1.2,24.00%,8.60%,
85,Shane Bieber,TOR,6,5,3.66,19,19,0,1,,103.1,425,97,45,42,13,24,0,2,93,8.1,2.09,1.17,21.90%,5.60%,
86,Reese Olson,DET,6,6,3.87,22,22,0,0,,107,448,96,50,46,12,36,1,4,101,8.5,3.03,1.23,22.50%,8.00%,
87,Trey Yesavage,TOR,4,3,3.88,28,25,0,1,,109,455,89,51,47,12,47,0,2,116,9.58,3.88,1.25,25.50%,10.30%,
88,Cody Ponce,TOR,7,7,4.2,23,22,0,1,,128.2,543,120,65,60,19,40,0,5,127,8.88,2.8,1.24,23.40%,7.40%,
89,Dietrich Enns,BAL,6,6,3.98,32,19,0,13,,113,497,120,54,50,14,34,2,4,103,8.2,2.71,1.36,20.70%,6.80%,
90,Will Warren,NYY,7,8,4.48,28,27,0,1,,138.2,597,130,75,69,19,51,0,6,138,8.95,3.31,1.3,23.10%,8.50%,
91,Luis Severino,ATH,7,9,4.46,24,24,0,0,,139.1,599,139,75,69,17,43,1,10,109,7.04,2.78,1.31,18.20%,7.20%,
92,Braxton Ashcraft,PIT,6,6,3.61,31,16,0,1,,107.1,456,103,46,43,11,30,0,5,98,8.22,2.52,1.24,21.50%,6.60%,
93,Robby Snelling,MIA,8,8,4.02,25,25,0,0,,123,530,120,59,55,15,42,0,3,111,8.12,3.07,1.32,20.90%,7.90%,
94,Noah Cameron,KCR,8,8,4.08,27,27,0,0,,141.1,595,135,69,64,19,44,0,5,122,7.77,2.8,1.27,20.50%,7.40%,
95,Janson Junk,MIA,7,7,4.36,26,20,0,1,,121.2,514,128,64,59,15,25,0,4,88,6.51,1.85,1.26,17.10%,4.90%,
96,Cade Povich,BAL,7,7,4.3,26,24,0,1,,125.2,540,121,65,60,17,45,1,3,123,8.81,3.22,1.32,22.80%,8.30%,
97,Shane Baz,BAL,9,9,4.27,27,27,0,0,,141.1,598,129,72,67,20,49,0,8,139,8.85,3.12,1.26,23.20%,8.20%,
98,Zack Littell,,7,9,4.68,29,26,0,0,,153.2,645,162,86,80,27,31,1,6,117,6.85,1.82,1.26,18.10%,4.80%,
99,Louis Varland,TOR,7,5,3.64,48,14,2,13,,108.2,453,99,48,44,13,30,1,4,104,8.61,2.48,1.19,23.00%,6.60%,
100,Bryce Elder,ATL,9,9,4.38,27,27,0,1,,152,651,149,80,74,18,50,1,6,128,7.58,2.96,1.31,19.70%,7.70%,
101,Dean Kremer,BAL,9,9,4.28,27,26,0,1,,147.1,622,145,76,70,21,45,0,4,124,7.58,2.75,1.29,19.90%,7.20%,
102,Edward Cabrera,CHC,8,6,3.88,25,25,0,0,,130,542,105,61,56,16,51,0,8,139,9.62,3.53,1.2,25.60%,9.40%,
103,Brandon Sproat,MIL,7,7,4.2,27,26,0,1,,124.1,536,114,63,58,14,47,0,9,110,7.96,3.4,1.3,20.50%,8.80%,
104,Quinn Priester,MIL,9,7,4.09,28,23,0,0,,143,608,133,70,65,17,48,0,7,123,7.74,3.02,1.27,20.20%,7.90%,
105,Bryce Miller,SEA,7,6,4.02,23,23,0,0,,123,507,109,59,55,16,36,1,5,109,7.98,2.63,1.18,21.50%,7.10%,
106,Chad Patrick,MIL,7,8,4.37,31,25,0,0,,136,575,126,71,66,21,44,1,6,132,8.74,2.91,1.25,23.00%,7.70%,
107,Ben Brown,CHC,6,6,4.1,24,15,0,1,,98.2,419,88,49,45,12,34,0,3,106,9.67,3.1,1.24,25.30%,8.10%,
108,Carmen Mlodzinski,PIT,7,7,3.59,39,13,0,4,,102.2,437,97,44,41,9,34,0,4,89,7.8,2.98,1.28,20.40%,7.80%,
109,Jacob Lopez,ATH,7,7,3.98,25,19,0,0,,106.1,453,93,51,47,14,42,0,7,115,9.74,3.56,1.27,25.40%,9.30%,
110,Cade Horton,CHC,8,7,3.89,26,25,0,0,,125,513,109,58,54,16,37,0,5,109,7.85,2.66,1.17,21.20%,7.20%,
111,Shota Imanaga,CHC,8,7,3.96,25,25,0,0,,136.1,556,126,65,60,24,31,0,4,125,8.25,2.05,1.15,22.50%,5.60%,
112,Emmet Sheehan,LAD,5,4,3.99,24,17,0,1,,88,363,72,42,39,12,31,1,4,101,10.33,3.17,1.17,27.80%,8.50%,
113,Grayson Rodriguez,LAA,5,6,4.1,19,19,0,0,,96.2,411,90,48,44,13,32,0,4,101,9.4,2.98,1.26,24.60%,7.80%,
114,Payton Tolle,BOS,5,4,4.15,28,21,0,1,,102,431,95,51,47,15,30,0,3,106,9.35,2.65,1.23,24.60%,7.00%,
115,Matthew Liberatore,STL,8,9,4.1,31,24,0,0,,131.2,560,127,65,60,15,41,1,6,111,7.59,2.8,1.28,19.80%,7.30%,
116,Ryan Weiss,HOU,8,9,4.17,26,23,0,0,,136,584,124,68,63,19,50,0,10,139,9.2,3.31,1.28,23.80%,8.60%,
117,Kyle Freeland,COL,7,10,4.87,26,26,0,0,,135,592,154,79,73,20,35,1,5,100,6.67,2.33,1.4,16.90%,5.90%,
118,Nathan Eovaldi,TEX,6,6,3.91,18,18,0,0,,106,436,96,50,46,14,28,1,4,96,8.15,2.38,1.17,22.00%,6.40%,
119,Logan Allen,CLE,8,9,4.13,27,26,0,1,,139.1,605,138,69,64,18,53,0,5,116,7.49,3.42,1.37,19.20%,8.80%,
120,Tylor Megill,NYM,6,6,4.22,21,21,0,0,,96,418,87,49,45,11,41,0,6,105,9.84,3.84,1.33,25.10%,9.80%,
121,Eduardo Rodriguez,ARI,8,8,4.15,24,24,0,1,,130,561,131,65,60,18,46,1,2,117,8.1,3.18,1.36,20.90%,8.20%,
122,Gage Jump,ATH,8,8,4.17,26,24,0,0,,108,459,103,54,50,14,33,1,5,97,8.08,2.75,1.26,21.10%,7.20%,
123,Ryne Nelson,ARI,7,5,3.88,29,23,0,1,,139.1,579,132,65,60,18,38,1,4,114,7.37,2.46,1.22,19.70%,6.60%,
124,Mitch Bratt,ARI,6,5,3.88,23,22,0,0,,113.2,482,113,53,49,15,27,0,4,99,7.84,2.14,1.23,20.50%,5.60%,
125,Clayton Kershaw,,7,5,4.21,24,21,0,0,,109,459,106,55,51,13,35,1,3,84,6.94,2.89,1.29,18.30%,7.60%,
126,Kodai Senga,NYM,8,7,3.82,25,25,0,1,,127.1,541,110,58,54,15,58,0,4,125,8.84,4.1,1.32,23.10%,10.70%,
