#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%,real_GS,real_G,real_IP,real_TBF,real_W,real_L,real_QS,real_SV,real_HLD,real_BS,real_H,real_R,real_ER,real_HR,real_IBB,real_HBP,real_SO,real_BB,real_K/9,real_BB/9,real_ERA,real_WHIP,real_K%,real_BB%
1,Tarik Skubal,DET,32,32,198,781,46.875,25,,0,0,,20.102432778489117,8.322663252240718,7.682458386683738,2.0486555697823303,,0.7682458386683738,227,39,10.33,1.79,2.74,1,29.06530089628681,4.993597951,31,31,195.1,748,41.935483870967744,19.35483870967742,,0,0,0,18.850267379679146,7.352941176470589,6.417112299465241,2.406417112299465,0,0.6684491978609626,241,33,11.1,1.52,2.21,0.89,32.21925134,4.411764706
2,Zack Wheeler,PHI,32,32,203,823,46.875,25,,0,0,,20.413122721749698,9.720534629404618,8.991494532,2.4301336573511545,,0.9720534629404617,213,54,9.43,2.41,3.28,1.09,25.880923450789794,6.561360874848117,24,24,149.2,585,41.66666666666667,20.833333333333336,,0,0,0,18.29059829059829,8.205128205128204,7.6923076923076925,3.2478632478632483,0,1.3675213675213675,195,33,11.73,1.98,2.71,0.94,33.33333333,5.641025641
3,Chris Sale,ATL,31,31,178,732,45.16129032258064,19.35483870967742,,0,0,,20.62841530054645,8.743169398907105,8.060109289617486,2.3224043715846996,,1.366120218579235,218,46,11.03,2.34,2.98,1.11,29.78142076502732,6.284153005464481,20,21,125.2,510,33.33333333333333,23.809523809523807,,0,0,0,20,7.450980392156863,7.0588235294117645,2.156862745098039,0,2.156862745098039,165,32,11.82,2.29,2.58,1.07,32.35294118,6.274509804
4,Logan Webb,SFG,32,32,198,813,40.625,28.125,,0,0,,22.75522755227552,9.471094710947108,8.733087330873309,1.7220172201722017,,0.6150061500615006,166,43,7.54,1.93,3.22,1.15,20.418204182041823,5.289052890528905,34,34,207,856,44.11764705882353,32.35294117647059,,0,0,0,24.53271028037383,9.579439252336448,8.644859813084112,1.6355140186915886,0,0.7009345794392523,224,46,9.74,2,3.22,1.24,26.1682243,5.373831776
5,Garrett Crochet,BOS,31,31,143,593,41.935483870967744,19.35483870967742,,0,0,,20.236087689713322,8.600337268128163,7.925801011804384,2.0236087689713322,,0.5059021922428331,179,46,11.27,2.87,2.93,1.16,30.185497470489036,7.757166948,32,32,205.1,814,56.25,15.625,,0,0,0,20.27027027027027,7.616707616707617,7.2481572481572485,2.9484029484029484,0,0.36855036855036855,255,46,11.18,2.02,2.59,1.03,31.32678133,5.651105651
6,Yoshinobu Yamamoto,LAD,28,28,167,648,46.42857142857143,25,,0,0,,19.90740740740741,10.339506172839506,9.567901235,2.7777777777777777,,0.4629629629629629,172,36,9.27,1.91,3.34,0.98,26.543209876543212,5.555555555555555,30,30,173.2,684,40,26.666666666666668,,0,0,0,16.52046783625731,7.748538011695906,7.017543859649122,2.046783625730994,0,0.43859649122807015,201,59,10.42,3.06,2.49,0.99,29.38596491,8.625730994
7,Corbin Burnes,ARI,31,31,186,754,45.16129032258064,22.58064516129032,,0,0,,20.55702917771883,8.885941644562333,8.222811671087534,2.122015915119363,,0.9283819628647214,184,52,8.87,2.53,2.97,1.11,24.40318302387268,6.896551724137931,11,11,64.1,265,27.27272727272727,18.181818181818183,,0,0,0,18.49056603773585,8.679245283018867,7.169811320754717,2.6415094339622645,0.37735849056603776,1.1320754716981132,63,26,8.81,3.64,2.66,1.17,23.77358491,9.811320755
8,Paul Skenes,PIT,31,31,159,642,25.806451612903224,19.35483870967742,,0,0,,20.24922118380062,9.813084112149532,8.878504672897195,2.647975078,,0.6230529595015576,186,44,10.49,2.49,3.25,1.09,28.971962616822427,6.853582554517133,32,32,187.2,733,31.25,31.25,,0,0,0,18.55388813096862,6.139154160982264,5.5934515688949515,1.5006821282401093,0,0.8185538881309686,216,42,10.36,2.01,1.97,0.95,29.46793997,5.729877217
9,Aaron Nola,PHI,31,31,188,770,35.483870967741936,29.03225806451613,,0,0,,22.467532467532468,11.168831168831169,10.38961038961039,3.116883116883117,,0.6493506493506493,185,41,8.84,1.96,3.83,1.14,24.025974025974026,5.324675324675324,17,17,94.1,404,29.411764705882355,58.82352941176471,,0,0,0,24.504950495049506,16.08910891089109,15.594059405940595,4.455445544554455,0,0.9900990099009901,97,28,9.25,2.67,6.01,1.35,24.00990099,6.930693069
10,George Kirby,SEA,31,31,178,723,41.935483870967744,29.03225806451613,,0,0,,23.09820193637621,9.820193637621024,9.128630705,2.627939142461964,,0.8298755186721992,166,26,8.41,1.3,3.32,1.08,22.959889349930844,3.5961272475795294,23,23,126,524,43.47826086956522,34.78260869565217,,0,0,0,23.091603053435115,11.450381679389313,11.259541984732824,2.8625954198473282,0,1.3358778625954197,137,29,9.79,2.07,4.21,1.19,26.14503817,5.534351145
11,Nick Martinez,CIN,23,49,183,760,24.489795918367346,18.367346938775512,,0,2.0408163265306123,,23.289473684210527,10.263157894736842,9.473684210526317,2.236842105263158,,0.7894736842105263,157,44,7.73,2.18,3.53,1.21,20.657894736842106,5.7894736842105265,26,40,165.2,683,27.500000000000004,35,,0,12.5,0,23.133235724743777,12.591508052708638,12.005856515373353,3.221083455,0.14641288433382138,0.8784773060029283,116,42,6.3,2.28,4.45,1.21,16.98389458,6.149341142
12,Max Fried,NYY,29,29,176,720,44.827586206896555,31.03448275862069,,0,0,,21.11111111111111,10,9.305555555555555,2.2222222222222223,,0.6944444444444444,159,52,8.13,2.66,3.43,1.16,22.083333333333332,7.222222222222221,32,32,195.1,801,59.375,15.625,,0,0,0,20.474406991260924,9.113607990012484,7.740324594257178,1.7478152309612984,0,1.2484394506866416,189,51,8.71,2.35,2.86,1.1,23.59550562,6.367041199
13,Dylan Cease,SDP,32,32,178,736,40.625,28.125,,0,0,,19.429347826086957,9.918478260869565,9.239130434782608,2.5815217391304346,,0.6793478260869565,210,67,10.6,3.38,3.43,1.18,28.532608695652172,9.103260869565217,32,32,168,722,25,37.5,,0,0,0,21.052631578947366,12.60387811634349,11.772853185595569,2.9085872576177287,0.2770083102493075,0.6925207756232686,215,71,11.52,3.8,4.55,1.33,29.77839335,9.833795014
14,Sandy Alcantara,MIA,28,28,181,738,35.714285714285715,28.57142857142857,,0,0,,22.493224932249323,10.29810298102981,9.485094851,2.303523035230352,,0.9485094850948509,154,41,7.67,2.06,3.49,1.15,20.867208672086722,5.555555555555555,31,31,174.2,745,35.483870967741936,38.70967741935484,,0,0,0,22.14765100671141,14.36241610738255,13.95973154362416,2.953020134228188,0,1.2080536912751678,142,57,7.32,2.94,5.36,1.27,19.06040268,7.651006711
15,Michael King,SDP,31,31,177,743,45.16129032258064,25.806451612903224,,0,0,,20.323014804845222,9.421265141318976,8.613728129205922,2.4226110363391657,,0.9421265141318977,195,62,9.91,3.16,3.27,1.2,26.244952893674295,8.344549125168237,15,15,73.1,308,33.33333333333333,20,,0,0,0,20.12987012987013,10.064935064935066,9.090909090909092,3.896103896103896,0,1.2987012987012987,76,26,9.33,3.19,3.44,1.2,24.67532468,8.441558442
16,Cole Ragans,KCR,31,31,175,733,35.483870967741936,25.806451612903224,,0,0,,20.463847203274216,10.095497953615281,9.276944065,2.455661664392906,,0.8185538881309686,195,65,10.02,3.34,3.51,1.23,26.603001364256478,8.867667121418826,13,13,61.2,257,23.076923076923077,23.076923076923077,,0,0,0,20.622568093385212,12.840466926070038,12.45136186770428,2.7237354085603114,0,0.7782101167315175,98,20,14.3,2.92,4.67,1.18,38.13229572,7.782101167
17,Logan Gilbert,SEA,32,32,191,767,37.5,25,,0,0,,21.38200782268579,9.908735332464145,9.126466753585397,2.9986962190352022,,0.5215123859191656,192,44,9.05,2.05,3.29,1.08,25.03259452411995,5.736636245110821,25,25,131,535,24,24,,0,0,0,19.439252336448597,9.906542056074766,9.345794392523365,3.7383177570093453,0,1.3084112149532712,173,31,11.89,2.13,3.44,1.03,32.3364486,5.794392523
18,Pablo Lopez,MIN,32,32,188,778,40.625,31.25,,0,0,,22.10796915167095,10.925449871465295,10.154241645244216,3.0848329048843186,,1.1568123393316194,197,46,9.41,2.22,3.78,1.16,25.32133676092545,5.912596401028278,14,14,75.2,312,35.714285714285715,28.57142857142857,,0,0,0,20.51282051282051,8.974358974358974,7.371794871794872,1.9230769230769231,0,1.282051282051282,73,20,8.68,2.38,2.74,1.11,23.3974359,6.41025641
19,Blake Snell,LAD,29,29,149,619,34.48275862068966,20.689655172413794,,0,0,,18.093699515347332,9.8546042,9.046849757673666,2.5848142164781907,,0.32310177705977383,197,67,11.91,4.06,3.38,1.2,31.82552504038772,10.823909531502423,11,11,61.1,254,45.45454545454545,36.36363636363637,,0,0,0,20.078740157480315,8.267716535433072,6.299212598425196,1.1811023622047243,0.39370078740157477,0,72,26,10.57,3.82,2.35,1.26,28.34645669,10.23622047
21,Sonny Gray,STL,31,31,177,723,41.935483870967744,25.806451612903224,,0,0,,21.16182572614108,10.096818810511756,9.266943291839558,2.7662517289073305,,0.8298755186721992,185,49,9.38,2.46,3.43,1.14,25.587828492392806,6.777316736,32,32,180.2,753,43.75,25,,0,0,0,24.568393094289508,12.350597609561753,11.42098273572377,3.3200531208499333,0,0.398406375,201,38,10.01,1.89,4.28,1.23,26.69322709,5.046480744
22,Hunter Greene,CIN,29,29,167,674,31.03448275862069,27.586206896551722,,0,0,,17.95252225519288,10.682492581602373,9.940652818991099,2.6706231454005933,,2.8189910979228485,186,57,10.03,3.09,3.62,1.07,27.596439169139465,8.456973293768547,19,19,107.2,420,36.84210526315789,21.052631578947366,,0,0,0,17.857142857142858,8.333333333333332,7.857142857142857,3.571428571428571,0,0.4761904761904762,132,26,11.03,2.17,2.76,0.94,31.42857143,6.19047619
23,Kevin Gausman,TOR,32,32,188,788,43.75,31.25,,0,0,,22.715736040609137,10.406091370558377,9.644670050761421,2.918781725888325,,0.25380710659898476,183,52,8.74,2.49,3.65,1.23,23.223350253807105,6.598984771573605,32,32,193,775,31.25,34.375,,0,0,0,20,10.193548387096774,9.935483870967742,2.7096774193548385,0.25806451612903225,0.3870967741935484,189,50,8.81,2.33,3.59,1.06,24.38709677,6.451612903
24,Tyler Glasnow,LAD,24,24,137,543,41.66666666666667,25,,0,0,,19.70534069981584,10.313075506445673,9.576427255985267,3.314917127071823,,0,168,39,11.06,2.55,3.42,1.07,30.939226519337016,7.182320442,18,18,90.1,366,22.22222222222222,16.666666666666664,,0,0,0,15.300546448087433,9.016393443,8.743169398907105,2.732240437,0,0.819672131,106,43,10.56,4.28,3.19,1.1,28.96174863,11.74863388
26,Justin Steele,CHC,29,29,162,668,31.03448275862069,20.689655172413794,,0,0,,21.856287425149702,9.730538922,8.982035928143713,2.3952095808383236,,0.8982035928143712,151,43,8.42,2.42,3.34,1.17,22.604790419161677,6.437125748502994,4,4,22.2,92,75,25,,0,0,0,22.82608695652174,13.043478260869565,13.043478260869565,5.434782608695652,0,1.0869565217391304,21,5,8.34,1.99,4.76,1.15,22.82608696,5.434782609
28,Framber Valdez,HOU,29,29,178,738,48.275862068965516,27.586206896551722,,0,0,,20.73170731707317,9.485094851,8.807588075880759,2.303523035230352,,1.2195121951219512,165,58,8.32,2.95,3.26,1.19,22.35772357723577,7.8590785907859075,31,31,192,802,41.935483870967744,35.483870967741936,,0,0,0,21.32169576,10.224438902743142,9.725685786,1.8703241895261846,0,0.8728179551122194,187,68,8.77,3.19,3.66,1.24,23.31670823,8.478802993
29,Jacob deGrom,TEX,26,26,112,434,23.076923076923077,7.6923076923076925,,0,0,,19.35483870967742,9.447004608,8.986175115207374,3.4562211981566824,,0.4608294930875576,149,24,12.01,1.91,3.13,0.97,34.331797235023046,5.529953917050691,30,30,172.2,669,40,26.666666666666668,,0,0,0,18.236173393124066,8.520179372197308,8.520179372197308,3.8863976083707024,0,0.4484304932735426,185,37,9.64,1.93,2.97,0.92,27.65321375,5.53064275
30,Spencer Strider,ATL,21,21,118,482,42.857142857142854,28.57142857142857,,0,0,,19.08713692946058,9.751037344398341,8.921161825726141,2.6970954356846475,,1.2448132780082988,160,36,12.17,2.72,3.29,1.08,33.19502074688796,7.468879668049793,23,23,125.1,539,30.434782608695656,60.86956521739131,,0,0,0,23.00556586270872,11.688311688311687,11.50278293135436,3.710575139146568,0,1.4842300556586272,131,51,9.41,3.66,4.45,1.4,24.30426716,9.461966605
31,Tanner Houck,BOS,29,39,176,742,28.205128205128204,20.51282051282051,,0,2.564102564102564,,21.96765498652291,10.781671159029651,10.107816711590296,2.156334232,,2.0215633423180592,159,53,8.15,2.72,3.82,1.23,21.428571428571427,7.142857142857142,9,9,43.2,203,0,33.33333333333333,,0,0,0,28.078817733990146,20.19704433497537,19.21182266009852,4.926108374384237,0,2.4630541871921183,32,17,6.6,3.5,8.04,1.69,15.7635468,8.374384236
32,Ranger Suarez,PHI,28,40,164,690,27.500000000000004,22.5,,0,2.5,,22.17391304347826,10.434782608695652,9.565217391304348,2.318840579710145,,0.7246376811594203,147,51,8.03,2.78,3.64,1.24,21.304347826086957,7.391304347826087,26,26,157.1,651,46.15384615384615,30.76923076923077,,0,0,0,23.655913978494624,8.755760368663594,8.602150538,2.1505376344086025,0,0.9216589861751152,151,38,8.64,2.17,3.2,1.22,23.19508449,5.837173579
