#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
1,Tarik Skubal,DET,14,5,2.54,32,32,0,0,,199.0,774,151,60,56,17,37,,6,244,11.05,1.66,0.95,31.5%,4.7%,
2,Garrett Crochet,BOS,16,6,2.78,32,32,0,0,,199.0,809,164,67,62,19,53,,4,248,11.23,2.39,1.09,30.7%,6.5%,
3,Paul Skenes,PIT,13,6,2.75,32,32,0,0,,182.0,727,145,60,56,16,47,,5,207,10.22,2.30,1.05,28.4%,6.4%,
4,Logan Webb,SFG,16,8,3.06,32,32,0,0,,203.0,831,186,75,69,15,43,,5,192,8.54,1.89,1.13,23.1%,5.1%,
5,Cristopher Sanchez,PHI,11,7,3.28,32,32,0,0,,199.0,818,181,78,73,18,47,,7,192,8.68,2.12,1.14,23.5%,5.7%,
6,Max Fried,NYY,14,9,3.37,31,31,0,0,,188.0,770,162,76,70,15,54,,7,171,8.21,2.58,1.15,22.3%,7.0%,
7,Hunter Greene,CIN,10,8,3.55,31,31,0,0,,176.0,703,128,74,69,21,55,,17,204,10.45,2.82,1.04,29.0%,7.8%,
8,Cole Ragans,KCR,10,7,3.51,29,29,0,0,,154.0,637,124,65,60,16,53,,4,193,11.29,3.13,1.15,30.3%,8.4%,
9,Hunter Brown,HOU,14,7,3.06,31,31,0,0,,182.0,748,150,67,62,17,60,,7,193,9.55,2.95,1.15,25.8%,8.0%,
10,Dylan Cease,TOR,12,9,3.61,32,32,0,0,,178.0,744,147,77,71,21,69,,4,207,10.49,3.50,1.21,27.9%,9.3%,
11,Chris Sale,ATL,12,5,3.10,28,28,0,0,,162.0,667,137,60,56,17,44,,10,195,10.83,2.45,1.11,29.2%,6.6%,
12,Bryan Woo,SEA,13,10,3.33,32,32,0,0,,193.0,766,159,78,72,24,41,,10,197,9.17,1.89,1.03,25.7%,5.3%,
13,Yoshinobu Yamamoto,LAD,12,6,3.31,26,26,0,0,,156.0,614,119,62,57,17,40,,5,167,9.60,2.29,1.02,27.1%,6.5%,
14,Framber Valdez,DET,15,9,3.39,31,31,0,0,,200.0,831,174,81,75,18,67,,9,185,8.33,3.03,1.21,22.2%,8.1%,
15,Sonny Gray,BOS,13,9,3.74,31,31,0,0,,176.0,735,168,79,73,22,47,,5,182,9.35,2.40,1.22,24.8%,6.4%,
16,Jesus Luzardo,PHI,12,10,3.99,31,31,0,0,,176.0,732,156,85,78,23,54,,4,197,10.05,2.75,1.19,26.9%,7.4%,
17,Ranger Suarez,BOS,13,8,3.48,29,29,0,0,,166.0,702,161,70,64,15,48,,4,145,7.84,2.61,1.26,20.6%,6.9%,
