Player,Team,Position,Rank,Pos_Rank,CER,Pct_Drafted,Preseason_ADP,All_Drafts_ADP,Last_7_Days
Aaron Judge,NYY , OF,1,,,100%,1.5,1.5,
Shohei Ohtani (Batter),LAD , Util,2,,,100%,1.7,1.7,
Bobby Witt Jr.,KC , SS,3,,,100%,3.5,3.5,
Juan Soto,NYM , OF,4,,,100%,4.2,4.2,
Tarik Skubal,DET , SP,5,,,100%,5.4,5.4,
Jose Ramirez,CLE , 3B,7,,,100%,7.2,7.2,
Elly De La Cruz,CIN , SS,6,,,100%,7.8,7.8,
Paul Skenes,PIT , SP,8,,,100%,8.1,8.1,
Ronald Acuna Jr.,ATL , OF,12,,,100%,11.1,11.1,
Julio Rodriguez,SEA , OF,10,,,100%,11.5,11.5,
Garrett Crochet,BOS , SP,11,,,100%,13,13,
Kyle Tucker,LAD , OF,9,,,100%,13,13.1,
Cal Raleigh,SEA , C,17,,,100%,13.5,13.5,
Corbin Carroll,AZ , OF,20,,,100%,15.2,15.2,
Junior Caminero,TB , 3B,14,,,100%,16.4,16.4,
Gunnar Henderson,BAL , SS,13,,,100%,16.7,16.7,
Kyle Schwarber,PHI , OF,19,,,100%,16.7,16.7,
Vladimir Guerrero Jr.,TOR , 1B,18,,,100%,17.7,17.7,
Fernando Tatis Jr.,SD , OF,15,,,100%,17.9,17.9,
Nick Kurtz,ATH , 1B,21,,,100%,20.3,20.3,
Pete Alonso,BAL , 1B,22,,,100%,22.6,22.6,
Francisco Lindor,NYM , SS,26,,,100%,22.7,22.7,
Jackson Chourio,MIL , OF,16,,,100%,22.8,22.8,
Yoshinobu Yamamoto,LAD , SP,30,,,100%,23.5,23.5,
Jazz Chisholm Jr.,NYY ," 2B,3B",23,,,100%,24.2,24.2,
Cristopher Sanchez,PHI , SP,27,,,100%,26.2,26.2,
Ketel Marte,AZ , 2B,28,,,100%,28.2,28.2,
Trea Turner,PHI , SS,24,,,100%,29.3,29.3,
Manny Machado,SD , 3B,31,,,100%,32.4,32.4,
Bryce Harper,PHI , 1B,33,,,100%,33.4,33.4,
Yordan Alvarez,HOU , OF,37,,,100%,33.4,33.4,
Matt Olson,ATL , 1B,32,,,100%,34,34,
Zach Neto,LAA , SS,25,,,100%,34.1,34.1,
Bryan Woo,SEA , SP,34,,,100%,34.6,34.6,
Brent Rooker,ATH , OF,29,,,100%,35.3,35.3,
Pete Crow-Armstrong,CHC , OF,41,,,100%,37.3,37.3,
Hunter Brown,HOU , SP,35,,,100%,37.7,37.7,
Mookie Betts,LAD , SS,42,,,100%,38.5,38.4,
Chris Sale,ATL , SP,36,,,100%,39.1,39.1,
Rafael Devers,SF , 1B,44,,,100%,41.5,41.5,
Logan Webb,SF , SP,40,,,100%,42.4,42.4,
Logan Gilbert,SEA , SP,39,,,100%,43.5,43.5,
James Wood,WSH , OF,38,,,100%,43.6,43.6,
Max Fried,NYY , SP,47,,,100%,44.3,44.3,
Jarren Duran,BOS , OF,43,,,100%,47.7,47.7,
Hunter Greene,CIN , SP,46,,,100%,47.9,47.9,
Mason Miller,SD , RP,54,,,100%,48.5,48.5,
Roman Anthony,BOS , OF,45,,,100%,48.9,48.9,
Freddie Freeman,LAD , 1B,60,,,100%,51.5,51.5,
Cole Ragans,KC , SP,48,,,100%,53.6,53.6,
Jackson Merrill,SD , OF,49,,,100%,53.9,53.9,
Edwin Diaz,LAD , RP,63,,,100%,54,54,
Brice Turang,MIL , 2B,62,,,100%,57.3,57.2,
Riley Greene,DET , OF,51,,,100%,58.2,58.2,
Cody Bellinger,NYY , OF,50,,,100%,58.4,58.5,
Jacob deGrom,TEX , SP,53,,,100%,59.1,59.1,
Joe Ryan,MIN , SP,52,,,100%,60.5,60.5,
Geraldo Perdomo,AZ , SS,57,,,100%,61.9,61.9,
Josh Naylor,SEA , 1B,56,,,100%,62,62,
Freddy Peralta,NYM , SP,65,,,100%,62.2,62.1,
William Contreras,MIL , C,61,,,100%,63.2,63.2,
Shea Langeliers,ATH , C,66,,,100%,65,65,
Austin Riley,ATL , 3B,64,,,100%,65.2,65.2,
Wyatt Langford,TEX , OF,59,,,100%,65.8,65.8,
Andres Munoz,SEA , RP,69,,,100%,66.2,66.2,
George Kirby,SEA , SP,55,,,100%,66.5,66.5,
Corey Seager,TEX , SS,58,,,100%,67.7,67.7,
Bo Bichette,NYM , SS,68,,,100%,69,69,
Jhoan Duran,PHI , RP,73,,,100%,70.2,70.2,
Dylan Cease,TOR , SP,72,,,100%,72.1,72.1,
Maikel Garcia,KC ," 2B,3B,SS,OF",78,,,100%,73,73,
Framber Valdez,DET , SP,70,,,100%,75.5,75.5,
Cade Smith,CLE , RP,80,,,100%,79.3,79.3,
Randy Arozarena,SEA , OF,84,,,100%,80,80.1,
Kyle Bradish,BAL , SP,71,,,100%,80.6,80.6,
Ben Rice,NYY ," C,1B",86,,,100%,80.6,80.6,
Alex Bregman,CHC , 3B,101,,,100%,80.8,80.8,
Nick Pivetta,SD , SP,74,,,100%,81.9,81.9,
Hunter Goodman,COL , C,81,,,100%,82.7,82.7,
Jeremy Pena,HOU , SS,67,,,100%,83,83,
Blake Snell,LAD , SP,76,,,100%,83.1,83.1,
Tyler Soderstrom,ATH ," 1B,OF",79,,,100%,84.9,84.9,
Jesus Luzardo,PHI , SP,85,,,100%,85.3,85.3,
